"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0577,0,0,0,0
"X2",0,0.0781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1353,0.0701
"X3",0,0,0.0525,0,0,0,0,0,0,0,0,0.0455,0,0,0,0,0,0,0,0
"X4",0,0,0,0.0671,0,0,0,0,0,0,0,0.0621,0,0,0.1007,0,0,0,0,0.0557
"X5",0,0,0,0.0469,0.0646,0,0,0,0,0,0,0,0,0,0,0.046,0,0,0,0
"X6",0,0,0,0,0,0.0631,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0
"X7",0,0,0,0,0,0,0.0611,0,0,0.0395,0,0,0.0527,0,0,0,0,0,0,0.0396
"X8",0,0,0,0,0,0,0,0.0621,0,0,0.1042,0.1073,0,0,0,0,0,0,0,0
"X9",0,0,0,0,0,0,0,0,0.0461,0,0,0,0,0,0,0,0,0.0391,0,0
"X10",0,0,0,0,0,0,0,0,0,0.0547,0,0,0,0,0,0.0715,0,0,0,0
