"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.3454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0,0.1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8216,0
"X3",0,0,0.1122,0,0,0,0,0,0,0,0,0.6535,0,0,0,0,0,0,0,0
"X4",0,0,0,-0.0118,0,0,0,0,0,0,0.23,0.1607,0,0,0.6673,0,0,0,0,0
"X5",0,0,0,0,0.3338,0,0,0,0,0,0,0,0,0,0,0.5188,0,0,0,0
"X6",0,0,0,0,0,-0.0132,0,0,0,0,0,0,0,0,0,0,0,0,0.7068,0
"X7",0,0,0,0,0,0,0.034,0,0,0,0,0,0,0.3211,0,0,0,0,0,0.4398
"X8",0,0,0,0,0,0,0,0.13,0,0,0.3266,0,0,0,0,0,0,0,0,0
"X9",0,0,0,0,0,0,0,0,0.3489,0,0,-0.447,0,0,0,0,0,0.9519,0,0
"X10",0,0,0,0,0,0,0,0,0,0.0593,0,0,0,0,0,0.7848,0,0,0,0
