"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.2591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0,1.0306,0,0,0,0,0,0,0,0,0,0,-2.6615,0,0,0,1.4471,0,1.0502,0
"X3",0,0,0.1959,0,0,0,0,0,0,0,0,1.015,0,0,0,0,0,0,0,0
"X4",0,0,0,-0.2137,-0.2571,0,0,0,0,0,0,0.2126,0,0,0.555,0,0,0,0,0.318
"X5",0,0,0,0.3537,0.1505,0,0,0,0,0,0,0,0,0,0,0.4101,0,0,0,0
"X6",0,0,0,0,0,0.095,0,0,0,0,0.2851,0,0,0,0,0,0,0,0.4783,0
"X7",0,0,0,0,0,0,0.1817,0,0,0,0,0,0,0.4021,0,0,0,0,0,0.3378
"X8",0,0,0,0,0,0,0,0.2391,0,0,0.3532,0,0,0,0,0,0,0,0,0
"X9",0,0,0,0,0,0,0,0,0.2178,0,0,0,0,0,0,0,0,0.6933,0,0
"X10",0,0,0,0,0,0,0,0,0,0.0324,0,0,0,0,0,0.7718,0,0,0,0
