"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.1073,0,0,0,0,0,0,0,0,0,0,0.433,0,0,0,0,0,0,0,0
"X2",0,0.1657,0,0,0,0,0,0,0,0,0,0,0,0,0.5364,0,0,0,0.0352,0
"X3",0,0,-0.1897,0,0,0,0,0,0,0,0,0.8372,0,0,0,0,0,0,0,0
"X4",0,0,0,0.1593,0,0,0,0,0,0,0.2078,0.2351,0,0,0.8711,0,0,0,0,0
"X5",0,0,0,0,0.6199,0,0,0,0,0,0,0,0,-2.0591,0,0.7911,1.3956,0,0,0
"X6",0,0,0,0,0,0.0093,0,0,0,0.3184,0,0,0,0,0,0,0,0,0.5,0
"X7",0,0,0,0,0,0,0.0662,0,0,0,0,0,0,0,0,0,0,0,0,0.5382
"X8",0,0,0,0,0,0,0,0.1467,0,0,0.323,0,0.4525,0,0,0,0,0,0,0
"X9",0,0,0,0,0,0,0,0,0.1053,0,0,0,0,0,0,0,0,0.6937,0,0
"X10",0,0,0,0,0,-0.2425,0,0,0,0.1775,0,0,0,0,0,0.8067,0,0,0,0
