"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","status"
"data1",6.7507,9,56,0.6631,0,0.0021,1.0001,1,20054.348,19689.3964,-9788.6982,0.9924,0.99,0.6977,0.9626,0.9471,"converged normally"
"data10",18.7395,9,56,0.0275,0.0147,0.0028,0.9996,0.9999,19913.0007,19548.0491,-9718.0245,0.9931,0.9899,0.7095,0.9614,0.9463,"converged normally"
"data11",13.4491,9,56,0.1433,0.0099,0.0029,0.9998,1,18967.8132,18602.8616,-9245.4308,0.9923,0.9892,0.6761,0.9561,0.9355,"converged normally"
"data12",24.8963,9,56,0.0031,0.0188,0.0038,0.9994,0.9999,20783.6688,20418.7171,-10153.3586,0.9934,0.9896,0.7181,0.963,0.9464,"converged normally"
"data13",10.4306,9,56,0.3168,0.0056,0.0018,0.9999,1,20078.1411,19713.1894,-9800.5947,0.9924,0.9901,0.6926,0.9627,0.9461,"converged normally"
"data14",7.3302,9,56,0.6028,0,0.0015,1.0001,1,19131.5592,18766.6076,-9327.3038,0.9927,0.9895,0.6865,0.9559,0.9329,"converged normally"
"data15",21.0246,9,56,0.0125,0.0163,0.0043,0.9995,0.9999,18328.0578,17963.1062,-8925.5531,0.992,0.9898,0.6668,0.956,0.9301,"converged normally"
"data16",13.3183,9,56,0.1487,0.0098,0.0047,0.9998,1,19684.4315,19319.4798,-9603.7399,0.9924,0.989,0.6929,0.9603,0.9448,"converged normally"
"data17",21.4713,9,56,0.0107,0.0166,0.0025,0.9995,0.9999,19297.3593,18932.4077,-9410.2038,0.9932,0.9904,0.6902,0.9581,0.9367,"converged normally"
"data18",22.1928,9,56,0.0083,0.0171,0.0047,0.9995,0.9999,20612.232,20247.2804,-10067.6402,0.9926,0.99,0.7074,0.9642,0.9502,"converged normally"
"data19",8.8908,9,56,0.4474,0,0.0017,1,1,19833.2661,19468.3144,-9678.1572,0.9926,0.9907,0.6924,0.9604,0.9412,"converged normally"
"data2",7.7029,9,56,0.5643,0,0.0026,1.0001,1,19417.1301,19052.1785,-9470.0892,0.9925,0.9896,0.7055,0.9623,0.9476,"converged normally"
"data20",28.1745,9,56,9e-04,0.0206,0.0024,0.9992,0.9998,20057.0005,19692.0489,-9790.0244,0.9925,0.9898,0.707,0.963,0.9503,"converged normally"
"data21",15.0576,9,56,0.0894,0.0116,0.0021,0.9997,0.9999,19082.3548,18717.4032,-9302.7016,0.9927,0.9889,0.6968,0.9602,0.9435,"converged normally"
"data22",23.061,9,56,0.0061,0.0177,0.0023,0.9994,0.9999,18458.1,18093.1484,-8990.5742,0.9926,0.9877,0.6712,0.952,0.9275,"converged normally"
"data23",14.4199,9,56,0.1082,0.011,0.0035,0.9998,1,18502.8752,18137.9236,-9012.9618,0.9924,0.9896,0.6971,0.9592,0.941,"converged normally"
"data24",22.2569,9,56,0.0081,0.0172,0.0055,0.9994,0.9999,19503.0934,19138.1418,-9513.0709,0.9934,0.9909,0.6986,0.9498,0.9225,"converged normally"
"data25",13.245,9,56,0.1518,0.0097,0.0028,0.9998,1,19251.3915,18886.4399,-9387.2199,0.9932,0.9896,0.7063,0.9556,0.9326,"converged normally"
"data26",6.2159,9,56,0.7181,0,8e-04,1.0001,1,20072.2987,19707.3471,-9797.6736,0.9923,0.9906,0.702,0.9619,0.9455,"converged normally"
"data27",20.8909,9,56,0.0131,0.0163,0.0026,0.9995,0.9999,17849.803,17484.8514,-8686.4257,0.9923,0.9891,0.6921,0.9542,0.9357,"converged normally"
"data28",10.589,9,56,0.3049,0.0059,0.0011,0.9999,1,18776.3893,18411.4377,-9149.7188,0.9924,0.9906,0.6753,0.9558,0.934,"converged normally"
"data29",11.7633,9,56,0.227,0.0078,0.0023,0.9999,1,19560.9107,19195.9591,-9541.9795,0.9931,0.9891,0.6993,0.9593,0.9402,"converged normally"
"data3",13.1124,9,56,0.1576,0.0096,0.0025,0.9998,1,18328.8389,17963.8873,-8925.9436,0.9928,0.9899,0.695,0.9564,0.9315,"converged normally"
"data30",16.4932,9,56,0.0573,0.0129,0.0019,0.9997,0.9999,19309.6706,18944.719,-9416.3595,0.9923,0.9902,0.7121,0.9581,0.9363,"converged normally"
"data31",10.8806,9,56,0.284,0.0065,0.0011,0.9999,1,19462.545,19097.5934,-9492.7967,0.9925,0.9901,0.6813,0.957,0.9365,"converged normally"
"data32",6.1778,9,56,0.722,0,9e-04,1.0001,1,20025.4927,19660.541,-9774.2705,0.9927,0.9907,0.6982,0.9636,0.9458,"converged normally"
"data33",7.6474,9,56,0.57,0,0.0039,1.0001,1,19633.6569,19268.7052,-9578.3526,0.9927,0.9898,0.6905,0.9655,0.9496,"converged normally"
"data34",16.9778,9,56,0.0491,0.0133,0.0034,0.9997,0.9999,17867.5071,17502.5555,-8695.2778,0.9924,0.99,0.6588,0.9549,0.9329,"converged normally"
"data35",20.3824,9,56,0.0157,0.0159,0.0023,0.9995,0.9999,19882.5484,19517.5968,-9702.7984,0.9926,0.9896,0.6716,0.9628,0.9465,"converged normally"
"data36",11.4063,9,56,0.2489,0.0073,0.0018,0.9999,1,17410.2525,17045.3009,-8466.6504,0.9924,0.9899,0.6715,0.9497,0.9238,"converged normally"
"data37",15.4067,9,56,0.0804,0.0119,0.0021,0.9997,0.9999,20007.0963,19642.1447,-9765.0723,0.993,0.9895,0.69,0.9588,0.9446,"converged normally"
"data38",10.2467,9,56,0.3309,0.0053,0.0023,0.9999,1,18257.5132,17892.5616,-8890.2808,0.9925,0.9904,0.6699,0.9556,0.9325,"converged normally"
"data39",14.773,9,56,0.0974,0.0113,0.0014,0.9998,1,20854.8361,20489.8845,-10188.9422,0.9928,0.99,0.6918,0.9645,0.9493,"converged normally"
"data4",18.9792,9,56,0.0254,0.0149,0.0038,0.9996,0.9999,18887.408,18522.4564,-9205.2282,0.9923,0.9897,0.7072,0.9521,0.9312,"converged normally"
"data40",10.0214,9,56,0.3488,0.0048,0.0018,1,1,18932.8018,18567.8502,-9227.9251,0.9919,0.9898,0.6945,0.9597,0.942,"converged normally"
"data41",15.8215,9,56,0.0707,0.0123,0.0036,0.9997,0.9999,19032.358,18667.4064,-9277.7032,0.9923,0.9902,0.6973,0.9611,0.9445,"converged normally"
"data42",12.5491,9,56,0.1841,0.0089,0.0024,0.9998,1,18379.5106,18014.559,-8951.2795,0.9925,0.9895,0.6974,0.9575,0.935,"converged normally"
"data43",31.4843,9,56,2e-04,0.0224,0.0044,0.999,0.9998,17644.8242,17279.8726,-8583.9363,0.9918,0.9897,0.6856,0.9575,0.9346,"converged normally"
"data44",9.841,9,56,0.3635,0.0043,0.0029,1,1,19475.0714,19110.1198,-9499.0599,0.9928,0.9891,0.707,0.9642,0.9494,"converged normally"
