"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","X7_r2","X8_r2","X9_r2","status"
"data1",169.4398,61,128,0,0.0189,0.0028,0.9984,0.9994,87202.3541,86368.1789,-43056.0895,0.7747,0.9257,0.9257,0.9566,0.9341,0.9855,0.9735,0.9472,0.7638,"converged normally"
"data10",160.5596,61,128,0,0.0181,0.0026,0.9985,0.9994,87749.5738,86915.3987,-43329.6993,0.7783,0.9304,0.927,0.9531,0.9313,0.9846,0.9718,0.9444,0.7764,"converged normally"
"data11",174.3587,61,128,0,0.0193,0.0021,0.9983,0.9993,86492.3131,85658.138,-42701.069,0.7765,0.9245,0.93,0.9537,0.9335,0.986,0.9734,0.9427,0.7782,"converged normally"
"data12",192.749,61,128,0,0.0208,0.0033,0.998,0.9992,87718.0252,86883.8501,-43313.925,0.7788,0.9265,0.9271,0.9529,0.9301,0.9856,0.9725,0.9451,0.7644,"converged normally"
"data13",110.7134,61,128,1e-04,0.0128,0.0027,0.9993,0.9997,85884.9085,85050.7334,-42397.3667,0.7791,0.9318,0.9267,0.9574,0.9326,0.986,0.9728,0.9462,0.7611,"converged normally"
"data14",171.1467,61,128,0,0.019,0.0028,0.9984,0.9994,82949.1067,82114.9315,-40929.4658,0.796,0.934,0.9305,0.959,0.9349,0.9867,0.974,0.9481,0.7713,"converged normally"
"data15",153.5844,61,128,0,0.0174,0.0029,0.9987,0.9995,83341.8789,82507.7038,-41125.8519,0.7923,0.9327,0.9335,0.957,0.9357,0.9864,0.9754,0.9491,0.7551,"converged normally"
"data16",194.8763,61,128,0,0.021,0.0033,0.998,0.9992,85023.3115,84189.1364,-41966.5682,0.7729,0.929,0.932,0.9566,0.9324,0.986,0.9745,0.9496,0.7376,"converged normally"
"data17",135.3209,61,128,0,0.0156,0.0016,0.9989,0.9996,88466.8445,87632.6694,-43688.3347,0.7756,0.9267,0.9237,0.955,0.9307,0.9855,0.9722,0.9417,0.7584,"converged normally"
"data18",190.1878,61,128,0,0.0206,0.0028,0.9981,0.9992,88976.3097,88142.1346,-43943.0673,0.7754,0.9239,0.9234,0.9512,0.9274,0.9857,0.973,0.9444,0.76,"converged normally"
