"file","lhs","op","rhs","beta","se","z","pval","level"
"data1","X1","~","X1lag",-0.672496473817167,0.0114256955624376,-58.8582524488069,0,"group"
"data1","X2","~","X2lag",-0.406503381592697,0.00684382155377687,-59.3971333703699,0,"group"
"data1","X3","~","X3lag",0.198163185233389,0.0109268232771908,18.1354800207161,0,"group"
"data1","X4","~","X4lag",-0.310414594934507,0.0145793740967574,-21.2913526242218,0,"group"
"data1","X5","~","X5lag",0.0334932871336886,0.0124913298044612,2.68132277811821,0.00733317451967497,"group"
"data1","X6","~","X6lag",-0.120152075341135,0.00647893480471913,-18.5450354051439,0,"group"
"data1","X7","~","X7lag",0.466712572615425,0.00783892873966774,59.5378001401768,0,"group"
"data1","X8","~","X8lag",-0.203270920669125,0.0243603650762536,-8.34432981742431,0,"group"
"data1","X9","~","X9lag",-0.873942525283793,0.00334105240528696,-261.577018038043,0,"group"
"data1","X3","~","X8",0.994687159194827,0.00789542637041103,125.982703470268,0,"group"
"data1","X6","~","X7",-0.515833166818274,0.0116527878676043,-44.2669318860883,0,"group"
"data1","X6","~","X4lag",0.534640703311704,0.0102330192510179,52.2466234252927,0,"group"
"data1","X7","~","X8lag",-0.84114844137247,0.010138919223435,-82.962337783326,0,"group"
"data1","X7","~","X5lag",0.383906963106356,0.0112400652580983,34.1552254627486,0,"group"
"data1","X7","~","X4lag",-0.594156598771655,0.013396263566978,-44.3524118349135,0,"group"
"data1","X1","~","X2lag",0.460104669356997,0.0243326359110335,18.9089530225686,0,"group"
"data1","X8","~","X2lag",0.810465726769097,0.0119773346112965,67.6666180808461,0,"group"
"data1","X8","~","X4lag",0.356819587358548,0.0144602994802784,24.6758089516192,0,"group"
"data1","X8","~","X5lag",-0.323652269384938,0.0220795075026897,-14.6584913338992,0,"group"
"data1","X5","~","X2lag",-0.43324845673927,0.0155402359434464,-27.8791427823835,0,"group"
"data1","X3","~","X5",0.489999700812953,0.00906515527216805,54.0530951871676,0,"group"
"data1","X6","~","X5lag",0.177528918564721,0.00784193009523586,22.6384214611367,0,"group"
"data1","X6","~","X7lag",-0.373361134130015,0.00821381444508239,-45.45526766234,0,"group"
"data1","X4","~","X3lag",-0.590373215660623,0.0128594819061425,-45.9095646286205,0,"group"
"data1","X4","~","X2lag",-0.498996482604101,0.0217233319372178,-22.9705315946118,0,"group"
"data1","X4","~","X5lag",-0.431700457498064,0.0121704299713075,-35.4712576725575,0,"group"
"data1","X1","~","X4lag",-0.120942930423211,0.0209659048887679,-5.76855285115809,7.99551380659125e-09,"group"
"data1","X6","~","X9lag",-0.0450073052708909,0.00360127016126887,-12.497619799519,0,"group"
"data1","X3","~","X2",-0.481719382914623,0.0114557310340055,-42.0505144093096,0,"group"
"data1","X5","~","X4lag",0.780724430966096,0.0180678948044049,43.2105920151669,0,"group"
"data1","X5","~","X3lag",0.695745720183861,0.0168762681105649,41.2262779677165,0,"group"
"data1","X6","~","X8lag",0.247739860660895,0.0106400626579293,23.2836843753238,0,"group"
"data1","X1","~","X3lag",0.292016628321676,0.0190731364232218,15.3103622729894,0,"group"
"data1","X2","~","X3lag",-0.575545581838003,0.00740550429437274,-77.718621036429,0,"group"
"data1","X4","~","X8",-0.207509265238164,0.0245336955684448,-8.45813320945673,0,"group"
"data1","X6","~","X2",0.062301172759725,0.00594575708186469,10.4782573357649,0,"group"
"data1","X3","~","X8lag",-0.289238678082363,0.0126397290059261,-22.8832974145849,0,"group"
"data1","X8","~","X3",-0.169075140026834,0.011831934951179,-14.2897286643709,0,"group"
"data1","X8","~","X4",-0.236993484784313,0.0219821068169777,-10.7811997620388,0,"group"
"data1","X5","~","X2",0.177077873687749,0.0145691208006098,12.1543280552892,0,"group"
"data1","X2","~","X5lag",0.635575309255083,0.00895691667661303,70.9591628684682,0,"group"
"data1","X2","~","X4lag",0.499208639853868,0.006097528194505,81.8706570809705,0,"group"
"data1","X6","~","X9",0.0332600870167474,0.0035378247318132,9.40128173045504,0,"group"
"data1","X1","~","X5",-0.318383537011337,0.0248323105511632,-12.8213416288974,0,"group"
"data1","X8","~","X7",-0.535895866722953,0.0278392291011783,-19.2496661734168,0,"group"
"data1","X8","~","X7lag",0.261831965948925,0.0148453155541954,17.63734593536,0,"group"
"data1","X7","~","X3",0.143245188505918,0.0102965831811471,13.9119148542595,0,"group"
"data1","X7","~","X2",0.211557876073124,0.0099872114037279,21.182877534179,0,"group"
"data1","X6","~","X4",-0.0564792940284848,0.00629668844829248,-8.96968215789694,0,"group"
"data1","X1","~","X4",-0.194550043202442,0.0212428944821446,-9.15835849798945,0,"group"
"data1","X7","~","X2lag",-0.167316759772992,0.0124310310017235,-13.4596044165439,0,"group"
"data1","X7","~","X4",-0.133736629813187,0.0111763579245409,-11.9660296060785,0,"group"
"data1","X7","~","X5",-0.109852970813885,0.00997075886457872,-11.0175135419371,0,"group"
"data1","X5","~","X4",-0.0926759853417553,0.0170522382836939,-5.43482819087604,5.48492560259461e-08,"group"
"data1","X4","~","X8lag",0.0353312888196849,0.0114057882709514,3.09766304444452,0.00195053067611517,"group"
"data1","X5","~","X3",-0.032695940118053,0.0140463995750557,-2.32770966989407,0.0199275253298405,"group"
"data10","X1","~","X1lag",-0.686419393571866,0.0113917415414588,-60.2558784426185,0,"group"
"data10","X2","~","X2lag",-0.398420951240622,0.00671872149842941,-59.3001140669037,0,"group"
"data10","X3","~","X3lag",0.190087628919156,0.0108686505792535,17.4895335472466,0,"group"
"data10","X4","~","X4lag",-0.276656728154961,0.0151318833700616,-18.2830333402071,0,"group"
"data10","X5","~","X5lag",0.031948234785249,0.0123727795605863,2.58213884994934,0.00981900712708517,"group"
"data10","X6","~","X6lag",-0.126219476027442,0.00653151203571472,-19.3246947012064,0,"group"
"data10","X7","~","X7lag",0.464008758336149,0.00784562897426491,59.1423275123234,0,"group"
"data10","X8","~","X8lag",-0.251736976549015,0.025874003952686,-9.72933980412729,0,"group"
"data10","X9","~","X9lag",-0.881148575710375,0.00316217524628897,-278.652670102475,0,"group"
"data10","X3","~","X8",1.01075958043504,0.00786447519847911,128.522190600908,0,"group"
"data10","X6","~","X7",-0.506594838373644,0.011783342316509,-42.9924570436931,0,"group"
"data10","X6","~","X4lag",0.553123728383377,0.010492073131859,52.7182494281161,0,"group"
"data10","X7","~","X8lag",-0.871842266966297,0.0105742958444953,-82.4492032176455,0,"group"
"data10","X7","~","X5lag",0.363027801299595,0.0111593515444668,32.5312631162333,0,"group"
"data10","X7","~","X4lag",-0.622235869676188,0.0143486394721089,-43.3654961423833,0,"group"
"data10","X1","~","X2lag",0.461885985072699,0.0240951501035635,19.1692512014851,0,"group"
"data10","X8","~","X2lag",0.859033990489057,0.0124553901948558,68.9688542109139,0,"group"
"data10","X8","~","X4lag",0.340056922234777,0.0150860806692513,22.541104591061,0,"group"
"data10","X8","~","X5lag",-0.282952807164476,0.0220256553880837,-12.8465102254146,0,"group"
"data10","X5","~","X2lag",-0.414883005653415,0.0157815873360115,-26.2890542516408,0,"group"
"data10","X3","~","X5",0.495894121520718,0.0091331548870846,54.2960376399587,0,"group"
"data10","X6","~","X5lag",0.176732785021056,0.0077576641226449,22.7817010670991,0,"group"
"data10","X6","~","X7lag",-0.382906719176026,0.00822094122987499,-46.5769926422219,0,"group"
"data10","X4","~","X3lag",-0.603335805718119,0.0134287778221061,-44.9285715878717,0,"group"
"data10","X4","~","X2lag",-0.462734956590828,0.0229397033762095,-20.1717933750933,0,"group"
"data10","X4","~","X5lag",-0.435119297456894,0.0123405884658251,-35.2592016711255,0,"group"
"data10","X1","~","X4lag",-0.120541176964874,0.0208415373130408,-5.7836989255802,7.30756810618516e-09,"group"
"data10","X6","~","X9lag",-0.0453219202052641,0.00380347618772911,-11.9159205864054,0,"group"
"data10","X3","~","X2",-0.499555383755982,0.0117742671563107,-42.427726254558,0,"group"
"data10","X5","~","X4lag",0.818774715219211,0.0189813197028945,43.1358160567916,0,"group"
"data10","X5","~","X3lag",0.713563332909418,0.0169179096539409,42.1779846036238,0,"group"
"data10","X6","~","X8lag",0.262371999190256,0.0110682690236795,23.7048809194045,0,"group"
"data10","X1","~","X3lag",0.300091663850444,0.0185157071134798,16.2074103900666,0,"group"
"data10","X2","~","X3lag",-0.552287158318652,0.0071113431134115,-77.6628478630255,0,"group"
"data10","X4","~","X8",-0.267195272868225,0.0255880724209244,-10.4421805782341,0,"group"
"data10","X6","~","X2",0.0626911978960853,0.00626217862727867,10.0110842611541,0,"group"
"data10","X3","~","X8lag",-0.290503210414796,0.0127749515362855,-22.7400635994321,0,"group"
"data10","X8","~","X3",-0.163178123133888,0.0122345548962175,-13.3374793376698,0,"group"
"data10","X8","~","X4",-0.209185643764288,0.0218299034496659,-9.58252720845127,0,"group"
"data10","X5","~","X2",0.172078556670814,0.0156274171817985,11.0113241790996,0,"group"
"data10","X2","~","X5lag",0.613940305675391,0.0086626042473069,70.8724868582398,0,"group"
"data10","X2","~","X4lag",0.496348823107714,0.00592907794341243,83.7143359970817,0,"group"
"data10","X6","~","X9",0.038608156729167,0.00375627559556932,10.2783077936845,0,"group"
"data10","X1","~","X5",-0.300840580431062,0.0241007567420367,-12.4826196808308,0,"group"
"data10","X8","~","X7",-0.601158758790871,0.0294722815520535,-20.3974286052172,0,"group"
"data10","X8","~","X7lag",0.279963559418259,0.0154399130625639,18.1324569823562,0,"group"
"data10","X7","~","X3",0.154031808139438,0.0109102898976018,14.1180307384221,0,"group"
"data10","X7","~","X2",0.224938526480073,0.0108537726304933,20.7244553703027,0,"group"
"data10","X6","~","X4",-0.053208020257305,0.00629610452762673,-8.45094296383314,0,"group"
"data10","X1","~","X4",-0.190543290216116,0.02076214657208,-9.17743690685385,0,"group"
"data10","X7","~","X2lag",-0.183043786966696,0.0133896200723986,-13.6705736217284,0,"group"
"data10","X7","~","X4",-0.152663182835712,0.0115638490279319,-13.2017620142707,0,"group"
"data10","X7","~","X5",-0.109309851010741,0.010215560349173,-10.7003284474346,0,"group"
"data10","X5","~","X4",-0.0841396805815705,0.0166694074740596,-5.04755077302575,4.47509865830753e-07,"group"
"data10","X4","~","X8lag",0.0764411406301643,0.0124545395220467,6.1376127551605,8.37707681000666e-10,"group"
"data10","X5","~","X3",-0.064760531563856,0.0146554648723161,-4.41886573561973,9.92202606742154e-06,"group"
"data11","X1","~","X1lag",-0.685770717879948,0.0112906902929016,-60.73771400063,0,"group"
"data11","X2","~","X2lag",-0.406389380003815,0.00686165537272356,-59.2261426622055,0,"group"
"data11","X3","~","X3lag",0.181918377341567,0.0107108556566984,16.984485943268,0,"group"
"data11","X4","~","X4lag",-0.299815176148016,0.0146195202854577,-20.5078668994528,0,"group"
"data11","X5","~","X5lag",0.025488323258071,0.0126184144459904,2.01993074226296,0.0433905719457401,"group"
"data11","X6","~","X6lag",-0.121313585555315,0.00641278454681513,-18.9174585033524,0,"group"
"data11","X7","~","X7lag",0.464570092323701,0.00787021030981324,59.028929855208,0,"group"
"data11","X8","~","X8lag",-0.24749353011392,0.0265399774600799,-9.32531048627255,0,"group"
"data11","X9","~","X9lag",-0.88214877954194,0.00313723040367089,-281.187119221378,0,"group"
"data11","X3","~","X8",0.999953063092883,0.00793621957320663,125.998663956931,0,"group"
"data11","X6","~","X7",-0.49902902055565,0.0115068431427515,-43.3680214777243,0,"group"
"data11","X6","~","X4lag",0.547307554108396,0.0101162151776439,54.1020079641946,0,"group"
"data11","X7","~","X8lag",-0.850651537499287,0.0101931374659821,-83.4533567646067,0,"group"
"data11","X7","~","X5lag",0.382363591885994,0.01133236518187,33.7408463060929,0,"group"
"data11","X7","~","X4lag",-0.589004546175395,0.0136243009362032,-43.2319095807889,0,"group"
"data11","X1","~","X2lag",0.503617758765381,0.024228993952013,20.785747842557,0,"group"
"data11","X8","~","X2lag",0.838772378310859,0.0125045357787907,67.0774503867249,0,"group"
"data11","X8","~","X4lag",0.344628238840526,0.0152433099703513,22.6084911683117,0,"group"
"data11","X8","~","X5lag",-0.316294317225599,0.023129524505053,-13.6749165403941,0,"group"
"data11","X5","~","X2lag",-0.430730554782288,0.0154372736894957,-27.9019834360636,0,"group"
"data11","X3","~","X5",0.504124342512954,0.00912265504550814,55.2607042574933,0,"group"
"data11","X6","~","X5lag",0.176537565462776,0.00768851252898409,22.9612119115715,0,"group"
