"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0094,0.0143,0.0121,0.0124,0,0.0025,0,0,0,0.0029,0,0.0109,0.0093,0.0143,0.0083,0.0026,0.0067,0,0,0.0024
"X2",0,0.0146,0.0109,0,0,0.0033,0.0075,0,0,0,0,0,0.011,0,0,0.0032,0.0072,0,0,0.003
"X3",0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X4",0.022,0.036,0.0173,0.0278,0.0135,0.008,0.0102,0.0352,0.0369,0.008,0.0602,0,0.012,0,0,0,0.0074,0,0.0082,0
"X5",0.0053,0.0087,0,0.0065,0.0041,0.0016,0.003,0.0069,0.0077,0.0016,0.0099,0,0.0033,0.0064,0,0.0011,0.0025,0.0032,0.0037,0.001
"X6",0,0,0,0,0,0.0136,0,0,0,0.0132,0,0,0,0,0,0,0,0,0,0.0135
"X7",0,0.0149,0.0134,0,0,0.0063,0.0147,0,0,0,0,0,0,0,0,0.0058,0,0,0,0.0058
"X8",0,0,0.0159,0,0,0.0066,0,0.0201,0.0194,0.0069,0,0,0.0105,0,0,0.0065,0,0,0,0.0063
"X9",0,0,0,0.0147,0.0097,0.0052,0.0095,0,0.0078,0,0.0181,0,0.0118,0.0155,0,0.0039,0.0073,0.0069,0,0.0038
"X10",0,0,0,0,0,0.0137,0,0,0,0.0137,0,0,0,0,0,0,0,0,0,0
