"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","V7_r2","V8_r2","V9_r2","status"
"data1",84.5561,67,122,0.0725,0.0072,0.0045,0.9998,0.9999,-887.6904,-1682.7636,963.3818,0.9295,0.7458,0.5675,0.8124,0.6308,0.9992,0.9997,0.98,0.275,"converged normally"
"data10",108.5908,67,122,0.001,0.0111,0.0046,0.9995,0.9998,-235.7665,-1030.8397,637.4198,0.9348,0.7514,0.5563,0.815,0.6478,0.9993,0.9997,0.9813,0.2535,"converged normally"
"data11",109.4871,67,122,8e-04,0.0113,0.0047,0.9995,0.9998,-1846.6001,-2641.6733,1442.8366,0.9332,0.7529,0.5889,0.8182,0.6502,0.9991,0.9997,0.9797,0.2425,"converged normally"
"data12",106.7336,67,122,0.0015,0.0109,0.0051,0.9995,0.9998,1881.3343,1086.2611,-421.1306,0.9346,0.7402,0.5596,0.8218,0.6187,0.9994,0.9998,0.9812,0.2584,"converged normally"
"data13",96.3094,67,122,0.011,0.0094,0.0058,0.9996,0.9998,-818.5272,-1613.6003,928.8002,0.9286,0.7451,0.5636,0.8254,0.6595,0.9993,0.9997,0.9823,0.2546,"converged normally"
"data14",143.9085,67,122,0,0.0152,0.0065,0.999,0.9996,-1737.2868,-2532.36,1388.18,0.935,0.7557,0.5644,0.8225,0.6617,0.9991,0.9997,0.9818,0.2632,"converged normally"
"data15",87.7792,67,122,0.0452,0.0079,0.0047,0.9997,0.9999,-935.245,-1730.3182,987.1591,0.9329,0.7529,0.5448,0.8149,0.6435,0.9993,0.9997,0.9808,0.2583,"converged normally"
"data16",83.3778,67,122,0.0853,0.007,0.0042,0.9998,0.9999,-1683.308,-2478.3811,1361.1906,0.9293,0.7434,0.5361,0.813,0.6386,0.9992,0.9997,0.9814,0.2551,"converged normally"
"data17",135.1588,67,122,0,0.0143,0.0071,0.9991,0.9996,-1023.3509,-1818.4241,1031.212,0.9363,0.7612,0.5553,0.8006,0.6258,0.9991,0.9997,0.9784,0.2642,"converged normally"
"data18",160.3873,67,122,0,0.0167,0.0057,0.9988,0.9995,-1022.6752,-1817.7484,1030.8742,0.9355,0.7481,0.5589,0.824,0.6586,0.9992,0.9997,0.9816,0.2666,"converged normally"
"data19",126.9138,67,122,0,0.0134,0.0043,0.9993,0.9997,890.4288,95.3556,74.3222,0.9389,0.7602,0.5647,0.8184,0.6436,0.9994,0.9998,0.9817,0.244,"converged normally"
"data2",128.3759,67,122,0,0.0135,0.0054,0.9992,0.9997,-1508.4922,-2303.5654,1273.7827,0.9318,0.7403,0.5599,0.8088,0.6274,0.9993,0.9997,0.9794,0.2432,"converged normally"
"data20",119.1608,67,122,1e-04,0.0125,0.004,0.9994,0.9997,219.9833,-575.0898,409.5449,0.9346,0.7412,0.5687,0.8269,0.6459,0.9994,0.9997,0.9819,0.2673,"converged normally"
"data21",129.5275,67,122,0,0.0137,0.0074,0.9992,0.9997,454.8766,-340.1966,292.0983,0.9361,0.7544,0.5618,0.8082,0.634,0.9992,0.9997,0.9801,0.254,"converged normally"
"data22",83.8458,67,122,0.08,0.0071,0.0054,0.9998,0.9999,102.106,-692.9671,468.4836,0.9363,0.7535,0.5637,0.8149,0.6497,0.9993,0.9998,0.981,0.2698,"converged normally"
"data23",101.5418,67,122,0.0041,0.0102,0.0059,0.9996,0.9998,-929.7787,-1724.8519,984.4259,0.9284,0.739,0.5559,0.8078,0.6271,0.9994,0.9998,0.9815,0.2637,"converged normally"
"data24",93.161,67,122,0.019,0.0088,0.0045,0.9997,0.9999,495.9691,-299.1041,271.552,0.9342,0.7626,0.5765,0.8146,0.6368,0.9993,0.9997,0.982,0.2386,"converged normally"
"data25",94.2545,67,122,0.0158,0.009,0.0035,0.9997,0.9998,-1074.4925,-1869.5656,1056.7828,0.9358,0.7605,0.5598,0.8034,0.6254,0.9993,0.9997,0.9792,0.2548,"converged normally"
"data26",123.1608,67,122,0,0.0129,0.0055,0.9993,0.9997,-465.5142,-1260.5873,752.2937,0.9349,0.7451,0.5622,0.8096,0.6342,0.9993,0.9997,0.9813,0.2693,"converged normally"
"data27",131.7505,67,122,0,0.0139,0.0041,0.9992,0.9996,-710.4115,-1505.4847,874.7423,0.9323,0.759,0.5466,0.8134,0.6575,0.9993,0.9997,0.9805,0.2345,"converged normally"
"data28",148.1546,67,122,0,0.0156,0.0041,0.999,0.9996,-1152.406,-1947.4792,1095.7396,0.5724,0.5695,0.9992,0.9997,0.9778,0.271,148.1546,67,122,"converged normally"
"data29",129.6105,67,122,0,0.0137,0.0054,0.9992,0.9997,-1851.521,-2646.5942,1445.2971,0.9352,0.7483,0.5484,0.8164,0.6289,0.9992,0.9997,0.9799,0.2757,"converged normally"
"data3",119.7948,67,122,1e-04,0.0126,0.0039,0.9993,0.9997,-53.7366,-848.8097,546.4049,0.9339,0.7398,0.5729,0.8108,0.6167,0.9993,0.9997,0.9812,0.2743,"converged normally"
"data30",91.2987,67,122,0.0259,0.0085,0.0048,0.9997,0.9999,-1310.7534,-2105.8266,1174.9133,0.9315,0.7323,0.549,0.8092,0.6402,0.9992,0.9997,0.9802,0.2509,"converged normally"
"data31",111.5961,67,122,5e-04,0.0115,0.0048,0.9994,0.9998,-661.2687,-1456.3419,850.1709,0.9359,0.7489,0.5296,0.8037,0.6342,0.9993,0.9997,0.9799,0.2487,"converged normally"
"data32",139.8161,67,122,0,0.0147,0.0058,0.9991,0.9996,-3460.7619,-4255.8351,2249.9175,0.9271,0.7401,0.5556,0.8171,0.6269,0.9991,0.9996,0.9813,0.2406,"converged normally"
"data33",110.3844,67,122,7e-04,0.0114,0.0051,0.9995,0.9998,351.7907,-443.2825,343.6412,0.9323,0.7558,0.5543,0.8179,0.6512,0.9994,0.9998,0.9809,0.2558,"converged normally"
"data34",167.0405,67,122,0,0.0173,0.0062,0.9988,0.9995,-1388.9137,-2183.9869,1213.9935,0.9298,0.7407,0.5488,0.8218,0.6418,0.9993,0.9997,0.9824,0.2556,"converged normally"
"data35",90.0845,67,122,0.0315,0.0083,0.004,0.9997,0.9999,-1960.4217,-2755.4948,1499.7474,0.9354,0.7626,0.5597,0.8037,0.6306,0.9993,0.9997,0.9802,0.2426,"converged normally"
"data36",106.6176,67,122,0.0015,0.0109,0.0067,0.9995,0.9998,-1115.4169,-1910.4901,1077.2451,0.9277,0.7475,0.5381,0.8019,0.6354,0.9991,0.9997,0.9791,0.2457,"converged normally"
"data37",95.5675,67,122,0.0125,0.0092,0.0053,0.9996,0.9998,-427.2863,-1222.3594,733.1797,0.9316,0.7448,0.5618,0.8129,0.6376,0.9993,0.9997,0.9812,0.2473,"converged normally"
