"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","status"
"concat_BOLD3TRfilt_26",356.0794,115,115,0,0.0355,0.0263,0.9791,0.9874,142334.5036,141711.4128,-70740.7064,0.1424,0.3802,0.5938,0.5658,0.3005,0.436,0.386,0.3378,0.5681,0.6001,"converged normally"
"concat_BOLD3TRfilt_27",218.1983,115,115,0,0.0232,0.0264,0.9902,0.9941,140843.1937,140220.1029,-69995.0515,0.1715,0.3517,0.5429,0.5678,0.2968,0.422,0.3118,0.329,0.6105,0.5496,"converged normally"
"concat_BOLD3TRfilt_28",370.1249,115,115,0,0.0365,0.0291,0.9797,0.9877,141734.9557,141111.8649,-70440.9324,0.1698,0.4247,0.6087,0.6014,0.2785,0.4841,0.4018,0.3818,0.6535,0.6428,"converged normally"
"concat_BOLD3TRfilt_29",327.9699,115,115,0,0.0333,0.0258,0.979,0.9873,142482.3093,141859.2185,-70814.6093,0.2059,0.327,0.5526,0.4689,0.2693,0.4621,0.3241,0.3058,0.5603,0.5308,"converged normally"
"concat_BOLD3TRfilt_30",324.4528,115,115,0,0.0331,0.0249,0.9819,0.9891,142394.5719,141771.4811,-70770.7406,0.184,0.405,0.5642,0.5918,0.2518,0.5137,0.3677,0.3261,0.5823,0.5754,"converged normally"
"concat_BOLD3TRfilt_31",357.7462,115,115,0,0.0356,0.0261,0.9786,0.987,141522.5263,140899.4355,-70334.7177,0.1986,0.3552,0.5639,0.537,0.3167,0.4562,0.3398,0.2979,0.6164,0.6162,"converged normally"
"concat_BOLD3TRfilt_32",264.2134,115,115,0,0.0279,0.0315,0.9865,0.9918,141111.8058,140488.715,-70129.3575,0.2173,0.3966,0.5778,0.5364,0.3009,0.4624,0.3727,0.3126,0.599,0.5347,"converged normally"
"concat_BOLD3TRfilt_33",324.0617,115,115,0,0.033,0.0233,0.9807,0.9883,142878.191,142255.1002,-71012.5501,0.1306,0.3227,0.5622,0.5744,0.3209,0.3629,0.3578,0.31,0.6175,0.5568,"converged normally"
"concat_BOLD3TRfilt_34",334.0305,115,115,0,0.0338,0.0287,0.981,0.9885,141862.9344,141239.8436,-70504.9218,0.1657,0.371,0.5548,0.5995,0.2417,0.501,0.3759,0.3543,0.5908,0.5958,"converged normally"
"concat_BOLD3TRfilt_35",355.4643,115,115,0,0.0354,0.0278,0.9801,0.988,141300.5169,140677.4261,-70223.7131,0.2285,0.3683,0.5681,0.6122,0.2977,0.4467,0.3744,0.3751,0.6189,0.6086,"converged normally"
"concat_BOLD3TRfilt_36",368.7788,115,115,0,0.0364,0.0272,0.9747,0.9847,142477.8416,141854.7508,-70812.3754,0.1845,0.2953,0.4752,0.481,0.3159,0.4196,0.3584,0.2944,0.5764,0.5818,"converged normally"
"concat_BOLD3TRfilt_37",267.478,115,115,0,0.0282,0.0299,0.9868,0.992,142221.6115,141598.5207,-70684.2604,0.1645,0.4387,0.5933,0.6222,0.2454,0.4216,0.3704,0.3625,0.5921,0.5746,"converged normally"
"concat_BOLD3TRfilt_38",352.946,115,115,0,0.0352,0.0287,0.9785,0.987,142740.8383,142117.7475,-70943.8737,0.2236,0.3179,0.4628,0.5789,0.2903,0.4363,0.3836,0.313,0.5689,0.6477,"converged normally"
"concat_BOLD3TRfilt_39",430.4626,115,115,0,0.0406,0.0294,0.9724,0.9833,141898.6998,141275.6091,-70522.8045,0.2083,0.3693,0.5842,0.5649,0.3033,0.4705,0.34,0.2989,0.615,0.5499,"converged normally"
"concat_BOLD3TRfilt_40",444.7748,115,115,0,0.0415,0.0368,0.9698,0.9817,142422.017,141798.9262,-70784.4631,0.1941,0.3502,0.5298,0.5563,0.249,0.476,0.3834,0.3014,0.5816,0.5704,"converged normally"
"concat_BOLD3TRfilt_41",410.5402,115,115,0,0.0393,0.0275,0.9743,0.9845,142508.1143,141885.0235,-70827.5118,0.1969,0.349,0.5887,0.583,0.2839,0.4788,0.3621,0.3543,0.5684,0.6008,"converged normally"
"concat_BOLD3TRfilt_42",342.6036,115,115,0,0.0345,0.0318,0.9808,0.9884,141992.3756,141369.2848,-70569.6424,0.1734,0.3964,0.6017,0.5912,0.2352,0.4869,0.416,0.3815,0.6064,0.5799,"converged normally"
"concat_BOLD3TRfilt_43",331.6987,115,115,0,0.0336,0.0259,0.9808,0.9884,142521.5076,141898.4168,-70834.2084,0.1708,0.3606,0.5558,0.5926,0.33,0.388,0.3646,0.3427,0.6311,0.5932,"converged normally"
"concat_BOLD3TRfilt_44",392.9224,115,115,0,0.0381,0.0293,0.9753,0.9851,142224.6246,141601.5338,-70685.7669,0.1989,0.3151,0.5058,0.5412,0.3211,0.4794,0.3889,0.3062,0.6097,0.6145,"converged normally"
"concat_BOLD3TRfilt_45",334.214,115,115,0,0.0338,0.0235,0.9794,0.9875,142962.6642,142339.5734,-71054.7867,0.1954,0.3029,0.5636,0.4891,0.2825,0.4449,0.3863,0.3391,0.5576,0.5766,"converged normally"
"concat_BOLD3TRfilt_46",352.3385,115,115,0,0.0352,0.0291,0.9776,0.9865,140917.4884,140294.3976,-70032.1988,0.2031,0.3577,0.576,0.5151,0.2822,0.4568,0.3454,0.3502,0.5483,0.5403,"converged normally"
