"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","status"
"data1",17.937,10,55,0.056,0.0126,9e-04,0.9998,1,-25582.8669,-25941.3015,13025.6508,0.9947,0.9943,0.9993,0.9686,0.6031,"converged normally"
"data10",28.1068,10,55,0.0017,0.019,0.0013,0.9995,0.9999,-22919.0691,-23277.5037,11693.7519,0.9943,0.9942,0.9993,0.9657,0.5805,"converged normally"
"data11",15.3406,10,55,0.1201,0.0103,0.0013,0.9999,1,-26098.4214,-26456.856,13283.428,0.9948,0.9947,0.9993,0.9676,0.5957,"converged normally"
"data12",26.8738,10,55,0.0027,0.0184,6e-04,0.9995,0.9999,-26243.6975,-26602.1321,13356.0661,0.9951,0.9946,0.9993,0.9695,0.6,"converged normally"
"data13",24.9473,10,55,0.0054,0.0173,7e-04,0.9996,0.9999,-24368.69,-24727.1246,12418.5623,0.9946,0.9943,0.9993,0.968,0.5855,"converged normally"
"data14",36.8281,10,55,1e-04,0.0232,0.0015,0.9993,0.9998,-22294.5709,-22653.0056,11381.5028,0.9942,0.9939,0.9993,0.9639,0.5698,"converged normally"
"data15",26.122,10,55,0.0036,0.018,0.0011,0.9996,0.9999,-23200.2862,-23558.7208,11834.3604,0.9948,0.9946,0.9993,0.9657,0.5969,"converged normally"
"data16",18.454,10,55,0.0478,0.013,8e-04,0.9998,0.9999,-22874.4073,-23232.8419,11671.421,0.9944,0.9941,0.9993,0.966,0.5861,"converged normally"
"data17",39.1773,10,55,0,0.0242,0.005,0.9992,0.9998,-21706.8189,-22065.2536,11087.6268,0.9943,0.9944,0.9993,0.9647,0.5677,"converged normally"
"data18",22.7691,10,55,0.0116,0.016,0.0011,0.9997,0.9999,-23707.0094,-24065.444,12087.722,0.9941,0.9943,0.9993,0.965,0.5844,"converged normally"
"data19",49.935,10,55,0,0.0283,5e-04,0.9989,0.9998,-19591.6405,-19950.0751,10030.0376,0.9942,0.994,0.9992,0.9614,0.5605,"converged normally"
"data2",42.3836,10,55,0,0.0255,0.0045,0.9991,0.9998,-24468.8792,-24827.3138,12468.6569,0.9944,0.9943,0.9993,0.9669,0.5899,"converged normally"
"data20",27.4485,10,55,0.0022,0.0187,0.0012,0.9995,0.9999,-22965.0423,-23323.4769,11716.7385,0.9943,0.9943,0.9993,0.965,0.5688,"converged normally"
"data21",22.4136,10,55,0.0131,0.0158,0.0029,0.9997,0.9999,-21971.4259,-22329.8605,11219.9302,0.9939,0.994,0.9993,0.9659,0.5718,"converged normally"
"data22",40.0688,10,55,0,0.0245,0.0019,0.9992,0.9998,-24996.1694,-25354.604,12732.302,0.9945,0.9947,0.9993,0.968,0.5876,"converged normally"
"data23",49.9403,10,55,0,0.0283,0.0014,0.9989,0.9998,-23325.1578,-23683.5924,11896.7962,0.9944,0.9942,0.9993,0.966,0.5803,"converged normally"
"data24",32.0039,10,55,4e-04,0.021,0.0015,0.9994,0.9999,-23856.8603,-24215.295,12162.6475,0.9948,0.9944,0.9993,0.966,0.579,"converged normally"
"data25",22.7729,10,55,0.0116,0.016,0.005,0.9997,0.9999,-22682.6914,-23041.1261,11575.563,0.9944,0.9939,0.9993,0.9645,0.5758,"converged normally"
"data26",27.6372,10,55,0.0021,0.0188,7e-04,0.9995,0.9999,-26291.8019,-26650.2365,13380.1182,0.9948,0.9945,0.9994,0.9675,0.593,"converged normally"
"data27",28.2145,10,55,0.0017,0.0191,0.0011,0.9995,0.9999,-23504.0535,-23862.4881,11986.244,0.9943,0.9941,0.9993,0.9672,0.5828,"converged normally"
"data28",6.545,10,55,0.7676,0,0.0022,1.0001,1,-25942.397,-26300.8316,13205.4158,0.9948,0.9949,0.9994,0.9693,0.6013,"converged normally"
"data29",14.4701,10,55,0.1526,0.0095,6e-04,0.9999,1,-20528.3811,-20886.8157,10498.4078,0.994,0.9941,0.9993,0.9638,0.5648,"converged normally"
"data3",45.0064,10,55,0,0.0265,0.003,0.9991,0.9998,-23867.2805,-24225.7151,12167.8576,0.9944,0.9941,0.9993,0.9665,0.5846,"converged normally"
"data30",23.5964,10,55,0.0087,0.0165,0.003,0.9996,0.9999,-22043.9669,-22402.4015,11256.2008,0.9943,0.9944,0.9993,0.9652,0.5841,"converged normally"
"data31",27.2208,10,55,0.0024,0.0186,0.001,0.9995,0.9999,-27473.2105,-27831.6451,13970.8226,0.9945,0.9948,0.9994,0.9693,0.6194,"converged normally"
"data32",27.3217,10,55,0.0023,0.0186,0.0039,0.9995,0.9999,-24640.9783,-24999.4129,12554.7065,0.9949,0.9944,0.9993,0.9667,0.5991,"converged normally"
