"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",-0.196,-0.0812,-0.2249,0.117,0,0.1251,0,0,0,-0.1045,0,0.2799,-0.2342,1.0359,0.386,-0.0173,0.1527,0,0,-0.0455
"V2",0,0.1174,-0.7107,0,0,-0.0265,0.0608,0,0,0,0,0,0.3415,0,0,0.0599,-0.3396,0,0,-0.0323
"V3",0,1.0296,-0.7617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",-0.4575,1.6911,0.1997,-1.0972,0.3838,0.1926,0.2123,1.5068,-1.7279,-0.2181,-2.07,0,0.1682,0,0,0,-0.1095,0,-0.0968,0
"V5",0.1357,-0.2929,0,-0.2127,-0.6222,0.025,-0.3311,0.1666,0.2431,-0.0363,0.5987,0,0.0249,-0.0398,0,0.014,-0.0223,0.0329,-0.0973,0.0146
"V6",0,0,0,0,0,0.2887,0,0,0,-0.3146,0,0,0,0,0,0,0,0,0,0
"V7",0,0.8596,0.1862,0,0,-0.0728,0.1807,0,0,0,0,0,0,0,0,0.1784,0,0,0,-0.1077
"V8",0,0,1.095,0,0,-0.1505,0,0.4829,-0.5879,-0.1732,0,0,-0.4396,0,0,0.0474,0,0,0,-0.0436
"V9",0,0,0,0.303,-0.0449,-0.1171,-0.0848,0,0.1027,0,0.3671,0,0.1748,0.2866,0,-0.0812,0.2959,0.7212,0,-0.1047
"V10",0,0,0,0,0,0.239,0,0,0,0.1822,0,0,0,0,0,0.1674,0,0,0,0
