"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",-0.2016,-0.0957,-0.2131,0.1187,0,0.1068,0,0,0,-0.0959,0,0.2657,-0.2071,1.0457,0.3786,-0.0125,0.1287,0,0,-0.0391
"V2",0,0.0815,-0.6929,0,0,-0.0245,0.0496,0,0,0,0,0,0.3597,0,0,0.0515,-0.3228,0,0,-0.0261
"V3",0,1.04,-0.7747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",-0.4573,1.7497,0.2292,-1.2012,0.3555,0.1881,0.1997,1.5478,-1.78,-0.2083,-2.1955,0,0.1753,0,0,0,-0.1078,0,-0.1012,0
"V5",0.1476,-0.309,0,-0.211,-0.63,0.0211,-0.3231,0.162,0.2482,-0.0343,0.6222,0,0.0214,-0.0313,0,0.0128,-0.0223,0.0284,-0.092,0.0123
"V6",0,0,0,0,0,0.295,0,0,0,-0.3046,0,0,0,0,0,0,0,0,0,0
"V7",0,0.8574,0.2139,0,0,-0.0677,0.1601,0,0,0,0,0,0,0,0,0.1531,0,0,0,-0.091
"V8",0,0,1.1061,0,0,-0.1379,0,0.4582,-0.5723,-0.1689,0,0,-0.4329,0,0,0.0426,0,0,0,-0.0262
"V9",0,0,0,0.3125,-0.0459,-0.1133,-0.0835,0,0.102,0,0.3557,0,0.1724,0.3051,0,-0.0736,0.2891,0.7038,0,-0.0917
"V10",0,0,0,0,0,0.2198,0,0,0,0.1687,0,0,0,0,0,0.1742,0,0,0,0
