"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","X7_r2","X8_r2","X9_r2","status"
"data52",115.503,65,124,1e-04,0.0125,0.0036,0.9994,0.9997,69582.1091,68774.0019,-34263.0009,0.9339,0.7571,0.5694,0.8237,0.6424,0.9993,0.9998,0.9824,0.2499,"converged normally"
"data53",103.4934,65,124,0.0017,0.0109,0.0052,0.9995,0.9998,72474.3859,71666.2787,-35709.1394,0.9343,0.7576,0.5499,0.8033,0.6211,0.9993,0.9998,0.9801,0.2601,"converged normally"
"data54",131.9412,65,124,0,0.0144,0.0061,0.9991,0.9996,73940.2894,73132.1822,-36442.0911,0.9372,0.7573,0.5671,0.8155,0.629,0.9991,0.9998,0.9818,0.2564,"converged normally"
"data55",92.5007,65,124,0.0141,0.0092,0.0041,0.9997,0.9999,67739.8795,66931.7724,-33341.8862,0.9303,0.7405,0.5469,0.8226,0.6463,0.9994,0.9999,0.9825,0.2615,"converged normally"
"data56",92.2401,65,124,0.0148,0.0092,0.0044,0.9996,0.9998,76572.1658,75764.0586,-37758.0293,0.9304,0.7498,0.5282,0.8054,0.6341,0.9991,0.9998,0.9792,0.2374,"converged normally"
"data57",103.1274,65,124,0.0018,0.0108,0.0045,0.9995,0.9998,73227.2875,72419.1804,-36085.5902,0.934,0.7438,0.567,0.815,0.6311,0.9992,0.9998,0.9815,0.2513,"converged normally"
"data58",90.1694,65,124,0.0212,0.0088,0.0036,0.9997,0.9999,75525.5028,74717.3956,-37234.6978,0.9355,0.7453,0.535,0.8041,0.6303,0.9991,0.9998,0.9795,0.2554,"converged normally"
"data59",114.4483,65,124,1e-04,0.0123,0.005,0.9994,0.9997,76325.2121,75517.105,-37634.5525,0.9336,0.7447,0.566,0.8121,0.6269,0.999,0.9998,0.9801,0.2529,"converged normally"
"data6",95.3852,65,124,0.0084,0.0097,0.0028,0.9996,0.9998,75791.4616,74983.3544,-37367.6772,0.9329,0.7429,0.5521,0.8067,0.6071,0.9992,0.9998,0.9793,0.2423,"converged normally"
"data60",103.1249,65,124,0.0018,0.0108,0.0043,0.9995,0.9998,74267.1247,73459.0176,-36605.5088,0.9391,0.7476,0.5637,0.8133,0.6274,0.9992,0.9998,0.9802,0.2526,"converged normally"
"data7",85.5809,65,124,0.0445,0.008,0.0054,0.9997,0.9999,73027.0221,72218.9149,-35985.4575,0.9353,0.7592,0.5476,0.8139,0.6319,0.9992,0.9998,0.9805,0.2697,"converged normally"
"data8",138.8498,65,124,0,0.0151,0.0048,0.9991,0.9996,68699.0204,67890.9132,-33821.4566,0.9333,0.7455,0.5495,0.8168,0.647,0.9994,0.9998,0.9821,0.242,"converged normally"
"data9",110.872,65,124,3e-04,0.0119,0.0055,0.9994,0.9997,73483.3216,72675.2145,-36213.6072,0.9355,0.7543,0.5399,0.8173,0.6271,0.9992,0.9998,0.9806,0.2467,"converged normally"
