"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","X7_r2","X8_r2","status"
"data1",139.2788,49,103,0,0.0192,0.0034,0.999,0.9996,6570.8625,5899.6122,-2846.8061,0.9942,0.9789,0.9366,0.9573,0.993,0.9966,0.9924,0.1815,"converged normally"
"data10",131.7128,49,103,0,0.0184,0.0021,0.9991,0.9996,12238.6562,11567.4059,-5680.703,0.9937,0.9765,0.9323,0.9536,0.9919,0.9963,0.9916,0.1704,"converged normally"
"data11",118.2558,49,103,0,0.0168,0.0051,0.9992,0.9997,7419.1298,6747.8795,-3270.9397,0.9941,0.9783,0.9368,0.9577,0.9928,0.9967,0.9924,0.1835,"converged normally"
"data12",109.3097,49,103,0,0.0157,0.0023,0.9993,0.9997,3531.7801,2860.5298,-1327.2649,0.9945,0.98,0.9369,0.9583,0.9931,0.9968,0.9929,0.1769,"converged normally"
"data13",115.7197,49,103,0,0.0165,0.0019,0.9993,0.9997,9923.2793,9252.029,-4523.0145,0.9938,0.9766,0.9342,0.9556,0.9927,0.9965,0.9921,0.1912,"converged normally"
"data14",147.5519,49,103,0,0.0201,0.0025,0.9989,0.9996,-73.2576,-744.5079,475.254,0.9947,0.9811,0.9385,0.9616,0.9936,0.9971,0.9936,0.1824,"converged normally"
"data15",124.3589,49,103,0,0.0175,0.0028,0.9992,0.9997,2563.3462,1892.0959,-843.0479,0.9945,0.9798,0.9382,0.9604,0.9935,0.997,0.9931,0.186,"converged normally"
"data16",117.9222,49,103,0,0.0168,0.0033,0.9992,0.9997,5416.5965,4745.3462,-2269.6731,0.9944,0.9786,0.9337,0.9581,0.9929,0.9967,0.9928,0.1861,"converged normally"
"data17",137.6465,49,103,0,0.019,0.0015,0.999,0.9996,11302.4575,10631.2072,-5212.6036,0.9937,0.9772,0.9308,0.9541,0.9919,0.9965,0.9917,0.1965,"converged normally"
"data18",111.1478,49,103,0,0.0159,0.0027,0.9993,0.9997,8280.0007,7608.7504,-3701.3752,0.994,0.9783,0.9347,0.9557,0.9927,0.9966,0.9924,0.1933,"converged normally"
"data19",122.8905,49,103,0,0.0174,0.0043,0.9992,0.9997,12361.0428,11689.7925,-5741.8963,0.9934,0.9763,0.9265,0.9509,0.9923,0.9963,0.9919,0.1613,"converged normally"
"data2",134.1792,49,103,0,0.0186,0.005,0.9991,0.9996,2980.4895,2309.2392,-1051.6196,0.9946,0.9799,0.9387,0.9593,0.9934,0.9969,0.9932,0.2119,"converged normally"
"data20",127.0143,49,103,0,0.0178,0.0024,0.9991,0.9996,12457.8573,11786.607,-5790.3035,0.9934,0.9761,0.9304,0.9534,0.992,0.9961,0.9919,0.2017,"converged normally"
"data21",114.7254,49,103,0,0.0164,0.0074,0.9993,0.9997,12510.042,11838.7917,-5816.3958,0.9933,0.9761,0.9312,0.9546,0.9922,0.9963,0.9919,0.1695,"converged normally"
"data22",156.4335,49,103,0,0.0209,0.0065,0.9988,0.9995,8379.2651,7708.0148,-3751.0074,0.9939,0.9781,0.9345,0.9544,0.9927,0.9967,0.9925,0.1745,"converged normally"
