"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.7278,-0.399,-0.0987,-0.0633,-0.0425,0,0,0.0107,0,-0.121,0,0,0.1067,0,0,0
"X2",0,0.8115,0.0993,-0.5192,0,0,0,0.0884,0,0,0,0,0,0,0,0
"X3",0,0,0.4402,1.3049,2.9135,1.6806,0,-0.2255,0,-0.2408,0,0.2044,0,0,-0.0958,-0.1033
"X4",0,0.9391,0,0.2621,0,0,-0.2378,0,0,0,0,0,0,-0.5126,0.4525,0
"X5",0,-0.3915,-0.1614,-0.0477,0.369,0,0,0.0143,0,-0.172,0,-0.1582,0,-0.099,0,0
"X6",0,0,0,0,0.0332,0.6055,-0.467,0,0,0,0,0.0169,0,0,-0.167,0
"X7",0,0.1354,0,0,-0.4808,0,0.859,0,0,0,0,0,0,0,0,0
"X8",0,0,0,0,0,0,0,0.4271,0,0,0,0,0,0,0,0
