"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0
"X2",0,0.0213,0,0,0,0,0,0,0,0,0,0,0,0,0.0268,0.0312,0,0,0.0328,0
"X3",0,0,0.0173,0,0,0,0,0,0,0,0,0.018,0,0.0182,0,0,0,0,0,0
"X4",0,0,0,0.0172,0,0,0,0,0,0,0.0228,0.0189,0,0,0.02,0,0,0,0,0
"X5",0,0,0,0,0.0206,0,0,0,0,0,0,0,0,0,0,0.0207,0,0,0,0
"X6",0,0,0,0,0,0.0182,0,0,0,0,0.0245,0,0,0,0,0,0.0239,0,0.0202,0
"X7",0,0,0,0,0,0,0.0194,0,0,0,0,0,0.0194,0.0181,0,0,0,0,0,0
"X8",0,0,0,0,0,0,0,0.0206,0,0,0,0.0244,0,0,0,0,0,0,0,0
"X9",0,0,0,0,0,0,0,0,0.0156,0,0,0,0,0.0177,0,0,0,0.0184,0,0
"X10",0,0,0,0,0,0,0,0,0,0.0157,0,0,0,0,0,0.017,0.0198,0,0,0
