"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189,0,0
"X2",0,0.0205,0,0,0,0,0,0,0,0,0,0,0,0,0.0266,0.0266,0,0,0.0319,0
"X3",0,0,0.0157,0,0,0,0,0,0,0,0,0.0181,0,0.0174,0,0,0,0,0,0
"X4",0,0,0,0.0162,0,0,0,0,0,0,0.0217,0.0191,0,0,0.0201,0,0,0,0,0
"X5",0,0,0,0,0.0206,0,0,0,0,0,0,0,0,0,0,0.0186,0,0,0,0
"X6",0,0,0,0,0,0.0187,0,0,0,0,0.0258,0,0,0,0,0,0.0255,0,0.0228,0
"X7",0,0,0,0,0,0,0.0196,0,0,0,0,0,0.02,0.019,0,0,0,0,0,0
"X8",0,0,0,0,0,0,0,0.0207,0,0,0,0.0239,0,0,0,0,0,0,0,0
"X9",0,0,0,0,0,0,0,0,0.0157,0,0,0,0,0.0174,0,0,0,0.0186,0,0
"X10",0,0,0,0,0,0,0,0,0,0.0151,0,0,0,0,0,0.0158,0.0197,0,0,0
