"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.6989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1438,0,0,0,0
"X2",0,0.6609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767,0,0
"X3",0,0,0.5482,0,0,0,0,0,0,0,0,0.3387,0,0,0,0,0,0,0,0
"X4",0,0,0,0.7238,0,0,0,0,0,0,0,0,0,0,0,0.1292,0,0,0,0
"X5",0,0,0,0,0.5277,0,0,0,0,0,0,0,0,0.4294,0,0,0,0,0,0
"X6",0,0,0,0,0,0.5049,0,0,0.1818,0,0,0,0,0,0,0,0,0,0,0.3728
"X7",0,0,0,0,0,0,0.5594,0,0,0,0,0,0.0569,0,0,0,0,0,0,0.3212
"X8",0,0,0,0,0,0,0,0.5959,0,0,0,0,0,0,0,0,0,0,0.3305,0
"X9",0,0,0,0,0,0,0,0,0.477,0,0,0.241,0,0,0,0.1981,0,0,0,0
"X10",0,0,0,0,0,0,0,0,0,0.6913,0,0.1073,0,0,0,0,0,0,0,0
