"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.6676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1542,0,0,0,0
"X2",0,0.6727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2294,0,0
"X3",0,0,0.4598,0,0,0,0,0,0,0,0,0.4278,0,0,0,0,0,0,0,0
"X4",0,0,0,0.6983,0,0,0,0,0,0,0,0,0,0,0,0.2187,0,0,0,0
"X5",0,0,0,0,0.516,0,0,0,0,0,0,0,0,0.2737,0,0.2045,0,0,0,0
"X6",0,0,0,0,0,0.5113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3172
"X7",0,0,0,0,0,0,0.6227,0,0,0,0,0,0.0919,0,0,0,0,0,0,0.1376
"X8",0,0,0,0,0,0,0,0.4217,0,0,0,0,0,0,0,0,0,0,0.4804,0
"X9",0,0,0,0,0,0,0,0,0.6138,0,0,0,0,0,0,0.2731,0,0,0,0
"X10",0,0,0,0,0,0.3953,0,0,0,0.4307,0,0.0059,0,0,0,0,0,0,0,0
