"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","status"
"data1",53.3048,13,52,0,0.0249,0.0013,0.9989,0.9997,17197.4759,16858.5922,-8377.2961,0.9963,0.9891,0.4108,0.96,0.9468,"converged normally"
"data10",70.8783,13,52,0,0.0298,7e-04,0.9984,0.9995,17824.5188,17485.6351,-8690.8176,0.9962,0.9889,0.3462,0.9563,0.9555,"converged normally"
"data11",79.6244,13,52,0,0.032,9e-04,0.9982,0.9995,16054.2543,15715.3707,-7805.6853,0.996,0.9885,0.3589,0.9576,0.9711,"converged normally"
"data12",68.4458,13,52,0,0.0292,0.0011,0.9985,0.9996,16503.6704,16164.7867,-8030.3934,0.9962,0.9893,0.4132,0.9578,0.9608,"converged normally"
"data13",74.8948,13,52,0,0.0309,6e-04,0.9983,0.9995,17701.0126,17362.129,-8629.0645,0.9962,0.9886,0.3461,0.9573,0.9553,"converged normally"
"data14",71.1788,13,52,0,0.0299,9e-04,0.9984,0.9995,18941.8305,18602.9468,-9249.4734,0.9959,0.9884,0.3004,0.955,0.9587,"converged normally"
"data15",83.9501,13,52,0,0.033,0.0014,0.998,0.9994,19558.6004,19219.7168,-9557.8584,0.9958,0.988,0.3413,0.9539,0.9559,"converged normally"
"data16",96.2532,13,52,0,0.0358,0.0012,0.9977,0.9993,16696.4815,16357.5979,-8126.7989,0.9962,0.9886,0.3123,0.9568,0.9645,"converged normally"
"data17",67.0305,13,52,0,0.0288,0.0013,0.9985,0.9996,17459.2345,17120.3508,-8508.1754,0.9963,0.9891,0.367,0.9568,0.9545,"converged normally"
"data18",87.4188,13,52,0,0.0338,5e-04,0.9979,0.9994,18913.4178,18574.5341,-9235.2671,0.9957,0.9883,0.2529,0.9531,0.9619,"converged normally"
"data19",64.1379,13,52,0,0.0281,0.0012,0.9986,0.9996,14389.5089,14050.6253,-6973.3126,0.9963,0.9893,0.3373,0.96,0.9687,"converged normally"
"data2",73.299,13,52,0,0.0305,0.0013,0.9983,0.9995,19827.1153,19488.2317,-9692.1158,0.996,0.9883,0.226,0.9545,0.9464,"converged normally"
"data20",110.0181,13,52,0,0.0386,9e-04,0.9973,0.9992,16684.0365,16345.1528,-8120.5764,0.9961,0.9887,0.2976,0.9558,0.9664,"converged normally"
"data21",57.7658,13,52,0,0.0262,0.0025,0.9987,0.9996,18967.0006,18628.1169,-9262.0585,0.9958,0.9881,0.3208,0.9534,0.9612,"converged normally"
"data22",64.1306,13,52,0,0.028,0.0012,0.9986,0.9996,17327.2433,16988.3596,-8442.1798,0.9961,0.9889,0.3011,0.9577,0.9591,"converged normally"
"data23",66.2119,13,52,0,0.0286,0.0014,0.9985,0.9996,17984.4162,17645.5325,-8770.7663,0.996,0.9887,0.3266,0.9556,0.961,"converged normally"
"data24",70.4326,13,52,0,0.0297,9e-04,0.9984,0.9995,15909.0619,15570.1782,-7733.0891,0.9962,0.989,0.3966,0.9581,0.9645,"converged normally"
"data25",69.7739,13,52,0,0.0296,0.0012,0.9984,0.9995,16298.0019,15959.1182,-7927.5591,0.9962,0.9895,0.3275,0.958,0.9615,"converged normally"
"data26",89.755,13,52,0,0.0344,9e-04,0.9979,0.9994,16232.3316,15893.448,-7894.724,0.9965,0.9894,0.3082,0.9578,0.9567,"converged normally"
"data27",72.941,13,52,0,0.0304,0.0016,0.9983,0.9995,17378.2958,17039.4121,-8467.7061,0.9961,0.9894,0.3381,0.9563,0.9607,"converged normally"
"data28",93.2276,13,52,0,0.0351,0.0014,0.9978,0.9994,17368.664,17029.7804,-8462.8902,0.9961,0.9891,0.2967,0.9556,0.9627,"converged normally"
"data29",64.5973,13,52,0,0.0282,0.0013,0.9985,0.9996,19730.5712,19391.6876,-9643.8438,0.9957,0.9885,0.3122,0.9534,0.9585,"converged normally"
"data3",69.5098,13,52,0,0.0295,9e-04,0.9984,0.9996,16532.6896,16193.8059,-8044.903,0.9965,0.9898,0.2469,0.9592,0.9512,"converged normally"
"data30",114.5841,13,52,0,0.0395,0.0015,0.9972,0.9992,17992.9578,17654.0741,-8775.0371,0.9958,0.9875,0.1793,0.9541,0.9646,"converged normally"
"data31",99.1959,13,52,0,0.0364,7e-04,0.9976,0.9993,17390.9381,17052.0544,-8474.0272,0.996,0.9886,0.4277,0.9559,0.9629,"converged normally"
"data32",87.5949,13,52,0,0.0339,0.0013,0.9979,0.9994,16432.7434,16093.8598,-7994.9299,0.9962,0.9889,0.2784,0.9567,0.9639,"converged normally"
"data33",89.769,13,52,0,0.0344,0.0016,0.9979,0.9994,18476.7497,18137.866,-9016.933,0.9959,0.9887,0.2153,0.9531,0.9661,"converged normally"
"data34",74.2974,13,52,0,0.0307,0.0012,0.9983,0.9995,18986.099,18647.2154,-9271.6077,0.9959,0.9879,0.3225,0.9541,0.9561,"converged normally"
"data35",87.993,13,52,0,0.034,6e-04,0.9979,0.9994,17197.1476,16858.2639,-8377.132,0.9961,0.9888,0.3629,0.9563,0.9639,"converged normally"
"data36",86.8519,13,52,0,0.0337,8e-04,0.9979,0.9994,19351.2274,19012.3438,-9454.1719,0.9959,0.9883,0.3223,0.9554,0.9491,"converged normally"
"data37",73.1073,13,52,0,0.0304,0.0019,0.9983,0.9995,17920.4723,17581.5886,-8738.7943,0.9963,0.9891,0.4036,0.9577,0.9485,"converged normally"
"data38",74.558,13,52,0,0.0308,0.0019,0.9983,0.9995,18861.3876,18522.5039,-9209.252,0.9961,0.9886,0.3277,0.9546,0.953,"converged normally"
"data39",82.2457,13,52,0,0.0326,0.0013,0.9981,0.9994,18704.721,18365.8374,-9130.9187,0.9961,0.9892,0.2201,0.9553,0.9503,"converged normally"
"data4",63.8361,13,52,0,0.028,0.001,0.9986,0.9996,17088.3211,16749.4375,-8322.7187,0.9961,0.9888,0.2478,0.9562,0.9647,"converged normally"
"data40",65.436,13,52,0,0.0284,9e-04,0.9985,0.9996,17459.4433,17120.5596,-8508.2798,0.9961,0.9889,0.2722,0.9581,0.9545,"converged normally"
"data41",63.0415,13,52,0,0.0277,0.001,0.9986,0.9996,16791.6157,16452.7321,-8174.366,0.9963,0.9891,0.285,0.9583,0.9596,"converged normally"
"data42",89.9294,13,52,0,0.0344,0.0021,0.9979,0.9994,17880.0091,17541.1254,-8718.5627,0.9961,0.989,0.3441,0.9587,0.9474,"converged normally"
"data43",73.5243,13,52,0,0.0305,0.0013,0.9983,0.9995,17160.546,16821.6624,-8358.8312,0.9961,0.9887,0.2562,0.9559,0.9624,"converged normally"
"data44",78.3971,13,52,0,0.0317,0.0011,0.9982,0.9995,19317.8031,18978.9195,-9437.4597,0.9959,0.9883,0.2643,0.9531,0.9584,"converged normally"
"data45",80.5479,13,52,0,0.0322,0.0013,0.9981,0.9995,17787.2457,17448.3621,-8672.181,0.9959,0.9885,0.3133,0.956,0.96,"converged normally"
"data46",76.3372,13,52,0,0.0312,0.0016,0.9982,0.9995,17803.7979,17464.9143,-8680.4571,0.9961,0.9889,0.2777,0.9572,0.9588,"converged normally"
"data47",82.632,13,52,0,0.0327,0.002,0.9981,0.9994,17391.0057,17052.122,-8474.061,0.9961,0.9886,0.3811,0.957,0.9566,"converged normally"
"data48",59.8099,13,52,0,0.0268,0.0015,0.9987,0.9996,19132.988,18794.1044,-9345.0522,0.996,0.9888,0.2291,0.9533,0.9536,"converged normally"
"data49",118.7828,13,52,0,0.0403,0.0014,0.9971,0.9992,16380.5815,16041.6978,-7968.8489,0.9963,0.989,0.3746,0.9586,0.9592,"converged normally"
"data5",63.2247,13,52,0,0.0278,8e-04,0.9986,0.9996,17495.5565,17156.6729,-8526.3364,0.9961,0.9893,0.3191,0.9559,0.9588,"converged normally"
"data50",70.9091,13,52,0,0.0299,0.0014,0.9984,0.9995,16247.4691,15908.5854,-7902.2927,0.996,0.9886,0.2824,0.956,0.9696,"converged normally"
"data51",113.8012,13,52,0,0.0394,0.0015,0.9972,0.9992,19928.798,19589.9143,-9742.9572,0.996,0.9881,0.2807,0.9543,0.9479,"converged normally"
"data52",75.0366,13,52,0,0.0309,0.0013,0.9983,0.9995,18560.6073,18221.7237,-9058.8618,0.9961,0.9883,0.4069,0.9565,0.9533,"converged normally"
"data53",79.8973,13,52,0,0.0321,4e-04,0.9982,0.9995,16759.9501,16421.0665,-8158.5332,0.9961,0.9883,0.2459,0.9571,0.9629,"converged normally"
"data54",73.3729,13,52,0,0.0305,7e-04,0.9983,0.9995,16902.7548,16563.8712,-8229.9356,0.996,0.989,0.271,0.9592,0.9581,"converged normally"
"data55",74.0052,13,52,0,0.0306,0.0012,0.9983,0.9995,16526.6482,16187.7646,-8041.8823,0.9963,0.989,0.2773,0.9588,0.9525,"converged normally"
