"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",-0.206,-0.0658,-0.2255,0.102,0,0.1156,0,0,0,-0.098,0,0.2619,-0.2143,1.0168,0.3719,-0.0163,0.1361,0,0,-0.0356
"X2",0,0.1205,-0.722,0,0,-0.028,0.0613,0,0,0,0,0,0.3273,0,0,0.054,-0.3271,0,0,-0.0317
"X3",0,1.033,-0.7651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X4",-0.4576,1.6645,0.2197,-1.1232,0.3842,0.187,0.2004,1.4879,-1.7013,-0.1993,-2.0978,0,0.1809,0,0,0,-0.1039,0,-0.0858,0
"X5",0.1387,-0.2916,0,-0.2152,-0.6235,0.0225,-0.3189,0.1706,0.2367,-0.0359,0.6008,0,0.0175,-0.0329,0,0.0116,-0.0211,0.0275,-0.0937,0.0115
"X6",0,0,0,0,0,0.2513,0,0,0,-0.3245,0,0,0,0,0,0,0,0,0,0.1705
"X7",0,0.8526,0.2198,0,0,-0.069,0.159,0,0,0,0,0,0,0,0,0.1685,0,0,0,-0.094
"X8",0,0,1.0951,0,0,-0.1441,0,0.4629,-0.5536,-0.1646,0,0,-0.4277,0,0,0.0476,0,0,0,-0.0423
"X9",0,0,0,0.2889,-0.0408,-0.1109,-0.0708,0,0.0917,0,0.3418,0,0.2113,0.2667,0,-0.0847,0.297,0.7264,0,-0.0925
"X10",0,0,0,0,0,0.2639,0,0,0,0.1311,0,0,0,0,0,0,0,0,0,0
