"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",-0.2126,-0.067,-0.235,0.111,0,0.1204,0,0,0,-0.0967,0,0.2621,-0.2145,1.018,0.3608,-0.0163,0.1365,0,0,-0.0389
"X2",0,0.0723,-0.6846,0,0,-0.0203,0.0478,0,0,0,0,0,0.364,0,0,0.0589,-0.325,0,0,-0.0264
"X3",0,1.037,-0.7733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X4",-0.4763,1.6937,0.2193,-1.0845,0.3904,0.1791,0.2198,1.4852,-1.7151,-0.1977,-2.066,0,0.186,0,0,0,-0.101,0,-0.1035,0
"X5",0.1362,-0.293,0,-0.2127,-0.6199,0.0256,-0.3245,0.1657,0.2399,-0.0346,0.6135,0,0.0247,-0.0474,0,0.0111,-0.0237,0.0334,-0.0978,0.0109
"X6",0,0,0,0,0,0.2555,0,0,0,-0.3267,0,0,0,0,0,0,0,0,0,0.1867
"X7",0,0.8586,0.212,0,0,-0.0815,0.1664,0,0,0,0,0,0,0,0,0.1779,0,0,0,-0.09
"X8",0,0,1.1317,0,0,-0.152,0,0.502,-0.5821,-0.1689,0,0,-0.4126,0,0,0.0402,0,0,0,-0.0275
"X9",0,0,0,0.2888,-0.0555,-0.1108,-0.0757,0,0.0752,0,0.3295,0,0.192,0.282,0,-0.0802,0.3003,0.6984,0,-0.1001
"X10",0,0,0,0,0,0.2703,0,0,0,0.1316,0,0,0,0,0,0,0,0,0,0
