"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",-0.1931,-0.0913,-0.202,0.0999,0,0.1093,0,0,0,-0.0912,0,0.2599,-0.1878,1.0165,0.387,-0.0137,0.1308,0,0,-0.0373
"X2",0,0.1078,-0.7113,0,0,-0.0185,0.0479,0,0,0,0,0,0.3334,0,0,0.0485,-0.3266,0,0,-0.0271
"X3",0,1.0376,-0.7709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X4",-0.5032,1.7244,0.1814,-1.071,0.3979,0.171,0.2218,1.4815,-1.7295,-0.1925,-2.0774,0,0.1559,0,0,0,-0.1075,0,-0.0823,0
"X5",0.136,-0.3017,0,-0.2141,-0.6274,0.0247,-0.3236,0.1766,0.2326,-0.037,0.5879,0,0.0312,-0.0221,0,0.01,-0.0232,0.0331,-0.0977,0.0118
"X6",0,0,0,0,0,0.2482,0,0,0,-0.3183,0,0,0,0,0,0,0,0,0,0.1873
"X7",0,0.873,0.203,0,0,-0.0638,0.1707,0,0,0,0,0,0,0,0,0.1552,0,0,0,-0.0903
"X8",0,0,1.1221,0,0,-0.1407,0,0.4881,-0.5877,-0.1539,0,0,-0.4294,0,0,0.0458,0,0,0,-0.0409
"X9",0,0,0,0.2787,-0.0435,-0.1074,-0.0897,0,0.0852,0,0.3248,0,0.1951,0.2705,0,-0.0737,0.2972,0.7138,0,-0.0923
"X10",0,0,0,0,0,0.2656,0,0,0,0.1263,0,0,0,0,0,0,0,0,0,0
