"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","status"
"data1",29.7543,11,54,0.0017,0.0185,0.0018,0.9995,0.9999,-9962.5073,-10314.425,5211.2125,0.955,0.985,0.9975,0.999,0.6274,"converged normally"
"data10",21.5054,11,54,0.0285,0.0138,0.0017,0.9997,0.9999,-8547.7664,-8899.684,4503.842,0.9542,0.9842,0.9973,0.9989,0.6146,"converged normally"
"data11",10.6518,11,54,0.4729,0,0.0017,1,1,-9640.4008,-9992.3184,5050.1592,0.9551,0.9844,0.9974,0.999,0.6085,"converged normally"
"data12",16.3135,11,54,0.1299,0.0098,0.005,0.9999,1,-5646.5091,-5998.4268,3053.2134,0.9503,0.9815,0.9971,0.9988,0.622,"converged normally"
"data13",15.8347,11,54,0.1474,0.0094,7e-04,0.9999,1,-11220.4403,-11572.3579,5840.179,0.9586,0.9837,0.9977,0.9991,0.6152,"converged normally"
"data14",19.7697,11,54,0.0486,0.0126,0.0013,0.9998,0.9999,-5967.0604,-6318.978,3213.489,0.9514,0.9829,0.9971,0.9988,0.6033,"converged normally"
"data15",23.2163,11,54,0.0165,0.0149,0.0037,0.9997,0.9999,-4016.6888,-4368.6064,2238.3032,0.9522,0.9798,0.997,0.9987,0.6104,"converged normally"
"data16",10.409,11,54,0.494,0,9e-04,1,1,-13686.6552,-14038.5728,7073.2864,0.959,0.9839,0.9978,0.9992,0.636,"converged normally"
"data17",12.3495,11,54,0.338,0.005,0.0012,1,1,-10827.2399,-11179.1575,5643.5788,0.9562,0.9846,0.9976,0.9991,0.6256,"converged normally"
"data18",33.3554,11,54,5e-04,0.0202,0.0052,0.9994,0.9998,-3859.272,-4211.1896,2159.5948,0.957,0.9808,0.9967,0.9987,0.604,"converged normally"
"data19",24.3164,11,54,0.0115,0.0156,0.0028,0.9997,0.9999,-15552.5521,-15904.4697,8006.2348,0.9617,0.9818,0.9981,0.9992,0.635,"converged normally"
"data2",28.2286,11,54,0.003,0.0177,0.0023,0.9995,0.9999,-9276.5199,-9628.4376,4868.2188,0.953,0.9822,0.9975,0.9991,0.6057,"converged normally"
"data20",14.3481,11,54,0.2143,0.0078,0.0018,0.9999,1,-6739.412,-7091.3296,3599.6648,0.9539,0.9824,0.9971,0.9989,0.6019,"converged normally"
"data21",30.8611,11,54,0.0012,0.019,0.0025,0.9995,0.9999,-14998.9326,-15350.8503,7729.4251,0.9614,0.9853,0.9979,0.9992,0.6372,"converged normally"
"data22",13.7018,11,54,0.2499,0.007,0.0016,0.9999,1,-8588.0351,-8939.9527,4523.9764,0.9588,0.9813,0.9974,0.999,0.6216,"converged normally"
"data23",10.1729,11,54,0.5149,0,0.0025,1,1,-10347.9771,-10699.8948,5403.9474,0.9588,0.9822,0.9976,0.999,0.6226,"converged normally"
"data24",31.6073,11,54,9e-04,0.0194,0.0018,0.9995,0.9999,-12450.0885,-12802.0061,6455.0031,0.9587,0.9842,0.9977,0.9991,0.6197,"converged normally"
"data25",30.3671,11,54,0.0014,0.0188,0.0041,0.9995,0.9999,-15816.641,-16168.5586,8138.2793,0.9615,0.9854,0.998,0.9992,0.627,"converged normally"
"data26",35.2638,11,54,2e-04,0.021,0.0025,0.9993,0.9998,-8808.6333,-9160.5509,4634.2755,0.9568,0.9816,0.9975,0.999,0.5822,"converged normally"
"data27",10.6159,11,54,0.476,0,0.0024,1,1,-10585.7333,-10937.651,5522.8255,0.9543,0.9832,0.9976,0.9991,0.6048,"converged normally"
"data28",17.1265,11,54,0.1042,0.0106,7e-04,0.9998,1,-9262.2605,-9614.1781,4861.0891,0.9571,0.9848,0.9974,0.999,0.6146,"converged normally"
"data29",17.1301,11,54,0.1041,0.0106,8e-04,0.9998,1,-9855.355,-10207.2727,5157.6363,0.9573,0.9815,0.9976,0.9991,0.6124,"converged normally"
"data3",4.7548,11,54,0.9425,0,0.0022,1.0002,1,-6085.3409,-6437.2585,3272.6293,0.9562,0.9817,0.997,0.9989,0.6069,"converged normally"
"data30",20.1279,11,54,0.0436,0.0129,0.0067,0.9998,0.9999,-15015.0994,-15367.017,7737.5085,0.9593,0.9857,0.998,0.9992,0.5952,"converged normally"
"data31",17.2872,11,54,0.0997,0.0107,0.0021,0.9998,1,-14059.4969,-14411.4145,7259.7073,0.958,0.9839,0.9979,0.9992,0.6226,"converged normally"
"data32",25.6959,11,54,0.0072,0.0163,0.0012,0.9996,0.9999,-7942.0707,-8293.9883,4200.9941,0.9553,0.9826,0.9974,0.999,0.6047,"converged normally"
"data33",15.0438,11,54,0.1805,0.0086,6e-04,0.9999,1,-5127.9716,-5479.8892,2793.9446,0.9512,0.9804,0.9971,0.9988,0.5948,"converged normally"
"data34",45.0744,11,54,0,0.0249,0.003,0.9991,0.9998,-15811.3646,-16163.2822,8135.6411,0.9613,0.9852,0.998,0.9992,0.6298,"converged normally"
"data35",15.1233,11,54,0.1769,0.0087,0.0039,0.9999,1,-6877.7086,-7229.6262,3668.8131,0.9545,0.9835,0.9971,0.9989,0.6115,"converged normally"
"data36",20.2319,11,54,0.0423,0.013,0.0031,0.9997,0.9999,-8309.2876,-8661.2053,4384.6026,0.9551,0.9817,0.9974,0.999,0.6272,"converged normally"
"data37",15.375,11,54,0.166,0.0089,0.0019,0.9999,1,-5844.2507,-6196.1683,3152.0842,0.953,0.983,0.997,0.9989,0.6076,"converged normally"
"data38",31.8725,11,54,8e-04,0.0195,0.0053,0.9995,0.9999,-18495.8431,-18847.7607,9477.8804,0.9629,0.9863,0.9982,0.9993,0.622,"converged normally"
"data39",21.5884,11,54,0.0278,0.0139,0.0021,0.9997,0.9999,-4260.4841,-4612.4017,2360.2009,0.9523,0.9798,0.997,0.9988,0.5953,"converged normally"
"data4",21.9432,11,54,0.0248,0.0141,0.0028,0.9997,0.9999,-4982.6328,-5334.5505,2721.2752,0.9526,0.9825,0.9969,0.9988,0.5996,"converged normally"
"data40",38.9904,11,54,1e-04,0.0226,0.0019,0.9992,0.9998,-6291.2695,-6643.1871,3375.5935,0.9543,0.9816,0.997,0.9989,0.6084,"converged normally"
"data41",13.0477,11,54,0.2902,0.0061,0.0015,0.9999,1,-12277.7825,-12629.7001,6368.8501,0.9591,0.9833,0.9977,0.9991,0.6292,"converged normally"
"data42",10.9621,11,54,0.4464,0,0.0036,1,1,-2076.984,-2428.9017,1268.4508,0.9527,0.9806,0.9965,0.9987,0.5918,"converged normally"
"data43",23.3027,11,54,0.016,0.015,0.0026,0.9997,0.9999,-8168.4924,-8520.41,4314.205,0.9509,0.9835,0.9974,0.999,0.5911,"converged normally"
"data44",26.8409,11,54,0.0049,0.017,0.0031,0.9996,0.9999,-6819.1302,-7171.0479,3639.5239,0.9535,0.983,0.9971,0.9989,0.6166,"converged normally"
"data45",19.2306,11,54,0.0571,0.0122,0.0029,0.9998,0.9999,-7426.5821,-7778.4997,3943.2499,0.9555,0.9817,0.9973,0.9989,0.6049,"converged normally"
"data46",16.3404,11,54,0.129,0.0099,0.0026,0.9999,1,-9447.6671,-9799.5847,4953.7924,0.9575,0.9841,0.9974,0.999,0.6072,"converged normally"
"data47",25.7785,11,54,0.007,0.0164,7e-04,0.9996,0.9999,-9692.367,-10044.2847,5076.1423,0.9587,0.9821,0.9975,0.999,0.62,"converged normally"
"data48",19.8308,11,54,0.0477,0.0127,8e-04,0.9998,0.9999,-10408.5345,-10760.4522,5434.2261,0.9541,0.9824,0.9976,0.9991,0.6284,"converged normally"
"data49",16.8885,11,54,0.1112,0.0103,0.0044,0.9998,1,-6802.3312,-7154.2488,3631.1244,0.9496,0.9843,0.9972,0.9989,0.5807,"converged normally"
"data5",22.4994,11,54,0.0208,0.0145,0.0042,0.9997,0.9999,-1517.6256,-1869.5433,988.7716,0.9492,0.98,0.9966,0.9986,0.5976,"converged normally"
"data50",31.9542,11,54,8e-04,0.0195,0.0043,0.9994,0.9999,-4740.0515,-5091.9692,2599.9846,0.9544,0.9824,0.9969,0.9988,0.6069,"converged normally"
"data51",21.928,11,54,0.0249,0.0141,0.0012,0.9997,0.9999,-6903.0133,-7254.931,3681.4655,0.9564,0.9815,0.9972,0.9989,0.5907,"converged normally"
"data52",16.783,11,54,0.1145,0.0103,0.002,0.9998,1,-11244.4364,-11596.3541,5852.177,0.9553,0.9846,0.9977,0.9991,0.6148,"converged normally"
"data53",29.9063,11,54,0.0016,0.0185,0.0025,0.9995,0.9999,-12936.5899,-13288.5075,6698.2537,0.959,0.9842,0.9978,0.9991,0.6148,"converged normally"
"data54",25.3265,11,54,0.0082,0.0161,0.0025,0.9996,0.9999,-3961.4657,-4313.3834,2210.6917,0.9478,0.9809,0.997,0.9988,0.5851,"converged normally"
"data55",15.4044,11,54,0.1647,0.0089,0.0027,0.9999,1,-7714.9385,-8066.8561,4087.4281,0.9544,0.9829,0.9973,0.9989,0.6018,"converged normally"
"data56",37.5884,11,54,1e-04,0.022,0.0013,0.9993,0.9998,-11804.7769,-12156.6945,6132.3472,0.9598,0.9845,0.9976,0.9991,0.6294,"converged normally"
"data57",18.216,11,54,0.0767,0.0115,0.0014,0.9998,1,-8842.3728,-9194.2905,4651.1452,0.9512,0.9843,0.9974,0.999,0.6098,"converged normally"
"data58",16.9714,11,54,0.1087,0.0104,0.0025,0.9998,1,-10367.3141,-10719.2318,5413.6159,0.9572,0.9835,0.9976,0.9991,0.6284,"converged normally"
