"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","V7_r2","V8_r2","status"
"data1",139.2788,49,103,0,0.0192,0.0034,0.999,0.9996,3659.2169,2987.9666,-1390.9833,0.9942,0.9789,0.9366,0.9573,0.993,0.9966,0.9924,0.1815,"converged normally"
"data10",131.7128,49,103,0,0.0184,0.0021,0.9991,0.9996,1541.8152,870.5649,-332.2825,0.9937,0.9765,0.9323,0.9536,0.9919,0.9963,0.9916,0.1704,"converged normally"
"data11",118.2558,49,103,0,0.0168,0.0051,0.9992,0.9997,3518.9112,2847.6609,-1320.8305,0.9941,0.9783,0.9368,0.9577,0.9928,0.9967,0.9924,0.1835,"converged normally"
"data12",109.3097,49,103,0,0.0157,0.0023,0.9993,0.9997,1945.7577,1274.5074,-534.2537,0.9945,0.98,0.9369,0.9583,0.9931,0.9968,0.9929,0.1769,"converged normally"
"data13",115.7197,49,103,0,0.0165,0.0019,0.9993,0.9997,2768.5007,2097.2504,-945.6252,0.9938,0.9766,0.9342,0.9556,0.9927,0.9965,0.9921,0.1912,"converged normally"
"data14",147.5519,49,103,0,0.0201,0.0025,0.9989,0.9996,4144.5976,3473.3473,-1633.6737,0.9947,0.9811,0.9385,0.9616,0.9936,0.9971,0.9936,0.1824,"converged normally"
"data15",124.3589,49,103,0,0.0175,0.0028,0.9992,0.9997,4103.72,3432.4697,-1613.2348,0.9945,0.9798,0.9382,0.9604,0.9935,0.997,0.9931,0.186,"converged normally"
"data16",117.9222,49,103,0,0.0168,0.0033,0.9992,0.9997,2919.8549,2248.6046,-1021.3023,0.9944,0.9786,0.9337,0.9581,0.9929,0.9967,0.9928,0.1861,"converged normally"
"data17",137.6465,49,103,0,0.019,0.0015,0.999,0.9996,3217.4995,2546.2492,-1170.1246,0.9937,0.9772,0.9308,0.9541,0.9919,0.9965,0.9917,0.1965,"converged normally"
"data18",111.1478,49,103,0,0.0159,0.0027,0.9993,0.9997,2717.8826,2046.6323,-920.3161,0.994,0.9783,0.9347,0.9557,0.9927,0.9966,0.9924,0.1933,"converged normally"
"data19",122.8905,49,103,0,0.0174,0.0043,0.9992,0.9997,483.2952,-187.9551,196.9776,0.9934,0.9763,0.9265,0.9509,0.9923,0.9963,0.9919,0.1613,"converged normally"
