"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","status"
"data1",49.5066,15,50,0,0.0215,0.0043,0.9988,0.9996,7239.4488,6913.5992,-3406.7996,0.9887,0.9969,0.7692,0.7514,0.2983,"converged normally"
"data10",58.614,15,50,0,0.0241,0.0041,0.9985,0.9995,9669.2948,9343.4452,-4621.7226,0.9905,0.9973,0.7811,0.7607,0.349,"converged normally"
"data11",53.2248,15,50,0,0.0226,0.003,0.9987,0.9996,9475.863,9150.0133,-4525.0067,0.9898,0.9972,0.7742,0.758,0.3231,"converged normally"
"data12",43.4889,15,50,1e-04,0.0195,0.0027,0.999,0.9997,7663.8183,7337.9686,-3618.9843,0.9893,0.9971,0.7769,0.7517,0.3315,"converged normally"
"data13",57.18,15,50,0,0.0237,0.0034,0.9985,0.9995,6895.6872,6569.8376,-3234.9188,0.9887,0.9968,0.7715,0.743,0.329,"converged normally"
"data14",53.5589,15,50,0,0.0227,0.0047,0.9987,0.9996,7166.0423,6840.1927,-3370.0963,0.9892,0.9971,0.7777,0.7492,0.3101,"converged normally"
"data15",54.8959,15,50,0,0.0231,0.0042,0.9986,0.9995,6310.8731,5985.0235,-2942.5117,0.9894,0.9969,0.7794,0.7564,0.3143,"converged normally"
"data16",72.3173,15,50,0,0.0276,0.0065,0.998,0.9993,7639.7759,7313.9263,-3606.9631,0.989,0.997,0.7822,0.743,0.34,"converged normally"
"data17",71.5404,15,50,0,0.0275,0.0047,0.9981,0.9994,10042.7726,9716.923,-4808.4615,0.9909,0.9973,0.7825,0.7595,0.3246,"converged normally"
"data18",70.5536,15,50,0,0.0272,0.0054,0.9981,0.9994,8640.8276,8314.978,-4107.489,0.9882,0.9969,0.7815,0.767,0.3373,"converged normally"
"data19",54.2554,15,50,0,0.0229,0.0072,0.9986,0.9995,6487.9965,6162.1468,-3031.0734,0.9877,0.9965,0.7764,0.758,0.3172,"converged normally"
"data2",60.8079,15,50,0,0.0247,0.0051,0.9984,0.9995,8300.9857,7975.136,-3937.568,0.9903,0.9972,0.7761,0.7508,0.3514,"converged normally"
"data20",65.2442,15,50,0,0.0259,0.004,0.9983,0.9994,9383.797,9057.9473,-4478.9736,0.9909,0.9973,0.7847,0.7655,0.3487,"converged normally"
"data21",42.869,15,50,2e-04,0.0193,0.0052,0.999,0.9997,8592.6377,8266.7881,-4083.394,0.9899,0.9972,0.7805,0.7533,0.3165,"converged normally"
"data22",62.6955,15,50,0,0.0252,0.007,0.9983,0.9994,7899.3431,7573.4934,-3736.7467,0.9884,0.9968,0.7743,0.7579,0.3247,"converged normally"
"data23",38.4102,15,50,8e-04,0.0177,0.0028,0.9992,0.9997,7204.2989,6878.4492,-3389.2246,0.9876,0.9966,0.7768,0.7637,0.3181,"converged normally"
"data24",49.855,15,50,0,0.0216,0.0025,0.9988,0.9996,8127.8579,7802.0083,-3851.0041,0.9891,0.997,0.7822,0.7651,0.3374,"converged normally"
"data25",57.2314,15,50,0,0.0237,0.0045,0.9985,0.9995,8323.0963,7997.2467,-3948.6233,0.9897,0.997,0.7709,0.7457,0.3254,"converged normally"
"data26",63.4711,15,50,0,0.0254,0.004,0.9983,0.9994,8198.0641,7872.2144,-3886.1072,0.9888,0.9969,0.7819,0.7642,0.3269,"converged normally"
"data27",48.5801,15,50,0,0.0212,0.0044,0.9989,0.9996,10838.924,10513.0743,-5206.5372,0.9915,0.9977,0.7799,0.7565,0.3208,"converged normally"
"data28",35.1172,15,50,0.0024,0.0164,0.0032,0.9993,0.9998,6670.9226,6345.0729,-3122.5365,0.9892,0.9969,0.7811,0.7399,0.3079,"converged normally"
"data29",33.2869,15,50,0.0043,0.0156,0.0044,0.9994,0.9998,9395.7477,9069.898,-4484.949,0.9911,0.9974,0.7739,0.754,0.3186,"converged normally"
"data3",58.0728,15,50,0,0.024,0.003,0.9985,0.9995,9222.4723,8896.6226,-4398.3113,0.9895,0.9971,0.7826,0.7639,0.3448,"converged normally"
"data30",49.73,15,50,0,0.0215,0.0054,0.9988,0.9996,6887.6783,6561.8287,-3230.9143,0.988,0.9965,0.773,0.7511,0.3264,"converged normally"
"data31",51.0067,15,50,0,0.0219,0.0041,0.9988,0.9996,9785.5898,9459.7401,-4679.8701,0.9912,0.9974,0.782,0.7563,0.3341,"converged normally"
"data32",55.5928,15,50,0,0.0233,0.0038,0.9986,0.9995,8568.7996,8242.95,-4071.475,0.99,0.9972,0.7766,0.7484,0.3452,"converged normally"
"data33",30.0722,15,50,0.0117,0.0142,0.0021,0.9995,0.9998,8898.7681,8572.9184,-4236.4592,0.9904,0.9973,0.7699,0.7463,0.3263,"converged normally"
"data34",56.6176,15,50,0,0.0236,0.0057,0.9986,0.9995,9482.6089,9156.7592,-4528.3796,0.9902,0.9971,0.7814,0.76,0.3366,"converged normally"
"data35",42.3902,15,50,2e-04,0.0191,0.0036,0.999,0.9997,7403.7424,7077.8927,-3488.9464,0.9881,0.9968,0.7814,0.758,0.3268,"converged normally"
"data36",41.8059,15,50,2e-04,0.0189,0.0065,0.9991,0.9997,8684.5946,8358.7449,-4129.3725,0.9893,0.9971,0.7852,0.7631,0.3425,"converged normally"
"data37",73.2945,15,50,0,0.0279,0.0042,0.9979,0.9993,6388.6999,6062.8503,-2981.4251,0.9881,0.9965,0.7727,0.7489,0.326,"converged normally"
"data38",40.2801,15,50,4e-04,0.0184,0.0037,0.9991,0.9997,8627.9699,8302.1202,-4101.0601,0.9893,0.9971,0.7819,0.7527,0.3097,"converged normally"
"data39",39.1148,15,50,6e-04,0.0179,0.0035,0.9992,0.9997,9243.407,8917.5574,-4408.7787,0.9902,0.9973,0.7789,0.7562,0.3313,"converged normally"
"data4",55.2061,15,50,0,0.0232,0.0037,0.9986,0.9995,10290.5561,9964.7065,-4932.3532,0.9915,0.9976,0.7759,0.7571,0.3248,"converged normally"
"data40",52.2546,15,50,0,0.0223,0.0031,0.9987,0.9996,8811.3351,8485.4855,-4192.7427,0.9901,0.9972,0.7719,0.747,0.3185,"converged normally"
"data41",62.8608,15,50,0,0.0253,0.0059,0.9983,0.9994,7289.4116,6963.5619,-3431.781,0.9887,0.9968,0.775,0.7466,0.3431,"converged normally"
"data42",65.8706,15,50,0,0.026,0.005,0.9982,0.9994,8320.5065,7994.6569,-3947.3284,0.9885,0.9968,0.7739,0.7618,0.3522,"converged normally"
"data43",71.7919,15,50,0,0.0275,0.0072,0.9981,0.9994,8824.6336,8498.7839,-4199.392,0.9899,0.9972,0.7925,0.7731,0.3187,"converged normally"
"data44",79.4257,15,50,0,0.0293,0.0051,0.9977,0.9992,6142.247,5816.3974,-2858.1987,0.9876,0.9966,0.7821,0.7666,0.3222,"converged normally"
"data45",66.9424,15,50,0,0.0263,0.0045,0.9982,0.9994,7114.2031,6788.3534,-3344.1767,0.9881,0.9967,0.7811,0.7711,0.3285,"converged normally"
"data46",40.8394,15,50,3e-04,0.0186,0.0051,0.9991,0.9997,8390.5156,8064.666,-3982.333,0.9902,0.997,0.7644,0.7333,0.3061,"converged normally"
"data47",61.2717,15,50,0,0.0248,0.0053,0.9984,0.9995,7296.6391,6970.7894,-3435.3947,0.9885,0.9968,0.7703,0.7614,0.3228,"converged normally"
"data48",57.5911,15,50,0,0.0238,0.0062,0.9985,0.9995,8134.8417,7808.992,-3854.496,0.99,0.9971,0.7726,0.7497,0.3153,"converged normally"
"data49",50.3739,15,50,0,0.0217,0.0034,0.9988,0.9996,8997.4588,8671.6091,-4285.8046,0.9899,0.9972,0.7739,0.7568,0.3245,"converged normally"
"data5",45.0841,15,50,1e-04,0.02,0.0033,0.999,0.9997,8495.9418,8170.0921,-4035.0461,0.9896,0.9972,0.7744,0.7518,0.3255,"converged normally"
"data50",51.3282,15,50,0,0.022,0.0056,0.9987,0.9996,7684.7249,7358.8752,-3629.4376,0.9885,0.997,0.7837,0.753,0.3221,"converged normally"
"data51",49.2655,15,50,0,0.0214,0.0041,0.9988,0.9996,10166.5852,9840.7356,-4870.3678,0.9913,0.9975,0.7778,0.7457,0.307,"converged normally"
"data52",58.7158,15,50,0,0.0241,0.0065,0.9985,0.9995,7910.8096,7584.9599,-3742.48,0.9893,0.9969,0.7693,0.7548,0.3233,"converged normally"
"data53",60.3808,15,50,0,0.0246,0.0076,0.9984,0.9995,8140.0577,7814.2081,-3857.104,0.989,0.9969,0.7795,0.757,0.3353,"converged normally"
"data54",26.9593,15,50,0.0291,0.0126,0.0038,0.9996,0.9999,9754.8985,9429.0489,-4664.5244,0.9907,0.9973,0.7808,0.7514,0.3042,"converged normally"
"data55",54.1684,15,50,0,0.0229,0.0047,0.9986,0.9995,9402.576,9076.7264,-4488.3632,0.9907,0.9975,0.7695,0.7514,0.3153,"converged normally"
"data56",61.1972,15,50,0,0.0248,0.0059,0.9984,0.9995,6886.9821,6561.1325,-3230.5662,0.9884,0.9966,0.7703,0.753,0.3251,"converged normally"
"data57",79.4136,15,50,0,0.0293,0.0046,0.9978,0.9993,7733.8891,7408.0395,-3654.0197,0.989,0.9969,0.7839,0.7577,0.3209,"converged normally"
"data58",43.5855,15,50,1e-04,0.0195,0.0035,0.999,0.9997,8977.926,8652.0763,-4276.0381,0.99,0.9972,0.7727,0.7488,0.306,"converged normally"
"data59",44.2197,15,50,1e-04,0.0197,0.0057,0.999,0.9997,8949.5152,8623.6656,-4261.8328,0.9905,0.9974,0.7787,0.7516,0.3243,"converged normally"
"data6",64.6644,15,50,0,0.0257,0.0036,0.9982,0.9994,6470.8001,6144.9505,-3022.4752,0.9879,0.9966,0.7637,0.744,0.3163,"converged normally"
"data60",44.1844,15,50,1e-04,0.0197,0.0069,0.999,0.9997,7839.6684,7513.8187,-3706.9094,0.9892,0.9969,0.7781,0.7571,0.362,"converged normally"
