"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",-1.9142,0,0,0,13.9833,0,-4.1184,0,-5.2116,0,0,0,0,16.4474,-3.487,0.0645,0,0,0,0
"V2",0,0.7324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V3",0,0.7049,0.0489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",-350.1397,0,0,692.0629,0,56.6295,0,-126.9559,0,0,-408.0611,0,0,0,0,0,0,0,0,0
"V5",0,0,0,0.5947,1.1412,-0.0973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V6",0,0,0,0,0,-0.7414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6155
"V7",0,0,0,0,0,0,0.9927,0,0,-0.8922,0,0,0,0,0,0,0,0,0,0
"V8",0,0.1833,0,0,0,0,0,1.3581,0.8523,0,0,0,0,0,0,0,0,0,0,0
"V9",0,0,0,0,0,-0.2255,0,-0.863,0.1653,0,0,0,0,0,0,0,0,1e-04,0,0
"V10",0,0,0,0,0,0.6207,0,0,0,-1.8379,0,0,0,0,0,-0.6579,0,0,0,0
