"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",-1.4887,0,0,0,9.5867,0,-2.8557,0,-3.7858,0,0,0,0,12.2888,-2.1831,0.0262,0,0,0,0
"V2",0,0.7146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V3",0,0.6775,0.0701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",-168.5961,0,0,333.4295,0,30.9968,0,-60.4275,0,0,-195.9256,0,0,0,0,0,0,0,0,0
"V5",0,0,0,0.6214,1.1417,-0.1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V6",0,0,0,0,0,-0.7446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6119
"V7",0,0,0,0,0,0,0.9923,0,0,-1.079,0,0,0,0,0,0,0,0,0,0
"V8",0,0.1751,0,0,0,0,0,1.3603,0.856,0,0,0,0,0,0,0,0,0,0,0
"V9",0,0,0,0,0,-0.2556,0,-0.8606,0.166,0,0,0,0,0,0,0,0,1e-04,0,0
"V10",0,0,0,0,0,0.6179,0,0,0,-1.8394,0,0,0,0,0,-0.6578,0,0,0,0
