"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","status"
"data1",41.4584,39,51,0.364,0.0036,0.0015,1,1,-11637.6808,-11970.0474,6036.0237,0.9865,0.9718,0.9927,0.9981,0.9918,0.4031,"converged normally"
"data10",27.0003,39,51,0.9268,0,0.0024,1.0001,1,-10047.891,-10380.2576,5241.1288,0.9864,0.9739,0.9928,0.9982,0.9919,0.4497,"converged normally"
"data11",52.9432,39,51,0.0674,0.0085,0.0026,0.9998,0.9999,-12585.8687,-12918.2354,6510.1177,0.9867,0.9711,0.9915,0.9978,0.9908,0.4212,"converged normally"
"data12",31.2372,39,51,0.8074,0,0.0028,1.0001,1,-10966.836,-11299.2027,5700.6013,0.9875,0.9719,0.9918,0.9979,0.991,0.4402,"converged normally"
"data13",36.5099,39,51,0.584,0,0.0027,1,1,-9226.8263,-9559.1929,4830.5965,0.987,0.9752,0.994,0.9985,0.9932,0.4304,"converged normally"
"data14",36.0411,39,51,0.6056,0,0.0022,1,1,-11175.3435,-11507.7102,5804.8551,0.9893,0.9743,0.9909,0.9976,0.9905,0.4138,"converged normally"
"data15",33.3438,39,51,0.725,0,0.0025,1.0001,1,-10538.7977,-10871.1644,5486.5822,0.9877,0.974,0.9923,0.998,0.9916,0.4366,"converged normally"
"data16",41.5412,39,51,0.3606,0.0036,0.0018,1,1,-13140.4832,-13472.8499,6787.4249,0.9861,0.9713,0.9923,0.9979,0.9908,0.442,"converged normally"
"data17",35.4549,39,51,0.6324,0,0.005,1,1,-9452.0127,-9784.3794,4943.1897,0.9878,0.9741,0.9926,0.9981,0.9921,0.4377,"converged normally"
"data18",43.5345,39,51,0.2845,0.0048,0.0018,0.9999,1,-11657.9349,-11990.3016,6046.1508,0.9867,0.971,0.9921,0.9981,0.9911,0.4184,"converged normally"
"data19",38.7754,39,51,0.48,0,0.0044,1,1,-13222.247,-13554.6136,6828.3068,0.9871,0.9702,0.9916,0.9977,0.9906,0.4276,"converged normally"
