"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","X7_r2","X8_r2","status"
"data4",104.2481,75,77,0.0144,0.0088,0.0066,0.9997,0.9998,69461.2927,68959.4842,-34402.7421,0.9593,0.991,0.9887,0.9854,0.9653,0.9316,0.92,0.379,"converged normally"
"data40",60.5165,75,77,0.8875,0,0.0031,1.0002,1,77928.155,77426.3465,-38636.1733,0.9532,0.9865,0.9843,0.9852,0.9515,0.9363,0.9147,0.3788,"converged normally"
"data41",73.1136,75,77,0.5401,0,0.0044,1,1,81195.2139,80693.4054,-40269.7027,0.949,0.9879,0.9844,0.9812,0.9551,0.9167,0.9008,0.3941,"converged normally"
"data42",75.2368,75,77,0.4706,8e-04,0.0053,1,1,73856.6111,73354.8026,-36600.4013,0.9558,0.99,0.9873,0.9838,0.9613,0.9255,0.9128,0.3834,"converged normally"
"data43",81.433,75,77,0.286,0.0041,0.0029,0.9999,1,80993.515,80491.7065,-40168.8533,0.947,0.9872,0.9842,0.9829,0.9528,0.9264,0.9024,0.3488,"converged normally"
"data44",92.3783,75,77,0.0845,0.0068,0.0046,0.9998,0.9999,71248.2771,70746.4686,-35296.2343,0.9557,0.9913,0.9883,0.9833,0.9658,0.9252,0.9137,0.3692,"converged normally"
"data45",95.795,75,77,0.0531,0.0074,0.0035,0.9998,0.9999,79019.0101,78517.2017,-39181.6008,0.9529,0.9879,0.9844,0.9825,0.9542,0.9256,0.9067,0.3694,"converged normally"
"data46",77.3586,75,77,0.4033,0.0025,0.0033,1,1,76260.613,75758.8045,-37802.4023,0.9547,0.9896,0.9859,0.9827,0.9603,0.9227,0.9053,0.387,"converged normally"
"data47",63.9674,75,77,0.8143,0,0.0049,1.0001,1,76952.8764,76451.0679,-38148.5339,0.9534,0.9887,0.9859,0.9834,0.9586,0.9272,0.9062,0.3765,"converged normally"
"data48",72.7482,75,77,0.5522,0,0.004,1,1,68684.7937,68182.9852,-34014.4926,0.9608,0.992,0.9895,0.984,0.9692,0.9261,0.9104,0.379,"converged normally"
"data49",62.5475,75,77,0.8471,0,0.0035,1.0001,1,76814.8597,76313.0512,-38079.5256,0.9544,0.9887,0.986,0.9826,0.9602,0.9241,0.9062,0.385,"converged normally"
"data5",67.5859,75,77,0.7162,0,0.0026,1.0001,1,72920.5385,72418.7301,-36132.365,0.9546,0.9906,0.9875,0.9832,0.9642,0.9247,0.9109,0.3714,"converged normally"
"data50",84.9594,75,77,0.2022,0.0052,0.0038,0.9999,0.9999,77133.0212,76631.2127,-38238.6064,0.952,0.9891,0.9863,0.9826,0.9604,0.9231,0.9027,0.3995,"converged normally"
"data51",100.9414,75,77,0.0246,0.0083,0.003,0.9997,0.9998,71993.2582,71491.4497,-35668.7249,0.9541,0.9898,0.9874,0.9843,0.9634,0.9308,0.9162,0.3755,"converged normally"
"data52",94.8486,75,77,0.0606,0.0073,0.0034,0.9998,0.9999,71295.8457,70794.0373,-35320.0186,0.9571,0.9909,0.9883,0.984,0.9656,0.9257,0.9129,0.3753,"converged normally"
"data53",63.3798,75,77,0.8283,0,0.0026,1.0001,1,78517.2686,78015.4601,-38930.7301,0.9533,0.9891,0.9859,0.982,0.9584,0.9167,0.9005,0.3907,"converged normally"
"data54",65.0426,75,77,0.7873,0,0.0028,1.0001,1,73403.4323,72901.6238,-36373.8119,0.9552,0.9904,0.9872,0.9842,0.9617,0.9256,0.9123,0.3505,"converged normally"
"data55",56.2487,75,77,0.948,0,0.0035,1.0002,1,79477.8657,78976.0572,-39411.0286,0.9496,0.9885,0.9849,0.9821,0.9555,0.9227,0.9033,0.3584,"converged normally"
"data56",78.5217,75,77,0.3679,0.0031,0.0042,1,1,73075.3117,72573.5032,-36209.7516,0.9543,0.9896,0.9869,0.9842,0.961,0.9306,0.9158,0.3731,"converged normally"
"data57",74.8355,75,77,0.4836,0,0.0046,1,1,76031.5678,75529.7593,-37687.8796,0.9512,0.9892,0.9862,0.9821,0.9611,0.921,0.9061,0.3894,"converged normally"
"data58",68.0466,75,77,0.7024,0,0.0036,1.0001,1,74700.1789,74198.3704,-37022.1852,0.9534,0.99,0.9872,0.9826,0.9636,0.9204,0.9064,0.3641,"converged normally"
"data59",54.1282,75,77,0.967,0,0.0033,1.0002,1,76223.0052,75721.1967,-37783.5983,0.9509,0.9884,0.9853,0.9843,0.9572,0.9317,0.9091,0.3722,"converged normally"
"data6",58.2688,75,77,0.9233,0,0.0032,1.0002,1,76541.7746,76039.9662,-37942.9831,0.9528,0.9897,0.9865,0.9812,0.9613,0.9183,0.9044,0.3955,"converged normally"
"data60",90.0162,75,77,0.1139,0.0063,0.0057,0.9998,0.9999,80726.715,80224.9065,-40035.4533,0.9506,0.9876,0.9842,0.9811,0.9548,0.9204,0.9021,0.3751,"converged normally"
"data7",82.1594,75,77,0.2673,0.0044,0.0065,0.9999,1,77235.5053,76733.6968,-38289.8484,0.953,0.9888,0.9859,0.9824,0.9589,0.9241,0.9084,0.3777,"converged normally"
"data8",78.1032,75,77,0.3805,0.0029,0.0037,1,1,78547.0712,78045.2627,-38945.6313,0.9527,0.9883,0.9849,0.9825,0.957,0.9202,0.9026,0.4121,"converged normally"
"data9",59.8433,75,77,0.8992,0,0.0027,1.0002,1,70869.9984,70368.1899,-35107.095,0.9575,0.9911,0.9882,0.983,0.9658,0.928,0.9099,0.3821,"converged normally"
