"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","status"
"data1",27.279,11,54,0.0042,0.0172,0.0015,0.9997,0.9999,15006.1486,14654.231,-7273.1155,0.9998,0.9999,0.9998,0.9658,0.5729,"converged normally"
"data10",22.7772,11,54,0.019,0.0146,0.0025,0.9998,0.9999,14252.1972,13900.2796,-6896.1398,0.9997,0.9999,0.9997,0.9656,0.5681,"converged normally"
"data11",27.0045,11,54,0.0046,0.0171,0.0021,0.9997,0.9999,13634.6673,13282.7497,-6587.3748,0.9997,0.9999,0.9997,0.9622,0.548,"converged normally"
"data12",23.1894,11,54,0.0166,0.0149,0.0028,0.9998,0.9999,14752.9566,14401.039,-7146.5195,0.9998,0.9999,0.9998,0.9682,0.5748,"converged normally"
"data13",33.2256,11,54,5e-04,0.0201,0.0024,0.9996,0.9999,12553.4239,12201.5063,-6046.7531,0.9997,0.9999,0.9997,0.965,0.5644,"converged normally"
"data14",27.6972,11,54,0.0036,0.0174,0.0038,0.9997,0.9999,13981.4512,13629.5335,-6760.7668,0.9997,0.9999,0.9997,0.9666,0.5768,"converged normally"
"data15",18.9887,11,54,0.0613,0.0121,0.0014,0.9999,1,16061.7017,15709.7841,-7800.892,0.9998,0.9999,0.9997,0.97,0.5941,"converged normally"
"data16",14.9873,11,54,0.1831,0.0085,0.0015,0.9999,1,13863.8517,13511.9341,-6701.967,0.9997,0.9999,0.9997,0.9649,0.5718,"converged normally"
"data17",21.395,11,54,0.0295,0.0137,0.0059,0.9998,1,15369.9029,15017.9853,-7454.9926,0.9998,0.9999,0.9998,0.9662,0.5537,"converged normally"
"data18",46.7826,11,54,0,0.0255,0.0056,0.9994,0.9998,14884.8849,14532.9673,-7212.4836,0.9998,0.9999,0.9998,0.9665,0.5677,"converged normally"
"data19",36.8052,11,54,1e-04,0.0217,0.0059,0.9996,0.9999,14069.0276,13717.1099,-6804.555,0.9998,0.9999,0.9998,0.9647,0.5318,"converged normally"
"data2",22.0015,11,54,0.0244,0.0141,0.0025,0.9998,1,14017.7069,13665.7893,-6778.8946,0.9997,0.9999,0.9997,0.9653,0.5659,"converged normally"
"data20",29.8303,11,54,0.0017,0.0185,0.0046,0.9997,0.9999,14147.1265,13795.2089,-6843.6044,0.9997,0.9999,0.9997,0.9663,0.5716,"converged normally"
"data21",48.2752,11,54,0,0.026,0.0043,0.9994,0.9998,16730.0666,16378.1489,-8135.0745,0.9998,0.9999,0.9998,0.969,0.5857,"converged normally"
"data22",22.7728,11,54,0.019,0.0146,0.0011,0.9998,0.9999,16201.469,15849.5513,-7870.7757,0.9998,0.9999,0.9998,0.9693,0.5832,"converged normally"
"data23",632.9993,11,54,0,0.1064,8e-04,0.9891,0.9973,15247.7594,14895.8417,-7393.9209,0.9727,0.9998,0.9674,0.5818,632.9993,"converged normally"
"data24",29.4613,11,54,0.0019,0.0183,0.0037,0.9997,0.9999,12757.5149,12405.5972,-6148.7986,0.9997,0.9999,0.9997,0.9618,0.5636,"converged normally"
"data25",25.6336,11,54,0.0074,0.0163,0.0026,0.9997,0.9999,14897.8402,14545.9226,-7218.9613,0.9997,0.9999,0.9997,0.9673,0.5795,"converged normally"
"data26",46.239,11,54,0,0.0253,0.0016,0.9994,0.9998,15178.513,14826.5954,-7359.2977,0.9997,0.9999,0.9997,0.9677,0.5593,"converged normally"
