"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",0.0883,0,0,0,0.2185,0,0.7621,0,0.2835,0,0,0,0,0.5572,0.06,0.0486,0,0,0,0
"V2",0,0.0097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V3",0,0.0112,0.0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",51.9489,0,0,85.4704,0,51.5114,0,72.8571,0,0,60.8863,0,0,0,0,0,0,0,0,0
"V5",0,0,0,3e-04,1e-04,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V6",0,0,0,0,0,0.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002
"V7",0,0,0,0,0,0,0.0016,0,0,0.002,0,0,0,0,0,0,0,0,0,0
"V8",0,0.0099,0,0,0,0,0,0.0017,5e-04,0,0,0,0,0,0,0,0,0,0,0
"V9",0,0,0,0,0,0.0016,0,0.0085,0.0017,0,0,0,0,0,0,0,0,0.0059,0,0
"V10",0,0,0,0,0,0.0056,0,0,0,0.0163,0,0,0,0,0,0.0192,0,0,0,0
