"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","status"
"data1",22.0595,11,54,0.0239,0.0142,0.001,0.9998,0.9999,-48663.582,-49015.4996,24561.7498,0.9575,0.9965,0.9989,0.9988,0.9308,"converged normally"
"data10",19.9211,11,54,0.0464,0.0127,9e-04,0.9998,1,-63680.0226,-64031.9402,32069.9701,0.9619,0.9977,0.9993,0.9992,0.9531,"converged normally"
"data11",16.3901,11,54,0.1273,0.0099,0.0017,0.9999,1,-55762.5864,-56114.504,28111.252,0.9592,0.9972,0.9991,0.999,0.9429,"converged normally"
"data12",15.5033,11,54,0.1606,0.009,0.0021,0.9999,1,-54149.3482,-54501.2658,27304.6329,0.9567,0.997,0.9991,0.999,0.9411,"converged normally"
"data13",29.5294,11,54,0.0019,0.0184,0.0015,0.9996,0.9999,-56873.4728,-57225.3904,28666.6952,0.961,0.9973,0.9991,0.9991,0.9454,"converged normally"
"data14",24.8302,11,54,0.0097,0.0159,0.001,0.9997,0.9999,-60628.1058,-60980.0235,30544.0117,0.9604,0.9976,0.9992,0.9992,0.9488,"converged normally"
"data15",14.7732,11,54,0.1931,0.0083,7e-04,0.9999,1,-52322.2339,-52674.1516,26391.0758,0.9596,0.997,0.999,0.9989,0.9363,"converged normally"
"data16",16.6179,11,54,0.1197,0.0101,4e-04,0.9999,1,-51916.5869,-52268.5045,26188.2523,0.9592,0.9969,0.999,0.9989,0.9369,"converged normally"
"data17",23.8629,11,54,0.0133,0.0153,7e-04,0.9997,0.9999,-61354.276,-61706.1937,30907.0968,0.961,0.9976,0.9992,0.9992,0.9494,"converged normally"
"data18",29.4522,11,54,0.0019,0.0183,8e-04,0.9996,0.9999,-54549.1398,-54901.0574,27504.5287,0.9584,0.9971,0.9991,0.999,0.9407,"converged normally"
"data19",4.6859,11,54,0.9454,0,4e-04,1.0001,1,-56293.475,-56645.3926,28376.6963,0.96,0.9972,0.9991,0.999,0.9423,"converged normally"
"data2",16.7243,11,54,0.1163,0.0102,3e-04,0.9999,1,-55010.0509,-55361.9685,27734.9842,0.9602,0.9971,0.9991,0.999,0.9409,"converged normally"
"data20",19.5824,11,54,0.0514,0.0125,0.0017,0.9998,1,-61008.1726,-61360.0902,30734.0451,0.9574,0.9976,0.9992,0.9992,0.9517,"converged normally"
"data21",22.1819,11,54,0.023,0.0143,0.0016,0.9998,0.9999,-52892.0485,-53243.9661,26675.983,0.9616,0.997,0.999,0.999,0.9391,"converged normally"
"data22",14.7261,11,54,0.1954,0.0082,7e-04,0.9999,1,-51411.4008,-51763.3184,25935.6592,0.9585,0.9967,0.999,0.9989,0.9357,"converged normally"
"data23",21.6424,11,54,0.0273,0.0139,7e-04,0.9998,0.9999,-49844.4349,-50196.3525,25152.1763,0.9572,0.9966,0.9989,0.9988,0.9317,"converged normally"
"data24",15.0331,11,54,0.181,0.0086,8e-04,0.9999,1,-58451.1593,-58803.0769,29455.5385,0.9595,0.9974,0.9991,0.9991,0.9476,"converged normally"
"data25",35.4178,11,54,2e-04,0.0211,0.002,0.9995,0.9999,-54521.5077,-54873.4253,27490.7126,0.9539,0.9971,0.9991,0.999,0.9396,"converged normally"
"data26",8.7027,11,54,0.6493,0,0.0013,1,1,-52852.2516,-53204.1693,26656.0846,0.9594,0.9971,0.999,0.9989,0.9386,"converged normally"
"data27",16.9498,11,54,0.1094,0.0104,0.0016,0.9999,1,-55127.0609,-55478.9786,27793.4893,0.9595,0.9972,0.9991,0.999,0.9414,"converged normally"
"data28",13.9065,11,54,0.2382,0.0073,6e-04,0.9999,1,-55511.0421,-55862.9597,27985.4799,0.9593,0.9972,0.9991,0.999,0.9436,"converged normally"
"data29",15.0439,11,54,0.1805,0.0086,6e-04,0.9999,1,-49390.6389,-49742.5565,24925.2783,0.9591,0.9968,0.9989,0.9988,0.9322,"converged normally"
"data3",23.6865,11,54,0.0141,0.0152,0.0013,0.9997,0.9999,-56205.0084,-56556.926,28332.463,0.9572,0.9973,0.9991,0.999,0.9445,"converged normally"
"data30",7.883,11,54,0.7237,0,0.001,1.0001,1,-57362.3265,-57714.2441,28911.1221,0.96,0.9973,0.9992,0.9991,0.9441,"converged normally"
"data31",19.0521,11,54,0.0602,0.0121,0.0016,0.9998,1,-50568.9236,-50920.8412,25514.4206,0.9574,0.9969,0.9989,0.9989,0.9335,"converged normally"
"data32",28.4203,11,54,0.0028,0.0178,0.0013,0.9996,0.9999,-49744.5033,-50096.4209,25102.2104,0.9562,0.9966,0.9989,0.9989,0.9343,"converged normally"
"data33",22.0909,11,54,0.0237,0.0142,8e-04,0.9998,0.9999,-59439.3949,-59791.3125,29949.6562,0.9604,0.9975,0.9992,0.9991,0.9494,"converged normally"
"data34",22.4216,11,54,0.0213,0.0144,0.0024,0.9998,0.9999,-66557.5564,-66909.474,33508.737,0.9611,0.9979,0.9993,0.9993,0.9573,"converged normally"
"data35",24.546,11,54,0.0106,0.0157,3e-04,0.9997,0.9999,-59492.3535,-59844.2711,29976.1355,0.9598,0.9975,0.9992,0.9991,0.9451,"converged normally"
"data36",10.2315,11,54,0.5097,0,0.0012,1,1,-51965.0396,-52316.9572,26212.4786,0.9615,0.9969,0.999,0.9989,0.937,"converged normally"
"data37",21.1942,11,54,0.0314,0.0136,0.0024,0.9998,0.9999,-58467.8196,-58819.7372,29463.8686,0.961,0.9975,0.9992,0.9991,0.945,"converged normally"
"data38",27.5911,11,54,0.0037,0.0174,0.0021,0.9997,0.9999,-56615.332,-56967.2496,28537.6248,0.9571,0.9972,0.9991,0.999,0.9433,"converged normally"
"data39",16.9419,11,54,0.1096,0.0104,0.0012,0.9999,1,-53872.6973,-54224.6149,27166.3075,0.9602,0.997,0.9991,0.999,0.9375,"converged normally"
"data4",13.1543,11,54,0.2834,0.0063,8e-04,1,1,-54191.1865,-54543.1041,27325.5521,0.961,0.997,0.999,0.999,0.9404,"converged normally"
"data40",39.7027,11,54,0,0.0228,9e-04,0.9994,0.9999,-59009.9098,-59361.8274,29734.9137,0.9592,0.9974,0.9992,0.9991,0.9481,"converged normally"
"data41",29.6582,11,54,0.0018,0.0184,9e-04,0.9996,0.9999,-56076.831,-56428.7486,28268.3743,0.9613,0.9973,0.9991,0.999,0.9415,"converged normally"
"data42",23.6148,11,54,0.0145,0.0151,0.0024,0.9997,0.9999,-53067.477,-53419.3946,26763.6973,0.9577,0.997,0.999,0.999,0.9397,"converged normally"
"data43",32.0999,11,54,7e-04,0.0196,0.0014,0.9996,0.9999,-51833.7054,-52185.6231,26146.8115,0.9583,0.9967,0.999,0.9989,0.9368,"converged normally"
"data44",28.7093,11,54,0.0025,0.0179,0.0013,0.9996,0.9999,-56717.7036,-57069.6213,28588.8106,0.9586,0.9974,0.9991,0.999,0.9441,"converged normally"
"data45",17.9398,11,54,0.083,0.0112,0.0011,0.9999,1,-57901.8038,-58253.7214,29180.8607,0.9605,0.9974,0.9991,0.9991,0.9456,"converged normally"
"data46",14.0198,11,54,0.2319,0.0074,0.001,0.9999,1,-54322.7224,-54674.64,27391.32,0.9582,0.9971,0.9991,0.999,0.9395,"converged normally"
"data47",33.0354,11,54,5e-04,0.02,6e-04,0.9995,0.9999,-47754.7296,-48106.6472,24107.3236,0.9579,0.9965,0.9989,0.9988,0.9286,"converged normally"
"data48",12.5054,11,54,0.3269,0.0052,0.0015,1,1,-50465.914,-50817.8316,25462.9158,0.9587,0.9967,0.999,0.9989,0.934,"converged normally"
"data49",29.1602,11,54,0.0021,0.0182,9e-04,0.9996,0.9999,-52813.9807,-53165.8984,26636.9492,0.9604,0.9969,0.999,0.9989,0.9374,"converged normally"
