"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0107,0,0,0,0,0,0,0,0.0103,0,0,0,0,0,0,0.0098,0,0.011,0,0
"X2",0,0.0132,0.0143,0,0.0161,0,0,0.0154,0,0.0156,0,0,0,0,0.016,0,0,0.0151,0,0.0156
"X3",0,0,0.0107,0,0,0,0.0104,0,0.0083,0,0,0.0086,0,0,0,0,0,0,0,0.0096
"X4",0,0,0.011,0.0109,0,0,0,0,0,0,0.0107,0.0093,0,0,0.011,0,0.0107,0,0,0
"X5",0,0,0,0.0117,0.0117,0,0.0144,0,0,0.0138,0,0,0,0,0,0.013,0.014,0,0,0.0151
"X6",0,0,0,0.0139,0,0.0134,0,0,0,0.0132,0,0,0,0.0139,0,0,0,0,0.0102,0
"X7",0,0,0,0,0,0.0108,0.011,0,0,0,0,0,0.0103,0,0,0,0,0,0,0.0119
"X8",0,0,0,0,0,0.016,0,0.0128,0.0128,0.0155,0,0,0,0,0,0.0159,0,0,0,0.0156
"X9",0.011,0.012,0,0,0,0,0,0,0.0109,0,0,0.0121,0,0.0103,0,0,0,0.0117,0,0.0105
"X10",0,0,0,0,0,0,0.0102,0,0,0.0115,0,0,0,0,0,0.0103,0,0,0,0
