"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0404,0,0,0,0,0,0,0,0,0,0,0,0,0.0374,0,0,0,0.0342,0,0
"X2",0,0.0315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472,0.0444,0.0347
"X3",0,0,0.0303,0,0,0,0,0,0,0,0,0.0288,0,0,0,0,0.0383,0,0,0
"X4",0,0,0,0.0328,0,0,0,0,0,0,0,0.0446,0,0,0,0.0232,0,0.0501,0.0497,0
"X5",0,0,0,0,0.0319,0,0,0,0,0,0,0,0,0.0283,0,0,0,0,0,0
"X6",0,0,0,0,0,0.0363,0,0,0,0,0,0,0,0,0,0,0,0,0.1057,0.0663
"X7",0,0,0,0,0,0,0.0348,0,0,0,0,0,0,0.0269,0,0,0,0,0,0
"X8",0,0,0,0,0,0,0,0.0256,0,0,0,0,0,0,0,0,0,0,0.0232,0
"X9",0,0,0,0,0,0,0,0,0.0623,0,0,0,0,0,0,0.116,0,0,0,0
"X10",0,0,0,0,0,0,0,0,0,0.0374,0,0,0,0,0,0,0.0525,0,0.0465,0
