"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313,0,0
"X2",0,0.0336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324,0.0426,0.0362,0
"X3",0,0,0.032,0,0,0,0,0,0,0,0,0.0352,0,0,0,0,0.0325,0,0,0
"X4",0,0,0,0.0353,0,0,0,0,0,0,0,0.0444,0,0,0,0.0342,0,0,0,0
"X5",0,0,0,0,0.0304,0,0,0,0,0,0,0,0,0.037,0,0.031,0,0,0,0
"X6",0,0,0,0,0,0.0443,0,0,0.039,0,0,0,0,0,0,0,0,0,0,0.0483
"X7",0,0,0,0,0,0,0.0369,0,0,0,0,0,0,0.0378,0,0,0,0,0,0
"X8",0,0,0,0,0,0,0,0.0246,0,0,0,0,0,0,0,0,0,0,0.0215,0
"X9",0,0,0,0,0,0,0,0,0.0378,0,0,0,0,0,0,0.0421,0,0,0,0
"X10",0,0,0,0,0,0,0,0,0,0.0391,0,0,0,0,0,0,0.0365,0,0,0
