"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365,0,0
"X2",0,0.0376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.0587,0.049,0
"X3",0,0,0.0282,0,0,0,0,0,0,0,0,0.0321,0,0,0,0,0.0403,0,0,0
"X4",0,0,0,0.0326,0,0,0,0,0,0,0,0.0422,0,0,0,0.0497,0,0,0.0455,0
"X5",0,0,0,0.0356,0.0427,0,0,0,0,0,0,0,0,0.0351,0,0.0377,0,0,0,0
"X6",0,0,0,0,0,0.0318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324
"X7",0,0,0,0,0,0,0.0388,0,0,0,0,0,0,0.0292,0,0,0,0,0,0
"X8",0,0,0,0,0,0,0,0.0294,0,0,0,0,0,0,0,0,0,0,0.0242,0
"X9",0,0,0,0,0,0.0501,0,0,0.0423,0,0,0,0,0,0,0.0396,0,0,0,0
"X10",0,0,0,0,0,0,0,0,0,0.0393,0,0,0,0,0,0,0.0493,0,0,0
