"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"V1",0.6823,-0.4111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V2",0,0.7687,1.0386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V3",0,0,-0.9575,0.2895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",0,0,0,-0.4956,-1.1509,0,0,0,0,0,0,0,0,0,0,0,0,0
"V5",0,0.4236,0,0,0.7412,0,0,0,0,0,0,0,0,0,0,0,0,0
"V6",0,0,0,0,0,-0.6224,0.3701,0,-0.069,0,0,0,0,0,0,0,0,0
"V7",0,0,0,0,0,0,-0.4938,-0.51,0,0,0,0,0,0,0,0,0,0
"V8",0,0,0,-0.1546,0,0,0,-0.9901,0,0,0,0,0,0,0,0,0,0
"V9",0,0,0,0,0,0,0,0,-0.9769,0,0,0,0,0,0,0,0,0
