"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","X7_r2","X8_r2","X9_r2","X10_r2","status"
"data38",178.905,60,170,0,0.0199,0.004,0.9983,0.9995,68010.4447,66902.5558,-33281.2779,0.9808,0.9675,0.947,0.9591,0.997,0.1712,0.8705,0.8531,0.953,0.0984,"converged normally"
"data39",204.2483,60,170,0,0.0219,0.0036,0.9978,0.9993,74350.1594,73242.2705,-36451.1353,0.9794,0.9638,0.9418,0.9591,0.9967,0.1592,0.8618,0.8251,0.9501,0.0939,"converged normally"
"data4",192.9601,60,170,0,0.0211,0.0047,0.998,0.9994,70689.9642,69582.0754,-34621.0377,0.9811,0.9654,0.9434,0.9584,0.9968,0.169,0.8643,0.8459,0.9531,0.0945,"converged normally"
"data40",193.2755,60,170,0,0.0211,0.0049,0.9981,0.9994,65656.2549,64548.3661,-32104.183,0.9826,0.9699,0.9467,0.9626,0.9971,0.1673,0.8747,0.8503,0.9556,0.0802,"converged normally"
"data41",167.2626,60,170,0,0.0189,0.0023,0.9984,0.9995,69463.2554,68355.3666,-34007.6833,0.9812,0.9675,0.9456,0.9624,0.9969,0.1805,0.8655,0.841,0.9528,0.1009,"converged normally"
"data42",116.7057,60,170,0,0.0137,0.0022,0.9992,0.9997,67648.4625,66540.5737,-33100.2869,0.9816,0.9686,0.9443,0.9627,0.997,0.1518,0.8769,0.8426,0.954,0.0987,"converged normally"
"data43",202.013,60,170,0,0.0218,0.0029,0.9979,0.9993,70009.1081,68901.2193,-34280.6096,0.9804,0.9659,0.9448,0.9556,0.9969,0.189,0.8652,0.8412,0.9528,0.1059,"converged normally"
"data44",179.3353,60,170,0,0.0199,0.0052,0.9981,0.9994,84458.9925,83351.1036,-41505.5518,0.976,0.9578,0.9296,0.9516,0.9961,0.1778,0.8366,0.8131,0.9439,0.1129,"converged normally"
"data45",173.432,60,170,0,0.0194,0.005,0.9983,0.9995,72914.6657,71806.7768,-35733.3884,0.9799,0.9654,0.9406,0.9552,0.9966,0.1713,0.8635,0.8408,0.9496,0.1035,"converged normally"
"data46",169.2099,60,170,0,0.0191,0.0045,0.9984,0.9995,71148.6805,70040.7916,-34850.3958,0.9815,0.9668,0.9434,0.9599,0.9969,0.1775,0.8625,0.8408,0.9518,0.1129,"converged normally"
