X1	X2	X3	X4	X5	X6	X7
-2.178987	1.396147	-1.865639	-1.686895	-1.074235	-0.494894	-0.700942
-1.887354	1.361178	-1.651762	-1.487702	-0.906813	-0.447030	-0.421386
-1.358332	1.279374	-1.263091	-1.118367	-0.602650	-0.362545	0.070260
-0.689277	1.131306	-0.769496	-0.632191	-0.217098	-0.261555	0.654418
-0.000797	0.897427	-0.256878	-0.097930	0.180628	-0.168763	1.186682
0.587626	0.566662	0.190720	0.411420	0.520822	-0.108128	1.530875
0.981332	0.143817	0.508224	0.830351	0.746539	-0.097549	1.590463
1.128577	-0.346391	0.662038	1.111035	0.824054	-0.144635	1.331270
1.029282	-0.860034	0.655312	1.230264	0.748510	-0.244411	0.790289
0.732859	-1.339686	0.524958	1.191986	0.543711	-0.379495	0.068598
0.325796	-1.724118	0.331267	1.025059	0.256281	-0.522753	-0.690146
-0.088014	-1.960062	0.142643	0.776781	-0.054482	-0.641965	-1.330951
-0.409849	-2.013373	0.019110	0.503365	-0.328810	-0.705716	-1.721488
-0.566660	-1.877060	-0.001635	0.259229	-0.518229	-0.689397	-1.781395
-0.525265	-1.574184	0.087608	0.086986	-0.594461	-0.580234	-1.500294
-0.297357	-1.154750	0.262894	0.010070	-0.553755	-0.380414	-0.940531
0.065311	-0.687016	0.476052	0.029174	-0.416019	-0.107673	-0.223977
0.484172	-0.244927	0.667388	0.123216	-0.219119	0.206755	0.494271
0.872181	0.105813	0.781125	0.254477	-0.009812	0.522579	1.059508
1.153032	0.320079	0.779765	0.376921	0.166605	0.796526	1.350962
1.276977	0.381471	0.654019	0.445990	0.275690	0.989075	1.307965
1.229928	0.304592	0.425868	0.428025	0.300346	1.070753	0.942950
1.034090	0.130976	0.143988	0.307430	0.243183	1.026991	0.338491
0.740529	-0.080392	-0.127424	0.090162	0.124491	0.860754	-0.370925
0.415697	-0.265931	-0.323840	-0.197062	-0.023481	0.592552	-1.028390
0.125346	-0.370876	-0.396030	-0.511744	-0.164426	0.257825	-1.488799
-0.080369	-0.360450	-0.322491	-0.803795	-0.266247	-0.097867	-1.650345
-0.177159	-0.226406	-0.115698	-1.025254	-0.307738	-0.425150	-1.476365
-0.170183	0.012255	0.179450	-1.139724	-0.282359	-0.677682	-1.002877
-0.090345	0.314443	0.494705	-1.129539	-0.198385	-0.818583	-0.330195
0.015367	0.626681	0.753172	-0.999269	-0.075644	-0.825519	0.399382
0.096970	0.895135	0.886450	-0.774864	0.060181	-0.693775	1.032893
0.114659	1.077308	0.850332	-0.498493	0.184201	-0.436902	1.440077
0.048922	1.150793	0.635598	-0.220180	0.278266	-0.084901	1.541533
-0.094826	1.117366	0.271440	0.012217	0.334816	0.319803	1.325534
-0.287959	1.001611	-0.179358	0.162563	0.357789	0.728017	0.849961
-0.486161	0.844565	-0.632542	0.213703	0.360500	1.090306	0.229061
-0.640720	0.693945	-0.999242	0.170857	0.361121	1.363501	-0.391960
-0.710826	0.593192	-1.204094	0.060397	0.376989	1.516320	-0.868785
-0.673763	0.571729	-1.200756	-0.075760	0.419225	1.533334	-1.089404
-0.530730	0.638514	-0.981694	-0.189123	0.488996	1.416724	-0.998165
-0.306828	0.780148	-0.580172	-0.235181	0.576414	1.185614	-0.607458
-0.045442	0.963783	-0.064201	-0.183410	0.662332	0.873008	0.005421
0.201571	1.144040	0.476264	-0.024649	0.722637	0.520784	0.715267
0.385509	1.272307	0.946202	0.225677	0.734005	0.173443	1.375990
0.471444	1.306416	1.263002	0.529287	0.679737	-0.128483	1.851657
0.445461	1.218705	1.371189	0.831547	0.554272	-0.354363	2.044843
0.316896	1.000936	1.251622	1.071518	0.365309	-0.487795	1.916254
0.115287	0.665324	0.923693	1.193710	0.132944	-0.528659	1.491645
-0.117051	0.241756	0.440495	1.159257	-0.113939	-0.492492	0.854870
-0.334859	-0.227883	-0.121717	0.954301	-0.343280	-0.407230	0.128929
-0.499808	-0.696931	-0.677387	0.593912	-0.526176	-0.307868	-0.550607
-0.588049	-1.121154	-1.146024	0.120732	-0.642510	-0.229836	-1.063829
