"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V1","V2","V3","V4","V5","V6","V7","V8"
"V1",8e-04,0,0.0021,0.0035,0,0,0,0,0,0,0,0,0,0,0,0
"V2",0.0058,0,0.0142,0.0182,0,0,0,0,0.0144,0,0,0,0,0,0,0
"V3",0,0,0.0031,0.0062,0.0109,0,0,0,0,0,0,0,0,0,0,0
"V4",0,0,0.0079,0.0149,0.0543,0.0214,0.0242,0.0332,0,0,0.0157,0,0.0165,0,0,0
"V5",0,0,0,0,0.0014,0.0141,0,0.0213,0,0,0,0,0,0,0,0.0212
"V6",0,0,0,0,0,0.0104,0,0,0,0,0,0,0,0,0,0
"V7",0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0
"V8",0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0
