"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","status"
"BOLD3TRfilt_34",289.9645,118,112,0,0.054,0.0517,0.9551,0.9721,42032.0801,41560.2682,-20668.1341,0.3374,0.4698,0.641,0.0645,0.493,0.6116,0.3096,0.5885,0.5213,0.3223,"converged normally"
"BOLD3TRfilt_35",288.5385,115,115,0,0.055,0.0486,0.9479,0.9685,41874.0347,41389.585,-20579.7925,0.1784,0.5356,0.5408,0.3929,0.5435,0.7096,0.2928,0.5198,0.3011,0.2914,"converged normally"
"BOLD3TRfilt_36",301.6557,116,114,0,0.0566,0.0493,0.9534,0.9715,42254.6666,41774.4295,-20773.2148,0.307,0.5276,0.4265,0.5535,0.5963,0.6226,0.3355,0.6482,0.5822,0.3754,"converged normally"
"BOLD3TRfilt_37",325.1643,119,111,0,0.0589,0.0493,0.9508,0.9692,41747.5984,41279.9991,-20528.9995,0.2886,0.5132,0.7179,0.5639,0.6104,0.5903,0.5019,0.4673,0.4213,0.238,"converged normally"
"BOLD3TRfilt_38",313.5707,116,114,0,0.0584,0.0477,0.9419,0.9645,42332.4305,41852.1934,-20812.0967,0.2812,0.4256,0.6449,0.438,0.3114,0.6485,0.3481,0.5077,0.4835,0.2656,"converged normally"
"BOLD3TRfilt_39",292.3421,115,115,0,0.0556,0.0547,0.9556,0.9731,43113.0071,42628.5574,-21199.2787,0.2514,0.4624,0.6176,-1.6007,0.5919,0.6258,0.4091,0.6502,0.5299,0.3101,"converged normally"
"BOLD3TRfilt_40",304.162,110,120,0,0.0595,0.0523,0.9565,0.9748,42190.6246,41685.1119,-20722.5559,0.2381,0.6545,0.6528,-0.0013,0.6781,0.5467,0.5637,0.5902,0.3549,0.0296,"converged normally"
"BOLD3TRfilt_41",294.622,114,116,0,0.0563,0.0472,0.9529,0.9717,41952.4694,41463.8071,-20615.9035,0.3395,0.6411,0.5563,0.5314,0.6715,0.4731,0.3369,0.5205,0.5403,0.3162,"converged normally"
"BOLD3TRfilt_42",382.2691,120,110,0,0.0662,0.049,0.9373,0.9604,41942.9687,41479.5821,-20629.791,0.2701,0.3614,0.6537,0.4375,0.6154,0.6615,0.4105,0.6291,0.4641,0.3033,"converged normally"
"BOLD3TRfilt_43",325.3211,117,113,0,0.0597,0.0506,0.9535,0.9714,41502.2091,41026.1846,-20400.0923,0.3413,0.4079,0.5346,-0.2157,0.5836,0.6158,0.3975,0.6832,0.5614,0.304,"converged normally"
