"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","X7_r2","X8_r2","status"
"data1",139.7862,36,116,0,0.024,0.0022,0.9987,0.9996,-33002.5263,-33758.4975,16995.2488,0.9987,0.9921,0.9828,0.9481,0.9831,0.9925,0.9946,0.0182,"converged normally"
"data10",157.2198,36,116,0,0.026,0.0064,0.9985,0.9995,-39830.3539,-40586.3251,20409.1626,0.999,0.9926,0.9845,0.9509,0.9856,0.9934,0.9953,0.0217,"converged normally"
"data11",168.9724,36,116,0,0.0272,0.0037,0.9984,0.9995,-44790.9175,-45546.8887,22889.4444,0.9989,0.9938,0.9872,0.9574,0.9857,0.9937,0.9952,0.0276,"converged normally"
"data12",178.354,36,116,0,0.0281,0.0034,0.9982,0.9995,-42983.132,-43739.1032,21985.5516,0.9989,0.9938,0.9857,0.9533,0.9863,0.9938,0.9951,0.0269,"converged normally"
"data13",186.607,36,116,0,0.0289,0.0059,0.9981,0.9994,-40946.588,-41702.5592,20967.2796,0.9988,0.9936,0.9875,0.9604,0.9845,0.9931,0.995,0.0329,"converged normally"
"data14",172.1981,36,116,0,0.0275,0.0019,0.9983,0.9995,-39673.4375,-40429.4087,20330.7043,0.9987,0.994,0.9873,0.961,0.9837,0.9925,0.9945,0.0173,"converged normally"
"data15",212.6176,36,116,0,0.0313,0.002,0.9978,0.9993,-40186.5392,-40942.5104,20587.2552,0.9989,0.9929,0.9847,0.953,0.9866,0.9938,0.9952,0.0259,"converged normally"
"data16",215.6679,36,116,0,0.0316,0.006,0.9977,0.9993,-28903.3023,-29659.2735,14945.6368,0.9986,0.9916,0.9815,0.9444,0.9831,0.9921,0.9942,0.0245,"converged normally"
"data17",180.7708,36,116,0,0.0284,0.0052,0.9982,0.9995,-35476.8062,-36232.7774,18232.3887,0.9989,0.9919,0.9822,0.9461,0.9864,0.9933,0.9948,0.0262,"converged normally"
"data18",149.8233,36,116,0,0.0251,0.0034,0.9986,0.9996,-40684.9098,-41440.881,20836.4405,0.9989,0.9936,0.9861,0.9511,0.985,0.9929,0.9947,0.031,"converged normally"
"data19",144.4241,36,116,0,0.0245,0.0028,0.9987,0.9996,-42608.9557,-43364.927,21798.4635,0.9988,0.9943,0.9874,0.9585,0.9851,0.9931,0.9945,0.0217,"converged normally"
"data2",197.3642,36,116,0,0.0299,0.004,0.998,0.9994,-34531.9978,-35287.969,17759.9845,0.9988,0.9922,0.9828,0.942,0.9846,0.993,0.9949,0.0175,"converged normally"
