"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","status"
"data5",33.764,12,78,7e-04,0.019,0.0031,0.9989,0.9998,99452.8025,98944.4771,-49394.2385,0.9983,0.9029,0.9669,0.9819,0.9627,0.132,"converged normally"
"data50",32.4136,12,78,0.0012,0.0184,0.0049,0.999,0.9998,98711.2244,98202.899,-49023.4495,0.9982,0.8973,0.967,0.9796,0.9583,0.1529,"converged normally"
"data51",24.905,12,78,0.0153,0.0147,0.0035,0.9994,0.9999,99087.6384,98579.313,-49211.6565,0.9983,0.903,0.9669,0.9799,0.9606,0.1258,"converged normally"
"data52",37.7898,12,78,2e-04,0.0207,0.0042,0.9987,0.9998,98467.117,97958.7915,-48901.3957,0.9984,0.903,0.9646,0.9796,0.9592,0.129,"converged normally"
"data53",39.0217,12,78,1e-04,0.0212,0.005,0.9987,0.9998,98292.385,97784.0595,-48814.0298,0.9984,0.902,0.9628,0.9785,0.9561,0.1514,"converged normally"
"data54",46.0831,12,78,0,0.0238,0.0048,0.9983,0.9997,97535.1833,97026.8578,-48435.4289,0.9981,0.8957,0.9661,0.9809,0.9583,0.1278,"converged normally"
"data55",23.3937,12,78,0.0246,0.0138,0.003,0.9994,0.9999,98371.1221,97862.7966,-48853.3983,0.9984,0.901,0.9667,0.9814,0.9623,0.1123,"converged normally"
"data56",23.7649,12,78,0.0219,0.014,0.0026,0.9994,0.9999,97658.0475,97149.7221,-48496.861,0.9982,0.9067,0.9646,0.9792,0.9567,0.128,"converged normally"
"data57",40.7849,12,78,1e-04,0.0219,0.0042,0.9986,0.9997,98081.1262,97572.8008,-48708.4004,0.9981,0.8999,0.9667,0.9814,0.9606,0.1137,"converged normally"
"data58",36.5838,12,78,3e-04,0.0202,0.006,0.9988,0.9998,97946.0555,97437.7301,-48640.865,0.9984,0.9009,0.9635,0.9789,0.9568,0.1219,"converged normally"
"data59",22.7988,12,78,0.0295,0.0134,0.0026,0.9995,0.9999,98742.1002,98233.7748,-49038.8874,0.9985,0.9003,0.9647,0.9791,0.9586,0.1278,"converged normally"
"data6",29.5292,12,78,0.0033,0.0171,0.0046,0.9991,0.9998,98593.7143,98085.3889,-48964.6944,0.9983,0.9018,0.9665,0.9805,0.9607,0.1285,"converged normally"
"data60",35.0254,12,78,5e-04,0.0196,0.0033,0.9989,0.9998,97664.9148,97156.5894,-48500.2947,0.9983,0.9044,0.9645,0.979,0.9588,0.1218,"converged normally"
"data7",34.691,12,78,5e-04,0.0194,0.007,0.9989,0.9998,96726.6073,96218.2818,-48031.1409,0.9981,0.8965,0.9629,0.9789,0.9573,0.1394,"converged normally"
"data8",39.6121,12,78,1e-04,0.0215,0.0056,0.9986,0.9997,97806.2122,97297.8867,-48570.9433,0.9984,0.9006,0.9634,0.9794,0.9574,0.1283,"converged normally"
"data9",37.3481,12,78,2e-04,0.0206,0.006,0.9988,0.9998,98232.374,97724.0485,-48784.0243,0.9982,0.8958,0.9668,0.9809,0.9605,0.1496,"converged normally"
