"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2859,0,0
"X2",0,0.0701,0.3945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2044,0.2578,0.1299,0
"X3",0,-0.1733,0.0316,0,0,0,0,0,0,0,0,0.6455,0,0,0,0,0.246,0,0,0
"X4",0,0,0,0.3483,0,0,0,0,0,0,0,0.2465,0,0,0,0.1919,0,0,0,0
"X5",0,0,0,0,0.2438,0,0,0,0,-0.1723,0,0,0,0.5772,0,0,0,0,0,0.1882
"X6",0,0,0,0,0,0.0985,0,0,0,0.181,0,0,0,0,0,0,0,0,0,0.7022
"X7",0,0,0,0,0,0,0.2442,0,0,0,0,0,0,0.3484,0,0,0,0,0,0
"X8",0,0,0,0,0,0,0,0.2214,0,0,0,0,0,0,0,0.1634,0,0,0.5284,0
"X9",0,0,0,0,0,0,0,0,0.3006,0,0,0,0,0,0,0.3923,0,0,0,0
"X10",0,0,0,0,0,0,0,0,0,0.2794,0,0,0,0,0,0,0.3703,0,0,0
