"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.2388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2155,0,0
"X2",0,0.4331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1795,0.5084,0
"X3",0,0,0.1064,0,0,0,0,0,0,0,0,0.512,0,0,0,0,0.1779,0,0.2256,0
"X4",0,0,0,0.3746,0,0,0,0,0,0,0,0.4176,0,0,0,-0.1655,0,0,0.7265,0
"X5",0,0,0,0,0.0457,0,0,0,0,0,0,0,0,0.7333,0,0,0,0,0,0
"X6",0,0,0,0,0,0.3803,0,0,0,0,0.1688,0,0,0,0,0,0,0,0,0.4847
"X7",0,0,0,0,0,0,0.2744,0,0,0,0,0,0,0.2643,0.3253,0,0,0,0,0
"X8",0,0,0,0,0,0,0,0.3216,0,0,0,0,0,0,0,0,0,0,0.6654,0
"X9",0,0,0,0,0,0,0,0,0.5829,0,0,0,0,-1.4665,0,0.916,0,0,0,0
"X10",0,0,0,0,0,0,0,0,0,0.1837,0,0,0,0,0.3001,0,0.3404,0,0,0
