"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.1842,0,0,0,0,0,0,0,0,0,0,0,0,0.314,0,0,0,0.2181,0,0
"X2",0,0.2501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3653,0.4768,0
"X3",0,0,0.1684,0,0,0,0,0,0,0,0,0.6148,0,0,0,0,0.1885,0,0,0
"X4",0,0,0,0.2274,0,0,0,0,0,0,0,0.292,0,0,0,0.3409,0,0,0,0
"X5",0,0,0,0,0.2962,0,0,0,0,0,0,0,0,0.5104,0,0.2137,0,0,0,0
"X6",0,0,0,0,0,0.1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7644
"X7",0,0,0,0,0,0,0.316,0,0,0,0,0,0,0.3377,0,0,0,0,0,0
"X8",0,0,0,0,0,0,0,0.2154,0,0,0,0,0,0,0,0,0,0,0.7298,0
"X9",0,0,0,0,0,0,0,0,0.31,0,0,-0.5928,0,0,0,0.8077,0,0,0,0
"X10",0,0,0,0,0,0,0,0,0,0.3249,0,0,0,0,0,0,0.3288,0,0,0
