"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V1","V2","V3","V4","V5","V6","V7","V8"
"V1",6e-04,0,0.0142,0.0104,0.0154,0.041,0.0189,0.0383,0,0,0.0138,0.0076,0.013,0.0252,0,0
"V2",0.0167,0.001,0.0658,0.0239,0.0273,0.0713,0.0312,0.0661,0.023,0,0.025,0.0129,0.0216,0.0418,0,0
"V3",0,0,0.0462,0.03,0.0288,0.0321,0,0,0,0,0,0.0215,0.032,0.0559,0,0
"V4",0,0,0.2624,0.3333,0.4868,0.9015,0.1503,0.6024,0,0,0.4312,0,0.0865,0.1192,0,0.1376
"V5",0,0,0,0,0.0071,0.0202,0.0221,0.029,0,0,0,0,0,0.0188,0.0219,0.0191
"V6",0,0,0,0,0,0.0036,0,0,0,0,0,0,0,0,0,0
"V7",0,0,0,0,0,0,0.0115,0,0,0,0,0,0,0,0,0
"V8",0,0,0,0,0,0,0,0.0056,0,0,0,0,0,0,0,0
