"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","status"
"data1",32.6739,25,40,0.1394,0.0078,0.0044,0.9999,0.9999,22232.2576,21971.5778,-10945.7889,0.997,0.9951,0.9879,0.9816,0.6102,"converged normally"
"data10",27.1334,25,40,0.3493,0.0041,0.0067,1,1,14406.3846,14145.7048,-7032.8524,0.9973,0.9963,0.9916,0.988,0.5741,"converged normally"
"data11",20.1315,25,40,0.7399,0,0.0034,1.0001,1,18161.3315,17900.6518,-8910.3259,0.9974,0.9959,0.9903,0.9853,0.5903,"converged normally"
"data12",20.3342,25,40,0.7291,0,0.0029,1.0001,1,22414.1905,22153.5108,-11036.7554,0.9969,0.9951,0.9882,0.9823,0.5898,"converged normally"
"data13",27.0771,25,40,0.352,0.0041,0.0031,1,1,25502.5229,25241.8432,-12580.9216,0.9967,0.9944,0.9865,0.9796,0.5872,"converged normally"
"data14",22.3517,25,40,0.6154,0,0.0047,1,1,19623.5064,19362.8267,-9641.4133,0.9972,0.9955,0.989,0.9842,0.589,"converged normally"
"data15",30.3801,25,40,0.2104,0.0066,0.0032,0.9999,1,19378.6116,19117.9318,-9518.9659,0.9971,0.9955,0.9895,0.9841,0.5938,"converged normally"
"data16",40.5905,25,40,0.0253,0.0112,0.0032,0.9998,0.9999,17421.6188,17160.939,-8540.4695,0.9971,0.996,0.9908,0.9861,0.5806,"converged normally"
"data17",22.2566,25,40,0.6209,0,0.0031,1,1,16891.8701,16631.1904,-8275.5952,0.997,0.996,0.9904,0.9855,0.5929,"converged normally"
"data18",18.2097,25,40,0.8334,0,0.0034,1.0001,1,24937.4418,24676.762,-12298.381,0.9968,0.9946,0.9868,0.9816,0.6,"converged normally"
"data19",16.7604,25,40,0.8903,0,0.0024,1.0001,1,21847.9526,21587.2728,-10753.6364,0.9969,0.9951,0.9886,0.9836,0.5795,"converged normally"
"data2",22.471,25,40,0.6084,0,0.0039,1,1,25848.2193,25587.5396,-12753.7698,0.9966,0.9945,0.9864,0.9791,0.5817,"converged normally"
"data20",30.4215,25,40,0.2089,0.0066,0.0041,0.9999,1,21715.3293,21454.6496,-10687.3248,0.9971,0.9954,0.9889,0.9837,0.5821,"converged normally"
"data21",34.9636,25,40,0.0889,0.0089,0.0033,0.9999,0.9999,16842.4402,16581.7604,-8250.8802,0.9974,0.996,0.9909,0.9861,0.5841,"converged normally"
"data22",45.553,25,40,0.0072,0.0128,0.0035,0.9997,0.9998,19782.5209,19521.8411,-9720.9206,0.997,0.9958,0.99,0.9847,0.5695,"converged normally"
"data23",18.0797,25,40,0.839,0,0.0013,1.0001,1,13401.3209,13140.6412,-6530.3206,0.9974,0.9965,0.9918,0.9879,0.5844,"converged normally"
"data24",27.5583,25,40,0.3286,0.0045,0.0061,1,1,18963.5697,18702.8899,-9311.445,0.9971,0.9956,0.9898,0.9851,0.5921,"converged normally"
"data25",28.2075,25,40,0.2984,0.0051,0.0043,1,1,21310.4173,21049.7376,-10484.8688,0.9969,0.9953,0.9886,0.9833,0.595,"converged normally"
"data26",22.2524,25,40,0.6211,0,0.0013,1,1,24897.9207,24637.241,-12278.6205,0.9967,0.9949,0.9875,0.9812,0.5671,"converged normally"
"data27",22.9486,25,40,0.5806,0,0.0017,1,1,23999.2034,23738.5236,-11829.2618,0.9968,0.9948,0.9871,0.9812,0.5969,"converged normally"
"data28",31.1227,25,40,0.185,0.007,0.0026,0.9999,0.9999,24027.9123,23767.2326,-11843.6163,0.9969,0.9948,0.987,0.9813,0.5882,"converged normally"
"data29",19.3371,25,40,0.7807,0,0.0034,1.0001,1,26939.0107,26678.331,-13299.1655,0.9966,0.9943,0.9857,0.9785,0.5781,"converged normally"
"data3",24.7659,25,40,0.4756,0,0.0028,1,1,19579.8198,19319.1401,-9619.5701,0.9973,0.9956,0.9896,0.9846,0.5862,"converged normally"
"data30",20.8309,25,40,0.702,0,0.0026,1.0001,1,22909.7496,22649.0699,-11284.5349,0.9971,0.9951,0.9878,0.9813,0.6,"converged normally"
"data31",16.9217,25,40,0.8846,0,0.0031,1.0001,1,17888.5122,17627.8324,-8773.9162,0.9973,0.996,0.9898,0.985,0.5948,"converged normally"
"data32",28.3741,25,40,0.2909,0.0052,0.0031,1,1,20292.9205,20032.2407,-9976.1204,0.997,0.9956,0.9894,0.9842,0.6117,"converged normally"
"data33",46.0353,25,40,0.0064,0.013,0.002,0.9997,0.9998,20196.9336,19936.2539,-9928.1269,0.997,0.9954,0.9887,0.9835,0.5977,"converged normally"
"data34",13.269,25,40,0.973,0,0.0019,1.0002,1,20409.2226,20148.5429,-10034.2714,0.997,0.9955,0.9889,0.984,0.5878,"converged normally"
"data35",18.2121,25,40,0.8333,0,0.0021,1.0001,1,19950.0083,19689.3286,-9804.6643,0.9971,0.9956,0.9892,0.984,0.6076,"converged normally"
"data36",30.7845,25,40,0.1963,0.0068,0.0043,0.9999,1,20124.1817,19863.5019,-9891.751,0.9972,0.9955,0.9893,0.9839,0.5846,"converged normally"
"data37",25.0948,25,40,0.4571,9e-04,0.0026,1,1,21716.9872,21456.3075,-10688.1537,0.9969,0.9954,0.9892,0.9834,0.5699,"converged normally"
"data38",31.2361,25,40,0.1813,0.0071,0.002,0.9999,0.9999,18156.4025,17895.7228,-8907.8614,0.9971,0.9959,0.99,0.9854,0.6081,"converged normally"
"data39",26.1323,25,40,0.4006,0.003,0.0025,1,1,18548.3733,18287.6936,-9103.8468,0.9974,0.9958,0.99,0.9845,0.6031,"converged normally"
"data4",32.8352,25,40,0.1352,0.0079,0.004,0.9999,0.9999,20220.5723,19959.8926,-9939.9463,0.997,0.9954,0.9888,0.9845,0.5836,"converged normally"
"data40",14.4872,25,40,0.9526,0,0.0034,1.0001,1,14676.0467,14415.367,-7167.6835,0.9975,0.9963,0.9918,0.9873,0.5693,"converged normally"
"data41",39.1203,25,40,0.0358,0.0106,0.0078,0.9998,0.9999,12825.1422,12564.4624,-6242.2312,0.9977,0.9966,0.9921,0.9887,0.6014,"converged normally"
"data42",19.7181,25,40,0.7615,0,0.0049,1.0001,1,21388.6963,21128.0166,-10524.0083,0.997,0.9952,0.9889,0.9832,0.5835,"converged normally"
"data43",19.6158,25,40,0.7667,0,0.0031,1.0001,1,18678.6691,18417.9894,-9168.9947,0.9971,0.9957,0.9901,0.985,0.5796,"converged normally"
"data44",16.6724,25,40,0.8933,0,8e-04,1.0001,1,20799.0684,20538.3887,-10229.1944,0.9969,0.9954,0.9891,0.9839,0.5824,"converged normally"
"data45",21.5104,25,40,0.6638,0,0.0045,1.0001,1,23695.3462,23434.6665,-11677.3332,0.9966,0.9948,0.9878,0.9824,0.5738,"converged normally"
