"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","status"
"BOLD3TRfilt_51",170.2159,120,110,0.0018,0.0502,0.0608,0.9584,0.9738,14237.9447,13895.626,-6837.813,0.2724,0.3856,0.597,0.5893,0.2981,0.3716,0.3849,0.3168,0.539,0.6811,"converged normally"
"BOLD3TRfilt_52",192.0869,120,110,0,0.0602,0.049,0.9544,0.9712,13965.0891,13622.7704,-6701.3852,0.2675,0.6127,0.7778,0.617,0.4064,0.4792,0.3594,0.3262,0.5977,0.6347,"converged normally"
"BOLD3TRfilt_53",187.5627,120,110,1e-04,0.0582,0.0658,0.9528,0.9702,14121.0293,13778.7106,-6779.3553,0.1048,0.5061,0.5705,0.5997,0.3339,0.5807,0.4366,0.2163,0.7356,0.6019,"converged normally"
"BOLD3TRfilt_54",156.3654,113,117,0.0043,0.0481,0.0524,0.9549,0.9732,14396.9839,14032.8813,-6899.4407,0.3288,0.2938,0.5613,0.6328,0.2101,0.3367,0.2239,0.3673,-3e-04,0.6062,"converged normally"
"BOLD3TRfilt_55",179.6537,120,110,3e-04,0.0547,0.0577,0.9549,0.9715,14353.6262,14011.3075,-6895.6538,0.0762,0.2956,0.6474,0.6058,0.453,0.4077,0.2866,0.1177,0.729,0.6938,"converged normally"
"BOLD3TRfilt_56",186.3063,118,112,1e-04,0.0591,0.0569,0.9521,0.9702,14506.6294,14158.0867,-6967.0434,0.0289,0.5894,0.6188,0.6673,0.3744,0.358,0.5057,0.2703,0.6895,0.6163,"converged normally"
"BOLD3TRfilt_57",166.0623,116,114,0.0016,0.051,0.0575,0.9519,0.9707,14380.4321,14025.6655,-6898.8327,0.0886,0.242,0.5306,0.5363,0.1961,0.371,0.5183,0.3748,0.5457,0.4706,"converged normally"
"BOLD3TRfilt_58",169.7381,115,115,7e-04,0.0535,0.0584,0.9562,0.9735,14309.7545,13951.876,-6860.938,0.1929,-3.0577,0.5367,0.4385,0.2489,0.4521,0.4334,0.3874,0.6769,0.5852,"converged normally"
"BOLD3TRfilt_59",169.8694,119,111,0.0015,0.0507,0.0564,0.9596,0.9747,14465.8772,14120.4465,-6949.2233,0.2923,0.2279,0.6311,0.6058,0.4838,0.3772,0.4627,0.2519,0.2906,0.553,"converged normally"
"BOLD3TRfilt_60",186.1389,121,109,1e-04,0.0569,0.0499,0.9548,0.9712,14206.6261,13867.4194,-6824.7097,0.2264,0.575,0.6057,0.6724,0.4466,0.4554,0.4604,0.2447,0.6547,0.5756,"converged normally"
