"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","status"
"data1",36.1661,16,74,0.0027,0.0159,0.0036,0.9993,0.9998,45127.2023,44644.9448,-22248.4724,0.9995,0.9782,0.9535,0.9858,0.9146,0.1696,"converged normally"
"data10",65.3381,16,74,0,0.0248,0.0059,0.9984,0.9996,45279.1637,44796.9062,-22324.4531,0.9995,0.978,0.9512,0.9845,0.9168,0.1606,"converged normally"
"data11",48.597,16,74,0,0.0202,0.0036,0.999,0.9997,47531.7461,47049.4886,-23450.7443,0.9995,0.98,0.9533,0.9855,0.9213,0.1775,"converged normally"
"data12",58.2408,16,74,0,0.023,0.0056,0.9986,0.9997,45850.3339,45368.0764,-22610.0382,0.9995,0.9788,0.9472,0.9852,0.9193,0.1596,"converged normally"
"data13",34.0139,16,74,0.0054,0.015,0.002,0.9994,0.9999,48390.9935,47908.7361,-23880.368,0.9995,0.9805,0.9534,0.9849,0.9258,0.1712,"converged normally"
"data14",41.4755,16,74,5e-04,0.0178,0.0038,0.9992,0.9998,47750.2597,47268.0022,-23560.0011,0.9995,0.9816,0.9587,0.9841,0.9273,0.1789,"converged normally"
"data15",93.9026,16,74,0,0.0312,0.0097,0.9975,0.9994,45382.5738,44900.3163,-22376.1581,0.9995,0.9784,0.9475,0.9842,0.9211,0.1529,"converged normally"
"data16",49.2737,16,74,0,0.0204,0.0054,0.9989,0.9997,44847.156,44364.8985,-22108.4492,0.9995,0.979,0.9524,0.9845,0.917,0.1841,"converged normally"
"data17",59.4396,16,74,0,0.0233,0.0066,0.9986,0.9997,43159.5076,42677.2501,-21264.625,0.9994,0.9772,0.9443,0.9829,0.9112,0.1573,"converged normally"
"data18",41.511,16,74,5e-04,0.0179,0.0037,0.9992,0.9998,48745.3847,48263.1272,-24057.5636,0.9995,0.9831,0.9584,0.9855,0.9327,0.1722,"converged normally"
"data19",66.3861,16,74,0,0.0251,0.0059,0.9984,0.9996,47288.6403,46806.3828,-23329.1914,0.9995,0.9809,0.9551,0.9852,0.9235,0.1642,"converged normally"
"data2",57.3368,16,74,0,0.0227,0.0025,0.9987,0.9997,45709.6242,45227.3667,-22539.6833,0.9994,0.9773,0.9471,0.9849,0.9142,0.1692,"converged normally"
"data20",37.7789,16,74,0.0016,0.0165,0.0026,0.9993,0.9998,49346.9268,48864.6693,-24358.3347,0.9996,0.983,0.9593,0.9859,0.9283,0.1637,"converged normally"
