"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267,0,0,0,0
"X2",0,0.0332,0,0,0,0,0,0,0,0,0,0,0,0.0476,0,0,0,0.0476,0,0
"X3",0,0,0.0264,0,0,0,0,0,0,0,0,0.0172,0,0,0,0,0,0,0,0
"X4",0,0,0,0.0358,0,0,0,0,0,0,0,0,0,0,0,0.0315,0,0,0,0
"X5",0,0,0,0,0.0286,0,0,0,0,0,0,0,0,0.0262,0,0,0,0,0,0
"X6",0,0,0,0,0,0.0356,0,0,0,0,0,0.0186,0,0,0,0,0,0,0,0.0424
"X7",0,0,0,0,0,0,0.0406,0,0,0,0,0,0.0332,0,0,0,0,0,0,0.0346
"X8",0,0,0,0,0,0,0,0.0328,0,0,0,0,0,0,0,0,0,0,0.0364,0
"X9",0,0,0,0,0,0,0,0,0.0292,0,0,0,0,0,0,0.0234,0,0,0,0
"X10",0,0,0,0,0,0.0399,0,0,0,0.0452,0,0.0181,0,0,0,0,0,0,0,0
