"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","status"
"data1",49.5066,15,50,0,0.0215,0.0043,0.9988,0.9996,57588.5961,57262.7464,-28581.3732,0.9887,0.9969,0.7692,0.7514,0.2983,"converged normally"
"data10",58.614,15,50,0,0.0241,0.0041,0.9985,0.9995,54619.2027,54293.3531,-27096.6765,0.9905,0.9973,0.7811,0.7607,0.349,"converged normally"
"data11",53.2248,15,50,0,0.0226,0.003,0.9987,0.9996,55795.3217,55469.472,-27684.736,0.9898,0.9972,0.7742,0.758,0.3231,"converged normally"
"data12",43.4889,15,50,1e-04,0.0195,0.0027,0.999,0.9997,56179.2775,55853.4279,-27876.7139,0.9893,0.9971,0.7769,0.7517,0.3315,"converged normally"
"data13",57.18,15,50,0,0.0237,0.0034,0.9985,0.9995,57641.2804,57315.4308,-28607.7154,0.9887,0.9968,0.7715,0.743,0.329,"converged normally"
"data14",53.5589,15,50,0,0.0227,0.0047,0.9987,0.9996,56584.1968,56258.3471,-28079.1736,0.9892,0.9971,0.7777,0.7492,0.3101,"converged normally"
"data15",54.8959,15,50,0,0.0231,0.0042,0.9986,0.9995,56253.7296,55927.88,-27913.94,0.9894,0.9969,0.7794,0.7564,0.3143,"converged normally"
"data16",72.3173,15,50,0,0.0276,0.0065,0.998,0.9993,56587.7663,56261.9167,-28080.9583,0.989,0.997,0.7822,0.743,0.34,"converged normally"
"data17",71.5404,15,50,0,0.0275,0.0047,0.9981,0.9994,54673.1472,54347.2976,-27123.6488,0.9909,0.9973,0.7825,0.7595,0.3246,"converged normally"
"data18",70.5536,15,50,0,0.0272,0.0054,0.9981,0.9994,56413.7775,56087.9279,-27993.9639,0.9882,0.9969,0.7815,0.767,0.3373,"converged normally"
"data19",54.2554,15,50,0,0.0229,0.0072,0.9986,0.9995,57991.346,57665.4964,-28782.7482,0.9877,0.9965,0.7764,0.758,0.3172,"converged normally"
"data2",60.8079,15,50,0,0.0247,0.0051,0.9984,0.9995,55556.8695,55231.0199,-27565.5099,0.9903,0.9972,0.7761,0.7508,0.3514,"converged normally"
"data20",65.2442,15,50,0,0.0259,0.004,0.9983,0.9994,54147.8388,53821.9892,-26860.9946,0.9909,0.9973,0.7847,0.7655,0.3487,"converged normally"
"data21",42.869,15,50,2e-04,0.0193,0.0052,0.999,0.9997,55661.2423,55335.3927,-27617.6963,0.9899,0.9972,0.7805,0.7533,0.3165,"converged normally"
"data22",62.6955,15,50,0,0.0252,0.007,0.9983,0.9994,57220.3046,56894.4549,-28397.2275,0.9884,0.9968,0.7743,0.7579,0.3247,"converged normally"
"data23",38.4102,15,50,8e-04,0.0177,0.0028,0.9992,0.9997,57623.695,57297.8453,-28598.9227,0.9876,0.9966,0.7768,0.7637,0.3181,"converged normally"
"data24",49.855,15,50,0,0.0216,0.0025,0.9988,0.9996,56060.0802,55734.2305,-27817.1153,0.9891,0.997,0.7822,0.7651,0.3374,"converged normally"
"data25",57.2314,15,50,0,0.0237,0.0045,0.9985,0.9995,56604.2601,56278.4105,-28089.2052,0.9897,0.997,0.7709,0.7457,0.3254,"converged normally"
"data26",63.4711,15,50,0,0.0254,0.004,0.9983,0.9994,56298.0464,55972.1967,-27936.0984,0.9888,0.9969,0.7819,0.7642,0.3269,"converged normally"
"data27",48.5801,15,50,0,0.0212,0.0044,0.9989,0.9996,53800.192,53474.3423,-26687.1712,0.9915,0.9977,0.7799,0.7565,0.3208,"converged normally"
"data28",35.1172,15,50,0.0024,0.0164,0.0032,0.9993,0.9998,56825.1944,56499.3448,-28199.6724,0.9892,0.9969,0.7811,0.7399,0.3079,"converged normally"
"data29",33.2869,15,50,0.0043,0.0156,0.0044,0.9994,0.9998,55005.1514,54679.3017,-27289.6509,0.9911,0.9974,0.7739,0.754,0.3186,"converged normally"
"data3",58.0728,15,50,0,0.024,0.003,0.9985,0.9995,55374.6004,55048.7507,-27474.3754,0.9895,0.9971,0.7826,0.7639,0.3448,"converged normally"
"data30",49.73,15,50,0,0.0215,0.0054,0.9988,0.9996,58028.6998,57702.8501,-28801.4251,0.988,0.9965,0.773,0.7511,0.3264,"converged normally"
"data31",51.0067,15,50,0,0.0219,0.0041,0.9988,0.9996,54281.7538,53955.9042,-26927.9521,0.9912,0.9974,0.782,0.7563,0.3341,"converged normally"
"data32",55.5928,15,50,0,0.0233,0.0038,0.9986,0.9995,55396.2369,55070.3872,-27485.1936,0.99,0.9972,0.7766,0.7484,0.3452,"converged normally"
"data33",30.0722,15,50,0.0117,0.0142,0.0021,0.9995,0.9998,55778.0383,55452.1886,-27676.0943,0.9904,0.9973,0.7699,0.7463,0.3263,"converged normally"
"data34",56.6176,15,50,0,0.0236,0.0057,0.9986,0.9995,55300.92,54975.0703,-27437.5352,0.9902,0.9971,0.7814,0.76,0.3366,"converged normally"
"data35",42.3902,15,50,2e-04,0.0191,0.0036,0.999,0.9997,56891.2177,56565.368,-28232.684,0.9881,0.9968,0.7814,0.758,0.3268,"converged normally"
"data36",41.8059,15,50,2e-04,0.0189,0.0065,0.9991,0.9997,55582.3346,55256.4849,-27578.2424,0.9893,0.9971,0.7852,0.7631,0.3425,"converged normally"
"data37",73.2945,15,50,0,0.0279,0.0042,0.9979,0.9993,58094.6986,57768.8489,-28834.4245,0.9881,0.9965,0.7727,0.7489,0.326,"converged normally"
"data38",40.2801,15,50,4e-04,0.0184,0.0037,0.9991,0.9997,56183.1308,55857.2811,-27878.6406,0.9893,0.9971,0.7819,0.7527,0.3097,"converged normally"
"data39",39.1148,15,50,6e-04,0.0179,0.0035,0.9992,0.9997,55349.3743,55023.5246,-27461.7623,0.9902,0.9973,0.7789,0.7562,0.3313,"converged normally"
"data4",55.2061,15,50,0,0.0232,0.0037,0.9986,0.9995,53916.8809,53591.0312,-26745.5156,0.9915,0.9976,0.7759,0.7571,0.3248,"converged normally"
"data40",52.2546,15,50,0,0.0223,0.0031,0.9987,0.9996,56147.3361,55821.4864,-27860.7432,0.9901,0.9972,0.7719,0.747,0.3185,"converged normally"
"data41",62.8608,15,50,0,0.0253,0.0059,0.9983,0.9994,57127.0724,56801.2227,-28350.6114,0.9887,0.9968,0.775,0.7466,0.3431,"converged normally"
"data42",65.8706,15,50,0,0.026,0.005,0.9982,0.9994,56709.1875,56383.3378,-28141.6689,0.9885,0.9968,0.7739,0.7618,0.3522,"converged normally"
"data43",71.7919,15,50,0,0.0275,0.0072,0.9981,0.9994,54646.4654,54320.6158,-27110.3079,0.9899,0.9972,0.7925,0.7731,0.3187,"converged normally"
"data44",79.4257,15,50,0,0.0293,0.0051,0.9977,0.9992,57369.3024,57043.4527,-28471.7264,0.9876,0.9966,0.7821,0.7666,0.3222,"converged normally"
"data45",66.9424,15,50,0,0.0263,0.0045,0.9982,0.9994,56877.2885,56551.4388,-28225.7194,0.9881,0.9967,0.7811,0.7711,0.3285,"converged normally"
"data46",40.8394,15,50,3e-04,0.0186,0.0051,0.9991,0.9997,57173.6636,56847.8139,-28373.907,0.9902,0.997,0.7644,0.7333,0.3061,"converged normally"
"data47",61.2717,15,50,0,0.0248,0.0053,0.9984,0.9995,57306.3739,56980.5242,-28440.2621,0.9885,0.9968,0.7703,0.7614,0.3228,"converged normally"
"data48",57.5911,15,50,0,0.0238,0.0062,0.9985,0.9995,56358.272,56032.4224,-27966.2112,0.99,0.9971,0.7726,0.7497,0.3153,"converged normally"
"data49",50.3739,15,50,0,0.0217,0.0034,0.9988,0.9996,55846.5932,55520.7435,-27710.3718,0.9899,0.9972,0.7739,0.7568,0.3245,"converged normally"
"data5",45.0841,15,50,1e-04,0.02,0.0033,0.999,0.9997,56120.9195,55795.0698,-27847.5349,0.9896,0.9972,0.7744,0.7518,0.3255,"converged normally"
"data50",51.3282,15,50,0,0.022,0.0056,0.9987,0.9996,56493.8254,56167.9758,-28033.9879,0.9885,0.997,0.7837,0.753,0.3221,"converged normally"
"data51",49.2655,15,50,0,0.0214,0.0041,0.9988,0.9996,54677.0041,54351.1544,-27125.5772,0.9913,0.9975,0.7778,0.7457,0.307,"converged normally"
"data52",58.7158,15,50,0,0.0241,0.0065,0.9985,0.9995,56878.7567,56552.9071,-28226.4535,0.9893,0.9969,0.7693,0.7548,0.3233,"converged normally"
"data53",60.3808,15,50,0,0.0246,0.0076,0.9984,0.9995,56350.3381,56024.4885,-27962.2442,0.989,0.9969,0.7795,0.757,0.3353,"converged normally"
"data54",26.9593,15,50,0.0291,0.0126,0.0038,0.9996,0.9999,55196.0997,54870.2501,-27385.125,0.9907,0.9973,0.7808,0.7514,0.3042,"converged normally"
"data55",54.1684,15,50,0,0.0229,0.0047,0.9986,0.9995,55481.6222,55155.7725,-27527.8863,0.9907,0.9975,0.7695,0.7514,0.3153,"converged normally"
"data56",61.1972,15,50,0,0.0248,0.0059,0.9984,0.9995,57675.2503,57349.4006,-28624.7003,0.9884,0.9966,0.7703,0.753,0.3251,"converged normally"
"data57",79.4136,15,50,0,0.0293,0.0046,0.9978,0.9993,56305.6284,55979.7788,-27939.8894,0.989,0.9969,0.7839,0.7577,0.3209,"converged normally"
"data58",43.5855,15,50,1e-04,0.0195,0.0035,0.999,0.9997,56319.0232,55993.1736,-27946.5868,0.99,0.9972,0.7727,0.7488,0.306,"converged normally"
"data59",44.2197,15,50,1e-04,0.0197,0.0057,0.999,0.9997,55204.1925,54878.3428,-27389.1714,0.9905,0.9974,0.7787,0.7516,0.3243,"converged normally"
"data6",64.6644,15,50,0,0.0257,0.0036,0.9982,0.9994,58606.8901,58281.0404,-29090.5202,0.9879,0.9966,0.7637,0.744,0.3163,"converged normally"
"data60",44.1844,15,50,1e-04,0.0197,0.0069,0.999,0.9997,55945.9452,55620.0955,-27760.0478,0.9892,0.9969,0.7781,0.7571,0.362,"converged normally"
"data7",46.1724,15,50,0,0.0204,0.0044,0.9989,0.9996,58093.9725,57768.1229,-28834.0614,0.9876,0.9965,0.7753,0.7528,0.3211,"converged normally"
"data8",32.9604,15,50,0.0048,0.0155,0.0043,0.9994,0.9998,55611.1963,55285.3467,-27592.6733,0.99,0.9973,0.7782,0.7551,0.3219,"converged normally"
"data9",29.5356,15,50,0.0137,0.0139,0.0041,0.9995,0.9998,57450.876,57125.0263,-28512.5132,0.9892,0.9969,0.7676,0.739,0.3182,"converged normally"
