"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","status"
"data1",17.937,10,55,0.056,0.0126,9e-04,0.9998,1,58362.9433,58004.5087,-28947.2543,0.9947,0.9943,0.9993,0.9686,0.6031,"converged normally"
"data10",28.1068,10,55,0.0017,0.019,0.0013,0.9995,0.9999,57411.4854,57053.0508,-28471.5254,0.9943,0.9942,0.9993,0.9657,0.5805,"converged normally"
"data11",15.3406,10,55,0.1201,0.0103,0.0013,0.9999,1,58348.6962,57990.2616,-28940.1308,0.9948,0.9947,0.9993,0.9676,0.5957,"converged normally"
"data12",26.8738,10,55,0.0027,0.0184,6e-04,0.9995,0.9999,58535.3023,58176.8677,-29033.4339,0.9951,0.9946,0.9993,0.9695,0.6,"converged normally"
"data13",24.9473,10,55,0.0054,0.0173,7e-04,0.9996,0.9999,57869.2432,57510.8086,-28700.4043,0.9946,0.9943,0.9993,0.968,0.5855,"converged normally"
"data14",36.8281,10,55,1e-04,0.0232,0.0015,0.9993,0.9998,57398.3555,57039.9209,-28464.9604,0.9942,0.9939,0.9993,0.9639,0.5698,"converged normally"
"data15",26.122,10,55,0.0036,0.018,0.0011,0.9996,0.9999,58023.366,57664.9314,-28777.4657,0.9948,0.9946,0.9993,0.9657,0.5969,"converged normally"
"data16",18.454,10,55,0.0478,0.013,8e-04,0.9998,0.9999,58887.4612,58529.0266,-29209.5133,0.9944,0.9941,0.9993,0.966,0.5861,"converged normally"
"data17",39.1773,10,55,0,0.0242,0.005,0.9992,0.9998,57640.0731,57281.6385,-28585.8192,0.9943,0.9944,0.9993,0.9647,0.5677,"converged normally"
"data18",22.7691,10,55,0.0116,0.016,0.0011,0.9997,0.9999,56913.8766,56555.442,-28222.721,0.9941,0.9943,0.9993,0.965,0.5844,"converged normally"
"data19",49.935,10,55,0,0.0283,5e-04,0.9989,0.9998,57205.1471,56846.7125,-28368.3563,0.9942,0.994,0.9992,0.9614,0.5605,"converged normally"
"data2",42.3836,10,55,0,0.0255,0.0045,0.9991,0.9998,57868.7826,57510.348,-28700.174,0.9944,0.9943,0.9993,0.9669,0.5899,"converged normally"
"data20",27.4485,10,55,0.0022,0.0187,0.0012,0.9995,0.9999,56026.0907,55667.656,-27778.828,0.9943,0.9943,0.9993,0.965,0.5688,"converged normally"
"data21",22.4136,10,55,0.0131,0.0158,0.0029,0.9997,0.9999,59141.3851,58782.9505,-29336.4753,0.9939,0.994,0.9993,0.9659,0.5718,"converged normally"
"data22",40.0688,10,55,0,0.0245,0.0019,0.9992,0.9998,57639.9607,57281.526,-28585.763,0.9945,0.9947,0.9993,0.968,0.5876,"converged normally"
"data23",49.9403,10,55,0,0.0283,0.0014,0.9989,0.9998,58202.3984,57843.9638,-28866.9819,0.9944,0.9942,0.9993,0.966,0.5803,"converged normally"
"data24",32.0039,10,55,4e-04,0.021,0.0015,0.9994,0.9999,57883.8569,57525.4223,-28707.7111,0.9948,0.9944,0.9993,0.966,0.579,"converged normally"
"data25",22.7729,10,55,0.0116,0.016,0.005,0.9997,0.9999,57536.94,57178.5054,-28534.2527,0.9944,0.9939,0.9993,0.9645,0.5758,"converged normally"
"data26",27.6372,10,55,0.0021,0.0188,7e-04,0.9995,0.9999,57942.2361,57583.8015,-28736.9007,0.9948,0.9945,0.9994,0.9675,0.593,"converged normally"
"data27",28.2145,10,55,0.0017,0.0191,0.0011,0.9995,0.9999,58677.2265,58318.7919,-29104.396,0.9943,0.9941,0.9993,0.9672,0.5828,"converged normally"
"data28",6.545,10,55,0.7676,0,0.0022,1.0001,1,58855.1926,58496.7579,-29193.379,0.9948,0.9949,0.9994,0.9693,0.6013,"converged normally"
"data29",14.4701,10,55,0.1526,0.0095,6e-04,0.9999,1,58143.8262,57785.3916,-28837.6958,0.994,0.9941,0.9993,0.9638,0.5648,"converged normally"
"data3",45.0064,10,55,0,0.0265,0.003,0.9991,0.9998,58103.5742,57745.1396,-28817.5698,0.9944,0.9941,0.9993,0.9665,0.5846,"converged normally"
"data30",23.5964,10,55,0.0087,0.0165,0.003,0.9996,0.9999,58213.2059,57854.7712,-28872.3856,0.9943,0.9944,0.9993,0.9652,0.5841,"converged normally"
"data31",27.2208,10,55,0.0024,0.0186,0.001,0.9995,0.9999,57966.1442,57607.7096,-28748.8548,0.9945,0.9948,0.9994,0.9693,0.6194,"converged normally"
"data32",27.3217,10,55,0.0023,0.0186,0.0039,0.9995,0.9999,58564.5578,58206.1232,-29048.0616,0.9949,0.9944,0.9993,0.9667,0.5991,"converged normally"
"data33",27.8775,10,55,0.0019,0.0189,0.0015,0.9995,0.9999,59653.0616,59294.6269,-29592.3135,0.9935,0.9942,0.9992,0.9652,0.5771,"converged normally"
"data34",45.8647,10,55,0,0.0268,0.0024,0.999,0.9998,57606.5124,57248.0778,-28569.0389,0.9952,0.9945,0.9994,0.9679,0.613,"converged normally"
"data35",20.0989,10,55,0.0283,0.0142,0.0017,0.9997,0.9999,57118.0606,56759.626,-28324.813,0.9944,0.9943,0.9993,0.9658,0.5801,"converged normally"
"data36",20.2659,10,55,0.0268,0.0143,0.003,0.9997,0.9999,57615.1588,57256.7242,-28573.3621,0.9946,0.9945,0.9993,0.9678,0.6007,"converged normally"
"data37",32.1766,10,55,4e-04,0.0211,0.0011,0.9994,0.9999,59990.9388,59632.5042,-29761.2521,0.9947,0.9946,0.9993,0.9676,0.5771,"converged normally"
"data38",33.2518,10,55,2e-04,0.0216,0.0022,0.9994,0.9999,59805.9801,59447.5455,-29668.7727,0.9947,0.9946,0.9993,0.9678,0.6065,"converged normally"
"data39",20.0453,10,55,0.0288,0.0142,0.003,0.9997,0.9999,57876.6596,57518.225,-28704.1125,0.9947,0.9942,0.9993,0.9638,0.5689,"converged normally"
"data4",19.7118,10,55,0.0321,0.0139,0.002,0.9997,0.9999,57725.0357,57366.6011,-28628.3005,0.9949,0.9948,0.9993,0.968,0.5994,"converged normally"
"data40",24.1901,10,55,0.0071,0.0168,0.0054,0.9996,0.9999,58822.0782,58463.6435,-29176.8218,0.995,0.9948,0.9994,0.9686,0.592,"converged normally"
"data41",33.1501,10,55,3e-04,0.0215,0.0035,0.9994,0.9999,57506.273,57147.8384,-28518.9192,0.9948,0.994,0.9993,0.9656,0.5846,"converged normally"
"data42",25.8895,10,55,0.0039,0.0178,0.001,0.9996,0.9999,58366.4791,58008.0444,-28949.0222,0.9946,0.9944,0.9993,0.9669,0.5933,"converged normally"
"data43",20.9464,10,55,0.0215,0.0148,5e-04,0.9997,0.9999,58136.9975,57778.5629,-28834.2814,0.9947,0.9944,0.9993,0.968,0.598,"converged normally"
"data44",18.6151,10,55,0.0454,0.0131,0.0026,0.9998,0.9999,58766.5707,58408.1361,-29149.0681,0.9947,0.9946,0.9993,0.9678,0.5966,"converged normally"
"data45",30.0678,10,55,8e-04,0.02,0.0015,0.9995,0.9999,58037.6265,57679.1919,-28784.5959,0.9944,0.9941,0.9993,0.9647,0.5753,"converged normally"
"data46",27.2416,10,55,0.0024,0.0186,0.0019,0.9995,0.9999,60348.1096,59989.6749,-29939.8375,0.9947,0.994,0.9993,0.967,0.5939,"converged normally"
"data47",30.241,10,55,8e-04,0.0201,0.0029,0.9994,0.9999,58511.4539,58153.0193,-29021.5097,0.9945,0.9941,0.9993,0.9628,0.5653,"converged normally"
"data48",38.4754,10,55,0,0.0239,0.0052,0.9992,0.9998,57224.197,56865.7624,-28377.8812,0.9941,0.9944,0.9993,0.966,0.5845,"converged normally"
"data49",39.2889,10,55,0,0.0242,0.0013,0.9992,0.9998,58584.7123,58226.2777,-29058.1388,0.9947,0.9943,0.9993,0.9658,0.5855,"converged normally"
"data5",53.2541,10,55,0,0.0294,0.0012,0.9988,0.9997,59063.3372,58704.9025,-29297.4513,0.9938,0.9946,0.9993,0.9682,0.5857,"converged normally"
"data50",29.1606,10,55,0.0012,0.0196,5e-04,0.9995,0.9999,58203.4861,57845.0514,-28867.5257,0.9946,0.9947,0.9993,0.9673,0.5887,"converged normally"
"data51",37.0857,10,55,1e-04,0.0233,9e-04,0.9993,0.9998,58907.5562,58549.1216,-29219.5608,0.9938,0.994,0.9993,0.9683,0.5974,"converged normally"
"data52",26.4509,10,55,0.0032,0.0181,0.0013,0.9996,0.9999,56979.2268,56620.7922,-28255.3961,0.9943,0.9941,0.9993,0.9652,0.5975,"converged normally"
"data53",26.8218,10,55,0.0028,0.0183,0.0047,0.9995,0.9999,57287.3091,56928.8744,-28409.4372,0.9945,0.9945,0.9993,0.9663,0.5921,"converged normally"
"data54",25.9465,10,55,0.0038,0.0179,6e-04,0.9996,0.9999,57443.9467,57085.5121,-28487.756,0.9948,0.9946,0.9993,0.9662,0.5981,"converged normally"
"data55",27.5867,10,55,0.0021,0.0188,0.0034,0.9995,0.9999,58709.0427,58350.6081,-29120.304,0.9949,0.9943,0.9993,0.9666,0.5911,"converged normally"
"data56",15.2856,10,55,0.122,0.0103,0.0026,0.9999,1,57866.5905,57508.1559,-28699.0779,0.9946,0.9943,0.9993,0.9667,0.5899,"converged normally"
"data57",37.2868,10,55,1e-04,0.0234,0.001,0.9993,0.9998,57399.6168,57041.1821,-28465.5911,0.9945,0.9944,0.9993,0.9679,0.6006,"converged normally"
"data58",22.1183,10,55,0.0145,0.0156,0.0011,0.9997,0.9999,58552.9602,58194.5256,-29042.2628,0.9941,0.994,0.9993,0.9624,0.5622,"converged normally"
"data59",27.8571,10,55,0.0019,0.0189,5e-04,0.9995,0.9999,58168.5091,57810.0745,-28850.0372,0.9947,0.9946,0.9993,0.9679,0.6021,"converged normally"
"data6",42.1688,10,55,0,0.0254,0.0049,0.9991,0.9998,56986.411,56627.9764,-28258.9882,0.9947,0.9945,0.9994,0.9676,0.6052,"converged normally"
"data60",20.4158,10,55,0.0256,0.0144,0.0022,0.9997,0.9999,58414.4206,58055.986,-28972.993,0.9946,0.9941,0.9993,0.9646,0.5755,"converged normally"
"data7",29.4975,10,55,0.001,0.0197,8e-04,0.9995,0.9999,58034.4093,57675.9747,-28782.9873,0.9943,0.9944,0.9993,0.9652,0.5771,"converged normally"
"data8",27.6852,10,55,0.002,0.0188,0.0012,0.9995,0.9999,58099.5032,57741.0686,-28815.5343,0.995,0.9943,0.9993,0.967,0.5782,"converged normally"
"data9",36.377,10,55,1e-04,0.023,0.0016,0.9993,0.9998,59090.7879,58732.3533,-29311.1767,0.9944,0.9943,0.9993,0.9662,0.5747,"converged normally"
