"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",1e-04,0,3e-04,4e-04,0,2e-04,3e-04,3e-04,0,0,0,0,0,0,5e-04,0,0,2e-04,2e-04,0
"X2",0,5.6527,4.1093,0,0,1.294,0,1.6103,0.9197,0,0,0,0,0,0,0,0,5.4346,0,0
"X3",0,0.0218,0.0153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164,0,0
"X4",0,0,0,0.4004,0.1077,0,0.1801,0,0.1493,0,0,0,0,0,0.3876,0,0,0,0,0.0417
"X5",0,0,0,0,0.0082,0,0.0103,0.0049,0.0054,0,0,0,0,0.0112,0,0,0,0,0,0
"X6",0,0,0,0,0,0.0104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104
"X7",0,0.006,0,0,0,0.0058,0.0062,0,0,0,0,0.0061,0,0,0,0.0061,0,0,0,0
"X8",0,0,0,0,0,0,0,0.0102,0,0,0,0.0145,0,0,0,0,0,0,0,0
"X9",0,0.0103,0,0,0,0,0,0.0114,0.0083,0,0,0,0,0,0,0,0,0,0,0.0073
"X10",0,0,0,0,0,0.0126,0,0,0,0.0126,0,0,0,0,0,0,0,0,0,0
