"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","V7_r2","V8_r2","status"
"data1",73.9998,74,78,0.4781,0,0.0023,1,1,38773.5639,38265.2385,-19054.6192,0.9999,0.9999,0.9998,0.9999,0.9997,0.4334,0.952,0.9821,"converged normally"
"data10",68.2682,74,78,0.6659,0,0.0013,1,1,36187.6205,35679.2951,-17761.6475,0.9999,0.9999,0.9998,0.9998,0.9996,0.4218,0.9572,0.9782,"converged normally"
"data11",55.8342,74,78,0.943,0,0.0043,1.0001,1,37873.7803,37365.4548,-18604.7274,0.9999,0.9999,0.9998,0.9998,0.9996,0.437,0.9594,0.9754,"converged normally"
"data12",63.4502,74,78,0.8042,0,0.0021,1.0001,1,37185.7448,36677.4193,-18260.7096,0.9999,0.9999,0.9998,0.9998,0.9996,0.4267,0.9564,0.972,"converged normally"
"data13",59.0096,74,78,0.8981,0,0.0027,1.0001,1,38319.7818,37811.4564,-18827.7282,0.9999,0.9999,0.9998,0.9999,0.9997,0.4397,0.9581,0.9775,"converged normally"
"data14",61.1436,74,78,0.8576,0,0.0037,1.0001,1,34455.8323,33947.5068,-16895.7534,0.9999,0.9999,0.9998,0.9999,0.9997,0.4297,0.9536,0.9785,"converged normally"
"data15",76.7393,74,78,0.3908,0.0027,0.0024,1,1,37154.1376,36645.8122,-18244.9061,0.9999,0.9999,0.9998,0.9999,0.9997,0.411,0.96,0.9815,"converged normally"
"data16",61.4436,74,78,0.8512,0,0.0052,1.0001,1,37998.9279,37490.6024,-18667.3012,0.9999,0.9999,0.9998,0.9999,0.9997,0.4476,0.9537,0.9814,"converged normally"
"data17",65.7972,74,78,0.7407,0,0.0025,1,1,36463.0078,35954.6824,-17899.3412,0.9999,0.9999,0.9998,0.9999,0.9997,0.4135,0.9503,0.9833,"converged normally"
"data18",96.4935,74,78,0.0407,0.0078,0.0029,0.9999,0.9999,35612.6359,35104.3104,-17474.1552,0.9998,0.9999,0.9998,0.9999,0.9996,0.4668,0.9628,0.977,"converged normally"
