"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"X1",0.6989,-0.4059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0,0.7688,1.0455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X3",0,0,-0.9552,0.2953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X4",0,0,0,-0.4999,-1.1392,0,0,0,0,0,0,0,0,0,0,0,0,0
"X5",0,0.4347,0,0,0.7372,0,0,0,0,0,0,0,0,0,0,0,0,0
"X6",0,0,0,0,0,-0.6182,0.3817,0,-0.0932,0,0,0,0,0,0,0,0,0
"X7",0,0,0,0,0,0,-0.4958,-0.5098,0,0,0,0,0,0,0,0,0,0
"X8",0,0,0,-0.1839,0,0,0,-0.9892,0,0,0,0,0,0,0,0,0,0
"X9",0,0,0,0,0,0,0,0,-0.9819,0,0,0,0,0,0,0,0,0
