"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","status"
"data1",25.2183,12,78,0.0138,0.0148,0.0049,0.9994,0.9999,57228.6506,56720.3251,-28282.1626,0.9984,0.9,0.9696,0.982,0.9606,0.1285,"converged normally"
"data10",42.2595,12,78,0,0.0225,0.0059,0.9985,0.9997,57947.2712,57438.9458,-28641.4729,0.9985,0.9108,0.9667,0.9814,0.9611,0.1423,"converged normally"
"data11",22.0153,12,78,0.0373,0.0129,0.0041,0.9995,0.9999,58876.209,58367.8835,-29105.9418,0.9981,0.8993,0.967,0.981,0.9605,0.1485,"converged normally"
"data12",59.3297,12,78,0,0.0281,0.0045,0.9976,0.9996,60322.6576,59814.3322,-29829.1661,0.9981,0.9019,0.9655,0.98,0.9591,0.1332,"converged normally"
"data13",39.9731,12,78,1e-04,0.0216,0.0048,0.9986,0.9997,59510.6196,59002.2942,-29423.1471,0.9983,0.9014,0.966,0.9805,0.9574,0.1307,"converged normally"
"data14",19.8033,12,78,0.0709,0.0114,0.0027,0.9996,0.9999,61684.1375,61175.8121,-30509.906,0.9981,0.8977,0.9633,0.978,0.9556,0.1423,"converged normally"
"data15",61.6324,12,78,0,0.0288,0.0052,0.9975,0.9995,61458.2594,60949.934,-30396.967,0.9979,0.9003,0.9644,0.9785,0.9571,0.1337,"converged normally"
"data16",34.7354,12,78,5e-04,0.0195,0.0038,0.9989,0.9998,59133.1335,58624.808,-29234.404,0.9984,0.9017,0.9652,0.9809,0.9603,0.1309,"converged normally"
"data17",43.3657,12,78,0,0.0229,0.0058,0.9985,0.9997,57984.6503,57476.3249,-28660.1624,0.9985,0.9,0.9681,0.9813,0.9603,0.1353,"converged normally"
"data18",34.3103,12,78,6e-04,0.0193,0.0047,0.9989,0.9998,60811.5937,60303.2683,-30073.6341,0.9982,0.8936,0.9651,0.9796,0.9579,0.1166,"converged normally"
"data19",41.3042,12,78,0,0.0221,0.0038,0.9986,0.9997,57888.5268,57380.2014,-28612.1007,0.9982,0.9014,0.9686,0.9821,0.9621,0.1348,"converged normally"
"data2",30.1118,12,78,0.0027,0.0174,0.0066,0.9991,0.9998,58887.091,58378.7655,-29111.3828,0.9982,0.902,0.9671,0.9807,0.9604,0.1529,"converged normally"
"data20",31.6255,12,78,0.0016,0.0181,0.0023,0.999,0.9998,59982.8646,59474.5391,-29659.2696,0.9982,0.8934,0.9653,0.9804,0.9579,0.1432,"converged normally"
"data21",20.9104,12,78,0.0517,0.0122,0.0032,0.9996,0.9999,58001.5622,57493.2368,-28668.6184,0.9984,0.9088,0.9675,0.9816,0.9624,0.1251,"converged normally"
"data22",55.0046,12,78,0,0.0268,0.0037,0.9979,0.9996,59547.9024,59039.577,-29441.7885,0.9982,0.9012,0.9661,0.9798,0.9605,0.1265,"converged normally"
"data23",18.5813,12,78,0.0991,0.0105,0.0034,0.9997,0.9999,60350.13,59841.8045,-29842.9023,0.9981,0.899,0.9668,0.9796,0.957,0.1435,"converged normally"
"data24",32.7906,12,78,0.001,0.0186,0.0043,0.999,0.9998,58804.1053,58295.7798,-29069.8899,0.9985,0.8984,0.9657,0.98,0.9598,0.1429,"converged normally"
"data25",27.9338,12,78,0.0057,0.0163,0.0034,0.9992,0.9999,60049.708,59541.3825,-29692.6913,0.9982,0.8979,0.9659,0.9796,0.9574,0.129,"converged normally"
"data26",25.6563,12,78,0.012,0.0151,0.0041,0.9993,0.9999,60698.6346,60190.3092,-30017.1546,0.9979,0.9003,0.9653,0.9798,0.9586,0.1363,"converged normally"
"data27",32.7593,12,78,0.0011,0.0186,0.0037,0.999,0.9998,57878.1554,57369.8299,-28606.9149,0.9984,0.9078,0.9669,0.9817,0.961,0.141,"converged normally"
