"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","status"
"data1",29.7543,11,54,0.0017,0.0185,0.0018,0.9995,0.9999,13348.1734,12996.2557,-6444.1279,0.955,0.985,0.9975,0.999,0.6274,"converged normally"
"data10",21.5054,11,54,0.0285,0.0138,0.0017,0.9997,0.9999,13117.1047,12765.187,-6328.5935,0.9542,0.9842,0.9973,0.9989,0.6146,"converged normally"
"data11",10.6518,11,54,0.4729,0,0.0017,1,1,13437.8452,13085.9276,-6488.9638,0.9551,0.9844,0.9974,0.999,0.6085,"converged normally"
"data12",16.3135,11,54,0.1299,0.0098,0.005,0.9999,1,11754.5809,11402.6633,-5647.3316,0.9503,0.9815,0.9971,0.9988,0.622,"converged normally"
"data13",15.8347,11,54,0.1474,0.0094,7e-04,0.9999,1,13515.6712,13163.7535,-6527.8768,0.9586,0.9837,0.9977,0.9991,0.6152,"converged normally"
"data14",19.7697,11,54,0.0486,0.0126,0.0013,0.9998,0.9999,11677.3751,11325.4574,-5608.7287,0.9514,0.9829,0.9971,0.9988,0.6033,"converged normally"
"data15",23.2163,11,54,0.0165,0.0149,0.0037,0.9997,0.9999,10842.9005,10490.9829,-5191.4914,0.9522,0.9798,0.997,0.9987,0.6104,"converged normally"
"data16",10.409,11,54,0.494,0,9e-04,1,1,14010.2628,13658.3451,-6775.1726,0.959,0.9839,0.9978,0.9992,0.636,"converged normally"
"data17",12.3495,11,54,0.338,0.005,0.0012,1,1,13401.2711,13049.3534,-6470.6767,0.9562,0.9846,0.9976,0.9991,0.6256,"converged normally"
"data18",33.3554,11,54,5e-04,0.0202,0.0052,0.9994,0.9998,12460.2956,12108.378,-6000.189,0.957,0.9808,0.9967,0.9987,0.604,"converged normally"
"data19",24.3164,11,54,0.0115,0.0156,0.0028,0.9997,0.9999,13914.9603,13563.0427,-6727.5213,0.9617,0.9818,0.9981,0.9992,0.635,"converged normally"
"data2",28.2286,11,54,0.003,0.0177,0.0023,0.9995,0.9999,12106.3694,11754.4518,-5823.2259,0.953,0.9822,0.9975,0.9991,0.6057,"converged normally"
"data20",14.3481,11,54,0.2143,0.0078,0.0018,0.9999,1,13235.3396,12883.4219,-6387.711,0.9539,0.9824,0.9971,0.9989,0.6019,"converged normally"
"data21",30.8611,11,54,0.0012,0.019,0.0025,0.9995,0.9999,14655.2935,14303.3758,-7097.6879,0.9614,0.9853,0.9979,0.9992,0.6372,"converged normally"
"data22",13.7018,11,54,0.2499,0.007,0.0016,0.9999,1,13003.0921,12651.1744,-6271.5872,0.9588,0.9813,0.9974,0.999,0.6216,"converged normally"
"data23",10.1729,11,54,0.5149,0,0.0025,1,1,12705.8947,12353.977,-6122.9885,0.9588,0.9822,0.9976,0.999,0.6226,"converged normally"
"data24",31.6073,11,54,9e-04,0.0194,0.0018,0.9995,0.9999,13333.8987,12981.981,-6436.9905,0.9587,0.9842,0.9977,0.9991,0.6197,"converged normally"
"data25",30.3671,11,54,0.0014,0.0188,0.0041,0.9995,0.9999,14330.235,13978.3174,-6935.1587,0.9615,0.9854,0.998,0.9992,0.627,"converged normally"
"data26",35.2638,11,54,2e-04,0.021,0.0025,0.9993,0.9998,11335.979,10984.0614,-5438.0307,0.9568,0.9816,0.9975,0.999,0.5822,"converged normally"
"data27",10.6159,11,54,0.476,0,0.0024,1,1,13313.7153,12961.7977,-6426.8988,0.9543,0.9832,0.9976,0.9991,0.6048,"converged normally"
"data28",17.1265,11,54,0.1042,0.0106,7e-04,0.9998,1,13670.4595,13318.5419,-6605.2709,0.9571,0.9848,0.9974,0.999,0.6146,"converged normally"
"data29",17.1301,11,54,0.1041,0.0106,8e-04,0.9998,1,12129.8601,11777.9425,-5834.9712,0.9573,0.9815,0.9976,0.9991,0.6124,"converged normally"
"data3",4.7548,11,54,0.9425,0,0.0022,1.0002,1,12950.4607,12598.5431,-6245.2715,0.9562,0.9817,0.997,0.9989,0.6069,"converged normally"
"data30",20.1279,11,54,0.0436,0.0129,0.0067,0.9998,0.9999,13345.3891,12993.4715,-6442.7357,0.9593,0.9857,0.998,0.9992,0.5952,"converged normally"
"data31",17.2872,11,54,0.0997,0.0107,0.0021,0.9998,1,12987.8142,12635.8966,-6263.9483,0.958,0.9839,0.9979,0.9992,0.6226,"converged normally"
"data32",25.6959,11,54,0.0072,0.0163,0.0012,0.9996,0.9999,12922.0689,12570.1513,-6231.0757,0.9553,0.9826,0.9974,0.999,0.6047,"converged normally"
"data33",15.0438,11,54,0.1805,0.0086,6e-04,0.9999,1,11202.7805,10850.8629,-5371.4314,0.9512,0.9804,0.9971,0.9988,0.5948,"converged normally"
"data34",45.0744,11,54,0,0.0249,0.003,0.9991,0.9998,13898.4542,13546.5366,-6719.2683,0.9613,0.9852,0.998,0.9992,0.6298,"converged normally"
"data35",15.1233,11,54,0.1769,0.0087,0.0039,0.9999,1,12246.2918,11894.3742,-5893.1871,0.9545,0.9835,0.9971,0.9989,0.6115,"converged normally"
"data36",20.2319,11,54,0.0423,0.013,0.0031,0.9997,0.9999,13019.9318,12668.0142,-6280.0071,0.9551,0.9817,0.9974,0.999,0.6272,"converged normally"
"data37",15.375,11,54,0.166,0.0089,0.0019,0.9999,1,12001.696,11649.7783,-5770.8892,0.953,0.983,0.997,0.9989,0.6076,"converged normally"
"data38",31.8725,11,54,8e-04,0.0195,0.0053,0.9995,0.9999,14732.8314,14380.9137,-7136.4569,0.9629,0.9863,0.9982,0.9993,0.622,"converged normally"
"data39",21.5884,11,54,0.0278,0.0139,0.0021,0.9997,0.9999,11043.9892,10692.0716,-5292.0358,0.9523,0.9798,0.997,0.9988,0.5953,"converged normally"
"data4",21.9432,11,54,0.0248,0.0141,0.0028,0.9997,0.9999,12404.621,12052.7034,-5972.3517,0.9526,0.9825,0.9969,0.9988,0.5996,"converged normally"
"data40",38.9904,11,54,1e-04,0.0226,0.0019,0.9992,0.9998,12772.8717,12420.954,-6156.477,0.9543,0.9816,0.997,0.9989,0.6084,"converged normally"
"data41",13.0477,11,54,0.2902,0.0061,0.0015,0.9999,1,13649.7049,13297.7873,-6594.8936,0.9591,0.9833,0.9977,0.9991,0.6292,"converged normally"
"data42",10.9621,11,54,0.4464,0,0.0036,1,1,12135.9853,11784.0677,-5838.0339,0.9527,0.9806,0.9965,0.9987,0.5918,"converged normally"
"data43",23.3027,11,54,0.016,0.015,0.0026,0.9997,0.9999,12847.2817,12495.3641,-6193.682,0.9509,0.9835,0.9974,0.999,0.5911,"converged normally"
"data44",26.8409,11,54,0.0049,0.017,0.0031,0.9996,0.9999,12233.1941,11881.2764,-5886.6382,0.9535,0.983,0.9971,0.9989,0.6166,"converged normally"
"data45",19.2306,11,54,0.0571,0.0122,0.0029,0.9998,0.9999,11803.9708,11452.0532,-5672.0266,0.9555,0.9817,0.9973,0.9989,0.6049,"converged normally"
"data46",16.3404,11,54,0.129,0.0099,0.0026,0.9999,1,12387.3234,12035.4058,-5963.7029,0.9575,0.9841,0.9974,0.999,0.6072,"converged normally"
"data47",25.7785,11,54,0.007,0.0164,7e-04,0.9996,0.9999,11269.8723,10917.9546,-5404.9773,0.9587,0.9821,0.9975,0.999,0.62,"converged normally"
"data48",19.8308,11,54,0.0477,0.0127,8e-04,0.9998,0.9999,13410.446,13058.5284,-6475.2642,0.9541,0.9824,0.9976,0.9991,0.6284,"converged normally"
"data49",16.8885,11,54,0.1112,0.0103,0.0044,0.9998,1,11620.8104,11268.8927,-5580.4464,0.9496,0.9843,0.9972,0.9989,0.5807,"converged normally"
"data5",22.4994,11,54,0.0208,0.0145,0.0042,0.9997,0.9999,10721.1879,10369.2703,-5130.6351,0.9492,0.98,0.9966,0.9986,0.5976,"converged normally"
"data50",31.9542,11,54,8e-04,0.0195,0.0043,0.9994,0.9999,12651.0327,12299.1151,-6095.5576,0.9544,0.9824,0.9969,0.9988,0.6069,"converged normally"
"data51",21.928,11,54,0.0249,0.0141,0.0012,0.9997,0.9999,12088.6719,11736.7543,-5814.3772,0.9564,0.9815,0.9972,0.9989,0.5907,"converged normally"
"data52",16.783,11,54,0.1145,0.0103,0.002,0.9998,1,13242.4597,12890.5421,-6391.271,0.9553,0.9846,0.9977,0.9991,0.6148,"converged normally"
"data53",29.9063,11,54,0.0016,0.0185,0.0025,0.9995,0.9999,12345.365,11993.4474,-5942.7237,0.959,0.9842,0.9978,0.9991,0.6148,"converged normally"
