"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","V7_r2","V8_r2","status"
"data1",139.7862,36,116,0,0.024,0.0022,0.9987,0.9996,55419.7857,54663.8145,-27215.9073,0.9987,0.9921,0.9828,0.9481,0.9831,0.9925,0.9946,0.0182,"converged normally"
"data10",157.2198,36,116,0,0.026,0.0064,0.9985,0.9995,56810.492,56054.5207,-27911.2604,0.999,0.9926,0.9845,0.9509,0.9856,0.9934,0.9953,0.0217,"converged normally"
"data11",168.9724,36,116,0,0.0272,0.0037,0.9984,0.9995,57918.1578,57162.1866,-28465.0933,0.9989,0.9938,0.9872,0.9574,0.9857,0.9937,0.9952,0.0276,"converged normally"
"data12",178.354,36,116,0,0.0281,0.0034,0.9982,0.9995,58794.3071,58038.3359,-28903.1679,0.9989,0.9938,0.9857,0.9533,0.9863,0.9938,0.9951,0.0269,"converged normally"
"data13",186.607,36,116,0,0.0289,0.0059,0.9981,0.9994,58145.0775,57389.1063,-28578.5531,0.9988,0.9936,0.9875,0.9604,0.9845,0.9931,0.995,0.0329,"converged normally"
"data14",172.1981,36,116,0,0.0275,0.0019,0.9983,0.9995,57786.1372,57030.1659,-28399.083,0.9987,0.994,0.9873,0.961,0.9837,0.9925,0.9945,0.0173,"converged normally"
"data15",212.6176,36,116,0,0.0313,0.002,0.9978,0.9993,57443.6853,56687.7141,-28227.8571,0.9989,0.9929,0.9847,0.953,0.9866,0.9938,0.9952,0.0259,"converged normally"
"data16",215.6679,36,116,0,0.0316,0.006,0.9977,0.9993,54604.5511,53848.5799,-26808.2899,0.9986,0.9916,0.9815,0.9444,0.9831,0.9921,0.9942,0.0245,"converged normally"
"data17",180.7708,36,116,0,0.0284,0.0052,0.9982,0.9995,56590.2427,55834.2715,-27801.1357,0.9989,0.9919,0.9822,0.9461,0.9864,0.9933,0.9948,0.0262,"converged normally"
"data18",149.8233,36,116,0,0.0251,0.0034,0.9986,0.9996,56801.979,56046.0078,-27907.0039,0.9989,0.9936,0.9861,0.9511,0.985,0.9929,0.9947,0.031,"converged normally"
"data19",144.4241,36,116,0,0.0245,0.0028,0.9987,0.9996,57072.0416,56316.0704,-28042.0352,0.9988,0.9943,0.9874,0.9585,0.9851,0.9931,0.9945,0.0217,"converged normally"
"data2",197.3642,36,116,0,0.0299,0.004,0.998,0.9994,56908.2325,56152.2613,-27960.1306,0.9988,0.9922,0.9828,0.942,0.9846,0.993,0.9949,0.0175,"converged normally"
"data20",236.9182,36,116,0,0.0334,0.0014,0.9975,0.9993,56810.9132,56054.942,-27911.471,0.9989,0.993,0.9856,0.952,0.986,0.9937,0.9953,0.0296,"converged normally"
"data21",179.297,36,116,0,0.0282,0.0073,0.9982,0.9995,56460.5899,55704.6187,-27736.3093,0.9987,0.9935,0.986,0.9531,0.9855,0.9928,0.9947,0.0256,"converged normally"
"data22",170.7923,36,116,0,0.0274,0.0018,0.9982,0.9995,55252.9178,54496.9466,-27132.4733,0.9986,0.9915,0.9823,0.9397,0.9822,0.9918,0.9939,0.0192,"converged normally"
"data23",145.6101,36,116,0,0.0247,0.0074,0.9986,0.9996,56906.4796,56150.5084,-27959.2542,0.999,0.9909,0.9802,0.9377,0.987,0.9938,0.9954,0.0245,"converged normally"
"data24",184.4744,36,116,0,0.0287,0.0013,0.9982,0.9994,58818.2854,58062.3142,-28915.1571,0.9989,0.9934,0.9856,0.9547,0.9862,0.9935,0.9953,0.0302,"converged normally"
"data25",177.7307,36,116,0,0.0281,0.0024,0.9982,0.9995,57100.3169,56344.3457,-28056.1729,0.999,0.9931,0.9837,0.9488,0.9857,0.9935,0.9951,0.0252,"converged normally"
"data26",151.8708,36,116,0,0.0254,0.0016,0.9985,0.9996,55495.0194,54739.0481,-27253.5241,0.9987,0.9929,0.9847,0.9519,0.9824,0.9922,0.9942,0.0231,"converged normally"
"data27",187.0711,36,116,0,0.029,0.0037,0.998,0.9994,55303.4067,54547.4355,-27157.7177,0.9987,0.9914,0.9804,0.9354,0.9844,0.9925,0.9945,0.0259,"converged normally"
"data28",194.7987,36,116,0,0.0297,0.0036,0.998,0.9994,57619.8633,56863.8921,-28315.946,0.9988,0.9932,0.9854,0.957,0.9849,0.993,0.995,0.0149,"converged normally"
