"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",1e-04,0,0.0286,0.0106,0,0.0147,0.0252,0.0126,0.0291,0,0,0,0,0,0.015,0,0,0.0085,0.0179,0.0171
"V2",0,295.9735,350.6483,0,0,72.3374,0,59.221,59.2885,0,0,0,0,0,0,0,0,175.715,0,0
"V3",0,0.0137,0.0151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063,0,0
"V4",0,0,0,0.3766,0.1163,0,0.5805,0,0.6802,0,0,0,0,0,0.4193,0,0,0,0,0.1914
"V5",0,0,0.0339,0,0.0081,0,0.0304,0.0161,0.0254,0.0184,0,0,0,0.0097,0,0,0,0,0,0
"V6",0,0,0,0,0,0.0208,0,0,0,0.0201,0,0,0,0,0,0,0,0,0,0.0156
"V7",0,0.0075,0,0,0,0.008,0.0064,0,0,0,0,0.0076,0,0,0,0.0083,0,0,0,0
"V8",0,0,0.0533,0,0,0,0,0.019,0,0,0,0.0296,0,0,0,0,0,0,0,0
"V9",0,0.0089,0,0,0,0,0,0.0059,0.0083,0,0,0,0,0,0,0,0,0,0,0.0077
"V10",0,0,0,0,0,0.0116,0,0,0,0.0131,0,0,0,0,0,0,0,0,0,0
