"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V1","V2","V3","V4","V5","V6","V7","V8"
"V1",0.0054,0.0171,0.0064,0.011,0.0106,0,0,0.0185,0,0.0143,0,0,0.0149,0,0,0
"V2",0,0.002,0.0041,0.0034,0,0,0,0.0158,0,0,0,0,0,0,0,0
"V3",0,0,0.0063,0.0154,0.0151,0.0064,0,0.0255,0,0.0136,0,0.0125,0,0,0.0083,0.022
"V4",0,0.0109,0,0.0097,0,0,0.0181,0,0,0,0,0,0,0.0077,0.0119,0
"V5",0,0.0144,0.0044,0.0104,0.0051,0,0,0.0161,0,0.012,0,0.0093,0,0.0039,0,0
"V6",0,0,0,0,0.0104,0.0044,0.0112,0,0,0,0,0.0071,0,0,0.0136,0
"V7",0,0.0078,0,0,0.0042,0,0.0035,0,0,0,0,0,0,0,0,0
"V8",0,0,0,0,0,0,0,0.0127,0,0,0,0,0,0,0,0
