"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","status"
"data1",53.3048,13,52,0,0.0249,0.0013,0.9989,0.9997,28369.4179,28030.5343,-13963.2671,0.9963,0.9891,0.4108,0.96,0.9468,"converged normally"
"data10",70.8783,13,52,0,0.0298,7e-04,0.9984,0.9995,29735.5318,29396.6481,-14646.3241,0.9962,0.9889,0.3462,0.9563,0.9555,"converged normally"
"data11",79.6244,13,52,0,0.032,9e-04,0.9982,0.9995,30223.6881,29884.8044,-14890.4022,0.996,0.9885,0.3589,0.9576,0.9711,"converged normally"
"data12",68.4458,13,52,0,0.0292,0.0011,0.9985,0.9996,29453.3792,29114.4955,-14505.2478,0.9962,0.9893,0.4132,0.9578,0.9608,"converged normally"
"data13",74.8948,13,52,0,0.0309,6e-04,0.9983,0.9995,28089.5755,27750.6919,-13823.346,0.9962,0.9886,0.3461,0.9573,0.9553,"converged normally"
"data14",71.1788,13,52,0,0.0299,9e-04,0.9984,0.9995,27803.1496,27464.2659,-13680.133,0.9959,0.9884,0.3004,0.955,0.9587,"converged normally"
"data15",83.9501,13,52,0,0.033,0.0014,0.998,0.9994,27574.9213,27236.0377,-13566.0188,0.9958,0.988,0.3413,0.9539,0.9559,"converged normally"
"data16",96.2532,13,52,0,0.0358,0.0012,0.9977,0.9993,30562.5378,30223.6542,-15059.8271,0.9962,0.9886,0.3124,0.9568,0.9645,"converged normally"
"data17",67.0305,13,52,0,0.0288,0.0013,0.9985,0.9996,28900.6117,28561.7281,-14228.864,0.9963,0.9891,0.367,0.9568,0.9545,"converged normally"
"data18",87.4188,13,52,0,0.0338,5e-04,0.9979,0.9994,28723.8422,28384.9586,-14140.4793,0.9957,0.9883,0.2529,0.9531,0.9619,"converged normally"
"data19",64.1379,13,52,0,0.0281,0.0012,0.9986,0.9996,30789.4037,30450.52,-15173.26,0.9963,0.9893,0.3373,0.96,0.9687,"converged normally"
"data2",73.299,13,52,0,0.0305,0.0013,0.9983,0.9995,26790.6354,26451.7518,-13173.8759,0.996,0.9883,0.226,0.9545,0.9464,"converged normally"
"data20",110.0181,13,52,0,0.0386,9e-04,0.9973,0.9992,30103.2968,29764.4132,-14830.2066,0.9961,0.9887,0.2976,0.9558,0.9664,"converged normally"
"data21",57.7658,13,52,0,0.0262,0.0025,0.9987,0.9996,28393.9686,28055.0849,-13975.5425,0.9958,0.9881,0.3208,0.9534,0.9612,"converged normally"
"data22",64.1306,13,52,0,0.028,0.0012,0.9986,0.9996,28999.805,28660.9213,-14278.4607,0.9961,0.9889,0.3011,0.9577,0.9591,"converged normally"
"data23",66.2119,13,52,0,0.0286,0.0014,0.9985,0.9996,29516.3031,29177.4194,-14536.7097,0.996,0.9887,0.3266,0.9556,0.961,"converged normally"
"data24",70.4326,13,52,0,0.0297,9e-04,0.9984,0.9995,29778.1561,29439.2725,-14667.6362,0.9962,0.989,0.3966,0.9581,0.9645,"converged normally"
"data25",69.7739,13,52,0,0.0296,0.0012,0.9984,0.9995,29866.2718,29527.3881,-14711.6941,0.9962,0.9895,0.3275,0.958,0.9615,"converged normally"
"data26",89.755,13,52,0,0.0344,9e-04,0.9979,0.9994,28818.677,28479.7933,-14187.8967,0.9965,0.9894,0.3082,0.9578,0.9567,"converged normally"
"data27",72.941,13,52,0,0.0304,0.0016,0.9983,0.9995,29257.8273,28918.9436,-14407.4718,0.9961,0.9894,0.3381,0.9563,0.9607,"converged normally"
"data28",93.2276,13,52,0,0.0351,0.0014,0.9978,0.9994,29103.1163,28764.2327,-14330.1163,0.9961,0.9891,0.2967,0.9556,0.9627,"converged normally"
"data29",64.5973,13,52,0,0.0282,0.0013,0.9985,0.9996,28679.7868,28340.9031,-14118.4516,0.9957,0.9885,0.3122,0.9534,0.9585,"converged normally"
"data3",69.5098,13,52,0,0.0295,9e-04,0.9984,0.9996,29752.5295,29413.6458,-14654.8229,0.9965,0.9898,0.2469,0.9592,0.9512,"converged normally"
"data30",114.5841,13,52,0,0.0395,0.0015,0.9972,0.9992,27822.1395,27483.2558,-13689.6279,0.9958,0.9875,0.1793,0.9541,0.9646,"converged normally"
"data31",99.1959,13,52,0,0.0364,7e-04,0.9976,0.9993,29690.1412,29351.2576,-14623.6288,0.996,0.9886,0.4277,0.9559,0.9629,"converged normally"
"data32",87.5949,13,52,0,0.0339,0.0013,0.9979,0.9994,29753.076,29414.1923,-14655.0962,0.9962,0.9889,0.2784,0.9567,0.9639,"converged normally"
"data33",89.769,13,52,0,0.0344,0.0016,0.9979,0.9994,29899.5006,29560.6169,-14728.3085,0.9959,0.9887,0.2153,0.9531,0.9661,"converged normally"
"data34",74.2974,13,52,0,0.0307,0.0012,0.9983,0.9995,27333.5605,26994.6768,-13445.3384,0.9959,0.9879,0.3225,0.9541,0.9561,"converged normally"
"data35",87.993,13,52,0,0.034,6e-04,0.9979,0.9994,29375.8695,29036.9858,-14466.4929,0.9961,0.9888,0.3629,0.9563,0.9639,"converged normally"
"data36",86.8519,13,52,0,0.0337,8e-04,0.9979,0.9994,26908.6046,26569.7209,-13232.8605,0.9959,0.9883,0.3223,0.9554,0.9491,"converged normally"
"data37",73.1073,13,52,0,0.0304,0.0019,0.9983,0.9995,27679.2399,27340.3562,-13618.1781,0.9963,0.9891,0.4036,0.9577,0.9485,"converged normally"
"data38",74.558,13,52,0,0.0308,0.0019,0.9983,0.9995,28068.3328,27729.4491,-13812.7246,0.9961,0.9886,0.3277,0.9546,0.953,"converged normally"
"data39",82.2457,13,52,0,0.0326,0.0013,0.9981,0.9994,28379.4607,28040.577,-13968.2885,0.9961,0.9892,0.2201,0.9553,0.9503,"converged normally"
"data4",63.8361,13,52,0,0.028,0.001,0.9986,0.9996,30251.3785,29912.4948,-14904.2474,0.9961,0.9888,0.2478,0.9562,0.9647,"converged normally"
"data40",65.436,13,52,0,0.0284,9e-04,0.9985,0.9996,27982.3917,27643.508,-13769.754,0.9961,0.9889,0.2722,0.9581,0.9545,"converged normally"
"data41",63.0415,13,52,0,0.0277,0.001,0.9986,0.9996,29633.222,29294.3383,-14595.1692,0.9963,0.9891,0.285,0.9583,0.9596,"converged normally"
"data42",89.9294,13,52,0,0.0344,0.0021,0.9979,0.9994,28594.8504,28255.9668,-14075.9834,0.9961,0.989,0.3441,0.9587,0.9474,"converged normally"
"data43",73.5243,13,52,0,0.0305,0.0013,0.9983,0.9995,29537.7339,29198.8503,-14547.4251,0.9961,0.9887,0.2562,0.9559,0.9624,"converged normally"
"data44",78.3971,13,52,0,0.0317,0.0011,0.9982,0.9995,28076.1685,27737.2849,-13816.6424,0.9959,0.9883,0.2643,0.9531,0.9584,"converged normally"
"data45",80.5479,13,52,0,0.0322,0.0013,0.9981,0.9995,27434.8627,27095.979,-13495.9895,0.9959,0.9885,0.3133,0.956,0.96,"converged normally"
"data46",76.3372,13,52,0,0.0312,0.0016,0.9982,0.9995,28449.8992,28111.0155,-14003.5078,0.9961,0.9889,0.2777,0.9572,0.9588,"converged normally"
"data47",82.632,13,52,0,0.0327,0.002,0.9981,0.9994,28195.7604,27856.8767,-13876.4384,0.9961,0.9886,0.3811,0.957,0.9566,"converged normally"
"data48",59.8099,13,52,0,0.0268,0.0015,0.9987,0.9996,27264.0325,26925.1488,-13410.5744,0.996,0.9888,0.2291,0.9533,0.9536,"converged normally"
"data49",118.7828,13,52,0,0.0403,0.0014,0.9971,0.9992,29517.8692,29178.9856,-14537.4928,0.9963,0.989,0.3746,0.9586,0.9592,"converged normally"
"data5",63.2247,13,52,0,0.0278,8e-04,0.9986,0.9996,29447.9874,29109.1037,-14502.5519,0.9961,0.9893,0.3191,0.9559,0.9588,"converged normally"
"data50",70.9091,13,52,0,0.0299,0.0014,0.9984,0.9995,30016.4875,29677.6038,-14786.8019,0.996,0.9886,0.2824,0.956,0.9696,"converged normally"
"data51",113.8012,13,52,0,0.0394,0.0015,0.9972,0.9992,27418.361,27079.4773,-13487.7387,0.996,0.9881,0.2807,0.9543,0.9479,"converged normally"
